dagA22.txt 3_2x4.txt 0.08108108108108109 0.1 399.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6, 0, 6] 
dagA22.txt 3_2x4.txt 0.10810810810810811 0.15 380.0 [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 2, 2, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 4, 4, 4, 0, 2, 4, 2] 
dagA22.txt 3_2x4.txt 0.5472972972972973 0.55 81.66666666666667 [2, 3, 0, 3, 2, 5, 5, 1, 4, 6, 2, 2, 4, 6, 0, 2, 6, 0, 2, 4, 1, 7, 0, 3, 4, 4, 6, 4, 0, 2, 0, 0, 1, 5, 0, 2, 3, 2, 1, 6, 0, 4, 2, 1, 5, 2, 6, 0, 3, 6] 
dagA22.txt 3_2x4.txt 0.38513513513513514 0.4 162.0 [0, 0, 0, 0, 2, 4, 2, 2, 2, 0, 4, 2, 2, 4, 4, 2, 0, 0, 0, 2, 2, 2, 0, 0, 2, 4, 0, 2, 0, 2, 4, 0, 2, 4, 4, 4, 0, 4, 2, 0, 4, 4, 4, 2, 4, 0, 4, 0, 0, 0] 
dagA22.txt 3_2x4.txt 0.2905405405405405 0.3 238.0 [0, 0, 0, 2, 0, 2, 2, 2, 4, 2, 0, 2, 2, 0, 0, 2, 0, 2, 0, 0, 2, 2, 0, 2, 2, 2, 0, 2, 0, 0, 0, 0, 2, 2, 0, 0, 2, 0, 0, 2, 0, 2, 0, 2, 2, 0, 0, 0, 2, 0] 
dagA22.txt 3_2x4.txt 0.32432432432432434 0.35 201.0 [0, 2, 0, 2, 0, 0, 0, 2, 2, 2, 0, 2, 4, 4, 0, 0, 4, 0, 0, 0, 2, 2, 0, 2, 2, 2, 4, 2, 0, 2, 0, 0, 2, 0, 0, 0, 2, 0, 2, 4, 0, 2, 0, 2, 0, 0, 4, 0, 2, 4] 
dagA22.txt 3_2x4.txt 0.25 0.25 238.66666666666666 [0, 2, 2, 2, 0, 0, 0, 0, 0, 2, 0, 0, 2, 2, 2, 0, 2, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 2, 0, 2, 2, 0, 0, 2, 0, 2, 0, 0, 2, 2, 2, 0, 0, 0, 0, 2, 2, 2, 2] 
dagA22.txt 3_2x4.txt 0.5 0.5 99.33333333333333 [6, 2, 6, 3, 6, 6, 2, 0, 0, 0, 6, 6, 4, 4, 1, 6, 4, 6, 6, 4, 0, 3, 1, 1, 2, 2, 4, 0, 4, 6, 1, 1, 0, 2, 1, 2, 0, 6, 0, 4, 4, 2, 6, 0, 2, 6, 4, 1, 0, 1] 
dagA22.txt 3_2x4.txt 0.5945945945945946 0.6 77.0 [6, 5, 2, 4, 2, 0, 2, 1, 0, 4, 6, 2, 5, 7, 0, 2, 7, 2, 6, 2, 1, 4, 3, 4, 5, 5, 7, 0, 2, 2, 3, 3, 1, 0, 0, 6, 4, 6, 6, 4, 0, 3, 6, 1, 2, 6, 7, 3, 4, 3] 
dagA22.txt 3_2x4.txt 0.4391891891891892 0.45 121.0 [2, 4, 0, 4, 6, 6, 6, 6, 2, 4, 2, 2, 0, 4, 0, 6, 4, 0, 2, 2, 6, 2, 0, 2, 0, 0, 4, 2, 0, 6, 0, 0, 2, 6, 0, 6, 4, 2, 6, 4, 0, 0, 2, 2, 6, 2, 4, 0, 4, 4] 
