dagC33.txt 3_2x4.txt 0.08620689655172414 0.1 544.6666666666666 [6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 6, 6, 6, 6, 6, 6, 6, 2, 6, 6, 6, 6, 6, 6, 0, 4, 2, 6, 6, 6, 6, 6, 4, 0, 6, 6, 6, 6, 6, 6] 
dagC33.txt 3_2x4.txt 0.14942528735632185 0.15 455.3333333333333 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 2, 0, 2, 2, 0, 2, 2, 0, 0, 2, 2, 2, 2, 2, 0, 0] 
dagC33.txt 3_2x4.txt 0.5459770114942529 0.55 106.0 [2, 0, 0, 2, 0, 2, 3, 2, 0, 4, 0, 4, 0, 1, 4, 3, 6, 2, 2, 2, 2, 0, 0, 0, 5, 0, 4, 7, 4, 6, 3, 4, 6, 2, 5, 4, 4, 6, 5, 3, 7, 4, 3, 7, 1, 5, 6, 1, 3, 1, 6, 7, 5, 1, 6, 6, 7, 1, 4, 5] 
dagC33.txt 3_2x4.txt 0.4425287356321839 0.45 160.0 [0, 0, 0, 0, 0, 0, 4, 4, 2, 0, 0, 2, 4, 4, 2, 4, 2, 0, 1, 0, 0, 0, 2, 0, 6, 0, 1, 3, 2, 1, 4, 2, 0, 0, 6, 6, 1, 2, 6, 4, 3, 6, 4, 2, 2, 1, 2, 3, 4, 3, 1, 2, 1, 2, 1, 3, 3, 3, 6, 6] 
dagC33.txt 3_2x4.txt 0.2988505747126437 0.3 295.3333333333333 [0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 2, 2, 0, 2, 4, 2, 2, 2, 0, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2] 
dagC33.txt 3_2x4.txt 0.4942528735632184 0.5 139.0 [0, 2, 2, 0, 0, 0, 2, 0, 3, 6, 0, 6, 2, 1, 6, 0, 6, 2, 0, 0, 0, 2, 3, 0, 4, 0, 4, 1, 6, 3, 2, 6, 6, 0, 4, 4, 6, 3, 4, 2, 1, 6, 2, 6, 6, 4, 3, 1, 2, 1, 3, 4, 4, 6, 3, 1, 1, 1, 4, 4] 
dagC33.txt 3_2x4.txt 0.3448275862068966 0.35 215.33333333333334 [0, 0, 0, 0, 0, 0, 0, 4, 2, 4, 0, 2, 0, 4, 2, 4, 2, 0, 4, 0, 0, 0, 2, 0, 4, 0, 4, 2, 2, 0, 4, 2, 0, 0, 4, 4, 4, 2, 4, 4, 2, 4, 0, 2, 2, 4, 2, 2, 2, 2, 0, 4, 4, 2, 4, 2, 2, 2, 4, 4] 
dagC33.txt 3_2x4.txt 0.2471264367816092 0.25 321.6666666666667 [0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 2, 2, 0, 0, 2, 0, 0, 2, 2, 0, 2, 2, 0, 2, 2, 0, 2, 2, 2, 2, 2, 0, 2, 0, 2, 0, 2, 0, 2, 2, 2, 2, 2] 
dagC33.txt 3_2x4.txt 0.5977011494252874 0.6 105.33333333333333 [0, 0, 7, 0, 0, 3, 6, 6, 0, 2, 7, 1, 6, 2, 0, 6, 2, 0, 3, 0, 2, 0, 5, 0, 6, 0, 4, 1, 1, 4, 6, 5, 2, 0, 4, 5, 2, 4, 3, 6, 1, 4, 6, 1, 5, 3, 4, 2, 6, 2, 4, 4, 3, 5, 4, 2, 1, 2, 4, 3] 
dagC33.txt 3_2x4.txt 0.19540229885057472 0.2 383.6666666666667 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 2, 2, 0, 2, 2, 0, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
