triadag20_0.txt 3_2x4.txt 0.09736842105263158 0.1 1288.0 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 4, 0, 0, 0, 0, 0, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
triadag20_0.txt 3_2x4.txt 0.3868421052631579 0.7 584.5 [6, 4, 1, 5, 4, 5, 4, 4, 1, 6, 4, 6, 1, 4, 4, 4, 5, 6, 1, 1, 4, 1, 5, 4, 5, 4, 4, 1, 6, 4, 6, 1, 4, 4, 4, 5, 6, 1, 1, 3, 5, 4, 5, 4, 4, 1, 4, 4, 4, 1, 4, 4, 4, 5, 4, 1, 1, 3, 3, 5, 3, 3, 1, 4, 3, 3, 1, 5, 5, 4, 5, 3, 5, 1, 2, 5, 3, 3, 4, 3, 3, 3, 3, 5, 5, 3, 4, 5, 3, 3, 0, 2, 3, 4, 3, 3, 0, 3, 0, 5, 3, 4, 5, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 5, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 2, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 2, 2, 2, 6, 2, 2, 2, 6, 6, 0, 6, 6, 2, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 7, 7, 6, 6, 6, 6, 6, 7, 7, 6, 0, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
triadag20_0.txt 3_2x4.txt 0.39473684210526316 0.65 582.5 [5, 2, 5, 0, 5, 5, 5, 5, 7, 5, 5, 7, 5, 4, 4, 5, 5, 5, 4, 7, 7, 4, 7, 5, 5, 5, 5, 7, 5, 6, 7, 5, 4, 4, 5, 2, 5, 4, 7, 7, 7, 7, 7, 4, 4, 7, 5, 5, 7, 7, 4, 4, 7, 4, 7, 4, 7, 1, 7, 7, 4, 4, 7, 5, 5, 7, 7, 1, 4, 7, 4, 7, 4, 4, 1, 7, 1, 1, 1, 1, 1, 3, 1, 1, 6, 0, 4, 1, 4, 1, 4, 1, 1, 6, 1, 1, 3, 1, 1, 1, 1, 4, 1, 4, 1, 3, 0, 3, 3, 3, 3, 3, 3, 3, 0, 0, 3, 4, 3, 0, 3, 3, 3, 3, 2, 3, 3, 3, 0, 3, 4, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 2, 2, 2, 2, 2, 2, 2, 6, 2, 6, 6, 6, 6, 2, 2, 6, 6, 6, 6, 6, 6, 6, 6, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6] 
triadag20_0.txt 3_2x4.txt 0.36578947368421055 0.6 585.5 [1, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 1, 1, 1, 0, 1, 2, 2, 1, 1, 2, 2, 2, 1, 2, 1, 2, 1, 6, 2, 1, 1, 1, 0, 2, 2, 2, 1, 6, 2, 2, 1, 2, 4, 2, 6, 1, 2, 1, 1, 1, 0, 1, 2, 2, 1, 6, 6, 6, 6, 0, 6, 6, 6, 2, 6, 0, 6, 0, 6, 6, 6, 6, 0, 6, 6, 0, 6, 6, 6, 0, 6, 0, 6, 0, 6, 6, 6, 6, 7, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 7, 3, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 4, 7, 3, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 7, 3, 4, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 5, 0, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5] 
triadag20_0.txt 3_2x4.txt 0.4 0.9 584.0 [5, 5, 6, 0, 5, 0, 5, 0, 5, 5, 3, 5, 6, 3, 6, 0, 0, 5, 3, 0, 5, 6, 0, 5, 0, 5, 0, 5, 5, 7, 5, 6, 5, 6, 0, 5, 5, 2, 0, 6, 0, 5, 0, 5, 0, 5, 5, 3, 5, 6, 3, 6, 0, 0, 5, 4, 0, 3, 6, 0, 6, 0, 0, 6, 3, 6, 6, 3, 6, 6, 6, 6, 3, 6, 3, 0, 3, 0, 0, 6, 0, 6, 3, 3, 6, 6, 3, 3, 3, 6, 2, 3, 0, 7, 6, 0, 6, 3, 3, 6, 3, 3, 3, 3, 6, 2, 4, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 4, 2, 4, 2, 2, 2, 2, 7, 2, 2, 2, 2, 2, 4, 2, 4, 4, 4, 2, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 2, 4, 2, 4, 4, 1, 2, 4, 4, 4, 2, 4, 2, 4, 4, 1, 7, 0, 1, 2, 1, 1, 1, 1, 7, 1, 1, 7, 1, 1, 1, 4, 7, 7, 7, 7, 7, 0, 7, 1, 7, 7, 7, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 0, 1, 1] 
triadag20_0.txt 3_2x4.txt 0.14736842105263157 0.15 972.6666666666666 [4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 2, 2, 2, 2, 2, 2, 2, 2, 6, 6, 6, 2, 2, 2, 6, 2, 2, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6] 
triadag20_0.txt 3_2x4.txt 0.3973684210526316 0.55 582.3333333333334 [6, 2, 1, 6, 2, 2, 6, 6, 1, 6, 1, 6, 6, 1, 3, 6, 2, 6, 3, 3, 6, 1, 6, 2, 2, 6, 6, 1, 6, 6, 6, 6, 1, 3, 6, 2, 6, 2, 3, 1, 6, 2, 2, 6, 6, 1, 6, 1, 6, 6, 1, 3, 6, 2, 6, 4, 3, 2, 2, 2, 6, 4, 1, 6, 1, 6, 1, 1, 3, 6, 1, 1, 1, 3, 2, 2, 3, 3, 1, 2, 2, 3, 2, 1, 0, 2, 1, 2, 3, 2, 5, 3, 3, 6, 2, 2, 3, 2, 1, 3, 2, 2, 2, 3, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 0, 5, 7, 5, 5, 5, 5, 2, 7, 5, 5, 5, 5, 5, 5, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 4, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 0, 4, 2, 4, 4, 7, 4, 7, 4, 4, 0, 0, 4, 4, 4, 0, 0, 0, 0, 0, 4, 4, 4, 0, 0, 0, 0, 4, 4, 4, 0, 0, 4, 0, 4, 4, 0, 4, 4, 4, 0, 0, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
triadag20_0.txt 3_2x4.txt 0.35526315789473684 0.5 584.5 [1, 1, 6, 3, 7, 6, 1, 1, 7, 1, 7, 6, 6, 1, 7, 1, 1, 1, 6, 3, 1, 6, 3, 7, 6, 1, 1, 7, 1, 7, 6, 6, 1, 7, 1, 4, 1, 6, 3, 6, 3, 7, 6, 1, 1, 7, 1, 7, 6, 6, 1, 7, 6, 1, 1, 6, 3, 3, 7, 6, 1, 6, 7, 6, 6, 6, 6, 1, 7, 6, 6, 1, 6, 3, 3, 3, 3, 2, 7, 3, 3, 2, 6, 3, 2, 6, 7, 3, 6, 3, 4, 3, 2, 7, 2, 3, 2, 6, 3, 2, 2, 7, 3, 6, 3, 4, 2, 4, 4, 4, 2, 4, 2, 4, 6, 4, 4, 4, 2, 2, 4, 4, 4, 2, 4, 2, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 4, 2, 2, 4, 4, 4, 2, 2, 0, 2, 2, 4, 2, 2, 4, 4, 4, 4, 2, 0, 0, 0, 2, 2, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 5, 5, 0, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5] 
triadag20_0.txt 3_2x4.txt 0.2 0.2 816.6666666666666 [2, 2, 2, 1, 2, 2, 2, 3, 3, 2, 2, 2, 1, 3, 2, 2, 2, 2, 1, 3, 2, 2, 1, 2, 2, 2, 3, 3, 2, 2, 2, 1, 3, 2, 2, 2, 2, 1, 3, 2, 1, 2, 2, 2, 3, 3, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 3, 4, 2, 2, 2, 3, 3, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 3, 4, 4, 4, 3, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 0, 1, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5] 
triadag20_0.txt 3_2x4.txt 0.29736842105263156 0.3 638.3333333333334 [5, 5, 1, 1, 5, 5, 0, 5, 5, 5, 0, 0, 0, 5, 5, 5, 3, 5, 0, 0, 5, 1, 5, 5, 5, 0, 5, 5, 5, 1, 0, 0, 0, 5, 5, 3, 5, 0, 0, 7, 5, 5, 5, 0, 0, 5, 5, 0, 0, 0, 5, 0, 5, 3, 5, 0, 0, 7, 3, 7, 0, 3, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 3, 7, 7, 3, 7, 7, 7, 0, 7, 7, 0, 0, 7, 7, 7, 7, 2, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6, 6, 6, 6, 4, 4, 4, 4, 4, 6, 4, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
triadag20_0.txt 3_2x4.txt 0.38421052631578945 0.45 583.5 [0, 0, 2, 0, 0, 0, 3, 2, 0, 0, 2, 0, 3, 2, 2, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 2, 0, 0, 7, 0, 3, 2, 2, 2, 7, 0, 7, 0, 2, 0, 2, 0, 3, 2, 0, 0, 2, 0, 3, 2, 2, 2, 0, 0, 7, 0, 4, 2, 2, 6, 2, 3, 0, 2, 0, 3, 2, 2, 3, 2, 2, 3, 2, 4, 4, 3, 4, 3, 0, 4, 4, 3, 4, 4, 7, 4, 4, 3, 4, 4, 3, 4, 7, 4, 4, 4, 3, 4, 4, 3, 4, 4, 3, 4, 1, 4, 3, 4, 4, 4, 3, 4, 4, 7, 1, 4, 7, 1, 1, 3, 1, 1, 4, 0, 5, 1, 7, 1, 1, 3, 1, 1, 1, 1, 1, 2, 5, 1, 1, 1, 1, 3, 1, 6, 1, 0, 0, 5, 1, 1, 1, 1, 1, 6, 6, 6, 6, 5, 1, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 5, 6, 6, 5, 6, 7, 6, 5, 5, 7, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 2, 5, 5] 
triadag20_0.txt 3_2x4.txt 0.3394736842105263 0.35 590.0 [3, 4, 4, 4, 4, 3, 4, 3, 4, 3, 7, 3, 7, 7, 3, 3, 3, 3, 7, 7, 3, 4, 4, 4, 3, 4, 3, 4, 3, 7, 3, 7, 7, 3, 3, 5, 3, 7, 7, 6, 4, 4, 3, 4, 3, 4, 3, 7, 3, 7, 7, 3, 3, 3, 3, 7, 7, 6, 6, 4, 4, 7, 4, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 4, 1, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 1, 4, 4, 1, 1, 1, 1, 1, 6, 1, 4, 1, 1, 1, 4, 2, 4, 1, 1, 1, 1, 1, 2, 1, 6, 1, 1, 1, 4, 2, 2, 5, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 2, 2, 5, 2, 2, 2, 2, 2, 5, 2, 5, 2, 5, 2, 5, 5, 5, 5, 5, 5, 0, 5, 6, 5, 5, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0] 
triadag20_0.txt 3_2x4.txt 0.25 0.25 655.0 [4, 4, 5, 4, 2, 4, 5, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 5, 5, 4, 5, 4, 2, 4, 5, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 5, 5, 2, 4, 2, 4, 5, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 5, 5, 2, 2, 2, 2, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 5, 2, 2, 2, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 5, 7, 2, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 5, 7, 0, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 6, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3] 
