dagA14.txt 3_2x4.txt True 0.0625 0.07 342.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagA14.txt 3_2x4.txt True 0.09375 0.1 330.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7] 
dagA14.txt 3_2x4.txt True 0.14375 0.15 319.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7] 
dagA14.txt 3_2x4.txt True 0.16875 0.2 307.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 1, 7, 7, 7, 7, 7] 
dagA14.txt 3_2x4.txt True 0.28125 0.3 482.0 [7, 7, 7, 6, 7, 7, 7, 6, 6, 7, 7, 7, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 7, 1, 7, 7, 7, 6, 7, 7, 6, 7, 7, 6, 6, 6, 6, 1, 7, 7, 6, 6, 7] 
dagA14.txt 3_2x4.txt True 0.375 0.4 222.5 [7, 7, 7, 6, 7, 7, 7, 6, 1, 7, 7, 7, 6, 1, 1, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 1, 7, 1, 7, 7, 7, 1, 7, 7, 6, 7, 7, 1, 6, 6, 6, 1, 7, 7, 6, 6, 7] 
dagA14.txt 3_2x4.txt True 0.49375 0.5 141.0 [7, 2, 7, 3, 3, 7, 7, 5, 6, 7, 5, 7, 4, 6, 5, 2, 7, 7, 7, 7, 7, 5, 5, 7, 5, 7, 7, 3, 4, 5, 1, 7, 3, 7, 3, 7, 3, 4, 7, 7, 5, 4, 6, 3, 1, 7, 5, 4, 6, 3] 
dagA14.txt 3_2x4.txt True 0.6 0.6 210.0 [1, 6, 5, 3, 1, 0, 0, 4, 3, 5, 4, 0, 2, 4, 6, 6, 7, 0, 1, 5, 0, 3, 4, 3, 4, 5, 0, 1, 2, 1, 2, 3, 5, 0, 4, 1, 5, 2, 5, 3, 6, 7, 7, 1, 3, 0, 3, 3, 7, 5] 
dagA14.txt 3_2x4.txt True 0.7 0.7 125.25 [0, 2, 1, 1, 1, 3, 6, 4, 7, 1, 4, 0, 5, 7, 1, 2, 7, 3, 1, 5, 1, 1, 4, 0, 4, 6, 0, 7, 1, 1, 5, 3, 3, 3, 1, 0, 2, 5, 1, 3, 1, 6, 7, 7, 5, 6, 1, 1, 7, 2] 
dagA14.txt 3_2x4.txt True 0.7625 1 78.5 [6, 1, 3, 0, 7, 1, 7, 2, 4, 1, 5, 0, 6, 7, 1, 5, 3, 5, 3, 4, 5, 6, 5, 1, 5, 3, 0, 5, 3, 6, 5, 7, 7, 7, 1, 3, 1, 6, 1, 1, 5, 7, 2, 3, 3, 5, 3, 0, 7, 4] 
