dagI45.txt 3_2x4.txt True 0.06711409395973154 0.07 678.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagI45.txt 3_2x4.txt True 0.09060402684563758 0.1 667.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagI45.txt 3_2x4.txt True 0.14429530201342283 0.15 634.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 6, 6, 6, 7, 6, 7, 7, 7, 6, 7, 6, 6, 7, 6, 6] 
dagI45.txt 3_2x4.txt True 0.1912751677852349 0.2 588.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 6, 6, 6, 7, 6, 7, 7, 7, 6, 7, 6, 6, 7, 6, 6] 
dagI45.txt 3_2x4.txt True 0.29194630872483224 0.3 273.25 [3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 0, 3, 1, 3, 2, 3, 2, 1, 3, 1, 3, 3, 3, 1, 7, 3, 2, 0, 3, 7, 3, 7, 2, 3, 7, 7, 7, 6, 7, 3, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 4, 7, 7, 7, 4, 5, 7, 7, 7, 7, 4, 0, 7, 4, 5, 5, 6, 7, 5] 
dagI45.txt 3_2x4.txt True 0.3859060402684564 0.4 614.0 [1, 0, 0, 3, 1, 1, 0, 1, 1, 0, 0, 1, 3, 1, 1, 0, 0, 0, 0, 1, 1, 1, 3, 1, 0, 1, 3, 0, 1, 2, 2, 0, 2, 3, 1, 0, 1, 2, 3, 2, 2, 2, 2, 2, 1, 2, 2, 6, 2, 2, 5, 2, 6, 6, 6, 6, 5, 5, 7, 6, 6, 2, 5, 2, 2, 5, 7, 2, 5, 2, 6, 2, 6, 5, 6, 7, 5, 4, 5, 7, 6, 5, 6, 5, 5, 4, 2, 5, 7, 5, 4, 4, 7, 6, 5, 4, 5, 7, 5, 4] 
dagI45.txt 3_2x4.txt True 0.5 0.5 368.0 [6, 7, 5, 7, 7, 6, 7, 6, 7, 7, 7, 6, 5, 7, 6, 7, 7, 6, 5, 7, 6, 6, 5, 1, 6, 5, 0, 6, 5, 4, 4, 7, 2, 5, 5, 1, 2, 4, 5, 4, 4, 5, 2, 4, 6, 4, 4, 1, 4, 5, 2, 2, 2, 5, 1, 1, 2, 4, 2, 2, 1, 4, 2, 0, 4, 3, 0, 4, 3, 2, 2, 1, 2, 3, 1, 0, 3, 0, 3, 0, 1, 3, 1, 3, 0, 3, 1, 3, 0, 3, 0, 3, 0, 1, 3, 1, 3, 0, 0, 1] 
dagI45.txt 3_2x4.txt True 0.5939597315436241 0.6 207.0 [6, 7, 5, 7, 7, 6, 7, 6, 7, 7, 7, 6, 5, 7, 6, 7, 7, 6, 5, 7, 3, 1, 5, 1, 6, 5, 3, 1, 5, 4, 4, 7, 2, 5, 5, 3, 2, 4, 5, 1, 4, 5, 3, 1, 1, 4, 1, 1, 4, 5, 2, 1, 2, 5, 3, 1, 2, 4, 2, 2, 1, 4, 1, 0, 4, 3, 0, 1, 3, 2, 1, 1, 2, 3, 1, 3, 3, 0, 3, 0, 1, 3, 1, 3, 0, 3, 1, 3, 0, 3, 0, 3, 0, 1, 3, 1, 3, 0, 0, 1] 
dagI45.txt 3_2x4.txt True 0.6442953020134228 0.7 155.75 [6, 7, 5, 7, 7, 6, 7, 6, 7, 7, 7, 6, 5, 7, 6, 7, 7, 3, 5, 7, 3, 1, 5, 3, 3, 5, 7, 1, 7, 4, 4, 7, 2, 5, 5, 5, 2, 4, 5, 1, 3, 5, 3, 1, 5, 4, 5, 1, 3, 5, 2, 1, 2, 5, 5, 1, 2, 4, 1, 2, 5, 4, 7, 1, 4, 7, 0, 1, 3, 3, 5, 1, 2, 3, 1, 7, 3, 0, 3, 0, 1, 3, 1, 3, 0, 3, 1, 3, 0, 3, 0, 3, 5, 1, 3, 1, 3, 0, 0, 1] 
dagI45.txt 3_2x4.txt True 0.7919463087248322 1 155.5 [4, 1, 4, 7, 5, 4, 5, 4, 3, 1, 0, 4, 7, 5, 4, 6, 5, 5, 7, 3, 1, 7, 6, 7, 3, 7, 5, 3, 7, 6, 3, 3, 3, 2, 6, 5, 0, 0, 1, 1, 5, 3, 3, 1, 3, 7, 7, 6, 7, 7, 5, 1, 2, 2, 5, 1, 0, 3, 6, 2, 7, 3, 5, 1, 2, 5, 7, 1, 5, 3, 3, 1, 2, 0, 5, 7, 7, 1, 3, 1, 5, 3, 5, 7, 0, 5, 1, 3, 1, 7, 1, 1, 1, 3, 5, 1, 2, 1, 3, 1] 
dagI45.txt 3_2x2.txt True 0.04697986577181208 0.07 1404.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 0, 1, 3, 3, 3, 3, 3, 3, 3, 3] 
dagI45.txt 3_2x2.txt True 0.087248322147651 0.1 1352.5 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 0, 1, 3, 3, 3, 3, 3, 3, 3, 3] 
dagI45.txt 3_2x2.txt True 0.1476510067114094 0.15 1258.5 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 0, 3, 3, 3, 3, 2, 3, 0, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 0, 1, 3, 3, 3, 3, 3, 3, 3, 3] 
dagI45.txt 3_2x2.txt True 0.19463087248322147 0.2 1141.5 [3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 0, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 0, 3, 0, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 0, 3, 3, 3, 1, 0, 1, 0, 3, 3, 3, 3, 3, 1, 1, 3, 0, 3, 0, 1, 3, 3, 3, 1, 1, 0, 3, 1] 
dagI45.txt 3_2x2.txt True 0.29194630872483224 0.3 358.5 [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 3, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 3, 3, 1, 2, 1, 3, 3, 3, 3, 2, 2, 2, 3, 3, 1, 2, 3, 1, 2, 2, 1, 2, 3, 3, 3, 3, 2, 3, 2, 2, 2, 2, 3, 3, 2, 3, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3] 
dagI45.txt 3_2x2.txt True 0.3959731543624161 0.4 316.3333333333333 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 0, 2, 0, 3, 2, 2, 0, 2, 2, 2, 3, 2, 2, 2, 0, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 0, 0, 2, 2, 0, 2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 1, 2, 0, 0, 1, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1] 
dagI45.txt 3_2x2.txt True 0.4161073825503356 0.5 298.6666666666667 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 2, 0, 2, 0, 3, 2, 2, 0, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 0, 0, 2, 2, 0, 2, 0, 0, 2, 2, 0, 0, 1, 0, 0, 1, 0, 1, 2, 0, 0, 1, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1] 
dagI45.txt 3_2x2.txt True 0.4161073825503356 0.6 298.6666666666667 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 2, 0, 2, 0, 3, 2, 2, 0, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 0, 0, 2, 2, 0, 2, 0, 0, 2, 2, 0, 0, 1, 0, 0, 1, 0, 1, 2, 0, 0, 1, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1] 
dagI45.txt 3_2x2.txt True 0.4161073825503356 0.7 298.6666666666667 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 2, 0, 2, 0, 3, 2, 2, 0, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 0, 0, 2, 2, 0, 2, 0, 0, 2, 2, 0, 0, 1, 0, 0, 1, 0, 1, 2, 0, 0, 1, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1] 
dagI45.txt 3_2x2.txt True 0.4161073825503356 1 298.6666666666667 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 2, 0, 2, 0, 3, 2, 2, 0, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 0, 0, 2, 2, 0, 2, 0, 0, 2, 2, 0, 0, 1, 0, 0, 1, 0, 1, 2, 0, 0, 1, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1] 
dagI45.txt 3_2x1.txt True 0.05704697986577181 0.07 1391.0 [1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagI45.txt 3_2x1.txt True 0.09060402684563758 0.1 896.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagI45.txt 3_2x1.txt True 0.14429530201342283 0.15 708.0 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
