triadag20_2.txt 3_2x4.txt True 0.06842105263157895 0.07 2618.5 [7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 5, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 5, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 5, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
triadag20_2.txt 3_2x4.txt True 0.09473684210526316 0.1 2098.0 [7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 5, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 5, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 5, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 4, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 4, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 0, 7, 2, 7, 7, 7, 7, 7, 7, 0, 7, 2, 7, 0, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
triadag20_2.txt 3_2x4.txt True 0.14736842105263157 0.15 1970.0 [7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 5, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 5, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 5, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 5, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 5, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 2, 7, 0, 7, 7, 7, 7, 7, 4, 7, 0, 2, 7, 7, 7, 7, 7, 7, 0, 7, 1, 0, 7, 7, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0] 
triadag20_2.txt 3_2x4.txt True 0.19736842105263158 0.2 2365.0 [0, 0, 3, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 3, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 4, 4, 4, 4, 4] 
triadag20_2.txt 3_2x4.txt True 0.3 0.3 1756.0 [1, 0, 2, 0, 0, 1, 0, 0, 0, 3, 0, 1, 1, 3, 1, 1, 1, 2, 1, 1, 0, 2, 0, 0, 1, 0, 0, 0, 3, 0, 1, 1, 3, 1, 1, 1, 2, 1, 1, 2, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 3, 1, 1, 0, 2, 1, 1, 2, 0, 2, 0, 2, 0, 3, 2, 2, 2, 3, 2, 1, 3, 2, 2, 2, 3, 2, 3, 2, 3, 3, 2, 2, 2, 3, 2, 1, 3, 2, 2, 2, 6, 3, 7, 3, 3, 3, 3, 3, 3, 2, 1, 3, 3, 3, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 5, 5, 4, 5, 5, 5, 5, 5, 7, 5, 5, 4, 5, 5, 5, 5, 5, 7, 5, 4, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
triadag20_2.txt 3_2x4.txt True 0.4 0.4 975.0 [1, 1, 2, 1, 0, 1, 1, 0, 0, 3, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 0, 2, 0, 0, 1, 1, 0, 0, 3, 0, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 3, 1, 0, 1, 3, 1, 1, 0, 2, 1, 1, 2, 0, 1, 0, 2, 0, 3, 2, 2, 2, 3, 2, 1, 3, 2, 1, 2, 3, 2, 3, 2, 3, 3, 2, 2, 2, 3, 2, 1, 3, 2, 2, 2, 6, 3, 7, 3, 3, 3, 3, 3, 3, 1, 1, 3, 3, 3, 6, 1, 7, 6, 6, 1, 1, 6, 6, 6, 6, 6, 6, 1, 6, 7, 1, 6, 1, 1, 6, 6, 1, 6, 1, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 5, 5, 4, 5, 5, 5, 5, 5, 7, 5, 5, 4, 5, 5, 5, 5, 5, 7, 5, 4, 5, 5, 5, 5, 5, 1, 4, 5, 5, 5, 5, 5, 4, 4, 1, 1, 4, 4, 4, 4, 1, 4, 4, 1, 1, 4, 4, 4, 4, 1, 4, 4, 4, 4] 
triadag20_2.txt 3_2x4.txt True 0.5 0.5 1319.0 [0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 3, 0, 0, 3, 0, 0, 3, 3, 1, 1, 3, 1, 3, 0, 1, 1, 1, 0, 0, 0, 2, 1, 0, 1, 0, 1, 0, 1, 3, 2, 3, 1, 1, 3, 1, 0, 1, 3, 2, 0, 3, 1, 0, 3, 1, 1, 2, 3, 3, 2, 3, 3, 0, 0, 3, 3, 1, 2, 2, 3, 3, 3, 1, 2, 7, 7, 3, 1, 7, 1, 3, 2, 1, 2, 7, 2, 2, 3, 1, 7, 7, 2, 2, 7, 1, 6, 2, 1, 2, 7, 7, 3, 2, 0, 7, 7, 2, 7, 7, 6, 7, 2, 2, 5, 7, 7, 2, 6, 7, 2, 2, 7, 6, 7, 2, 6, 5, 7, 7, 3, 6, 6, 2, 7, 7, 7, 2, 6, 5, 7, 6, 7, 6, 6, 1, 6, 6, 6, 6, 5, 6, 5, 5, 6, 5, 6, 1, 6, 6, 5, 6, 6, 5, 5, 5, 4, 6, 4, 5, 5, 5, 5, 5, 4, 6, 4, 4, 5, 5, 5, 4, 4, 4, 4, 4, 5, 4, 4, 5, 4, 5, 5, 4, 5, 4, 5, 5, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
triadag20_2.txt 3_2x4.txt True 0.6 0.6 698.25 [0, 1, 0, 5, 0, 1, 3, 1, 1, 0, 5, 3, 3, 0, 3, 1, 0, 3, 3, 1, 1, 3, 1, 3, 0, 3, 1, 1, 0, 1, 0, 1, 3, 0, 1, 0, 5, 0, 3, 3, 2, 3, 1, 1, 3, 1, 3, 3, 3, 1, 1, 3, 1, 0, 3, 1, 1, 2, 3, 3, 2, 3, 3, 0, 1, 3, 3, 1, 2, 2, 3, 3, 3, 1, 1, 7, 7, 3, 1, 7, 1, 3, 2, 1, 2, 7, 2, 2, 3, 1, 7, 7, 2, 2, 7, 3, 6, 2, 1, 1, 7, 7, 3, 2, 0, 7, 7, 2, 7, 7, 5, 7, 2, 3, 5, 7, 7, 3, 6, 7, 1, 2, 7, 1, 7, 2, 3, 5, 7, 7, 3, 6, 5, 2, 7, 7, 7, 2, 6, 5, 7, 6, 7, 1, 1, 3, 1, 6, 6, 1, 5, 6, 5, 5, 6, 5, 6, 1, 6, 6, 5, 6, 6, 5, 5, 5, 4, 6, 4, 5, 5, 5, 5, 5, 4, 6, 4, 4, 5, 5, 5, 1, 3, 4, 4, 4, 5, 4, 4, 5, 3, 5, 5, 4, 5, 4, 5, 5, 4, 1, 5, 4, 4, 3, 4, 5, 4, 4, 4, 3] 
triadag20_2.txt 3_2x4.txt True 0.6210526315789474 0.7 614.0 [0, 5, 0, 7, 0, 1, 7, 1, 1, 0, 5, 3, 3, 0, 3, 1, 0, 3, 3, 1, 1, 3, 1, 3, 0, 7, 1, 1, 0, 1, 0, 1, 7, 0, 1, 0, 5, 0, 5, 3, 2, 3, 1, 1, 3, 1, 3, 7, 3, 3, 1, 3, 1, 5, 3, 1, 1, 2, 3, 3, 5, 3, 3, 0, 1, 3, 3, 1, 2, 2, 3, 3, 3, 1, 1, 7, 7, 3, 1, 7, 1, 3, 2, 1, 2, 7, 2, 2, 3, 1, 7, 7, 2, 2, 7, 7, 6, 2, 1, 7, 7, 7, 3, 2, 0, 7, 7, 2, 7, 7, 5, 7, 2, 3, 5, 7, 7, 3, 6, 7, 1, 2, 7, 1, 7, 2, 3, 5, 7, 7, 3, 6, 3, 2, 7, 7, 7, 2, 6, 5, 7, 6, 7, 1, 1, 3, 1, 6, 6, 1, 5, 6, 5, 5, 6, 5, 6, 7, 6, 6, 5, 6, 6, 5, 5, 5, 4, 6, 4, 5, 5, 5, 5, 5, 4, 6, 4, 4, 5, 5, 5, 1, 3, 4, 4, 4, 5, 4, 4, 5, 3, 5, 5, 4, 5, 4, 5, 5, 4, 1, 5, 4, 4, 3, 4, 5, 4, 4, 5, 3] 
triadag20_2.txt 3_2x4.txt True 0.6210526315789474 1 614.0 [0, 5, 0, 7, 0, 1, 7, 1, 1, 0, 5, 3, 3, 0, 3, 1, 0, 3, 3, 1, 1, 3, 1, 3, 0, 7, 1, 1, 0, 1, 0, 1, 7, 0, 1, 0, 5, 0, 5, 3, 2, 3, 1, 1, 3, 1, 3, 7, 3, 3, 1, 3, 1, 5, 3, 1, 1, 2, 3, 3, 5, 3, 3, 0, 1, 3, 3, 1, 2, 2, 3, 3, 3, 1, 1, 7, 7, 3, 1, 7, 1, 3, 2, 1, 2, 7, 2, 2, 3, 1, 7, 7, 2, 2, 7, 7, 6, 2, 1, 7, 7, 7, 3, 2, 0, 7, 7, 2, 7, 7, 5, 7, 2, 3, 5, 7, 7, 3, 6, 7, 1, 2, 7, 1, 7, 2, 3, 5, 7, 7, 3, 6, 3, 2, 7, 7, 7, 2, 6, 5, 7, 6, 7, 1, 1, 3, 1, 6, 6, 1, 5, 6, 5, 5, 6, 5, 6, 7, 6, 6, 5, 6, 6, 5, 5, 5, 4, 6, 4, 5, 5, 5, 5, 5, 4, 6, 4, 4, 5, 5, 5, 1, 3, 4, 4, 4, 5, 4, 4, 5, 3, 5, 5, 4, 5, 4, 5, 5, 4, 1, 5, 4, 4, 3, 4, 5, 4, 4, 5, 3] 
