dagP38.txt 3_2x4.txt 0.39926062846580407 0.4 295.5 [7, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 7, 7, 2, 2, 7, 7, 2, 2, 7, 7, 0, 7, 2, 2, 7, 6, 7, 7, 6, 2, 7, 6, 2, 6, 6, 6, 7, 7, 6, 6, 6, 7, 6, 6, 7, 6, 7, 6, 6, 6, 6, 5, 6, 6, 6, 5, 0, 5, 6, 5, 5, 4, 5, 5, 6, 5, 5, 5, 7, 4, 5, 2, 5, 6, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 4, 4, 4, 4, 4, 5, 1, 1, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 1, 1, 1, 4, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 4, 3, 0, 3, 1, 1, 0, 1, 3, 3, 0, 4, 3, 3, 1, 1, 0, 3, 2, 0, 1, 0, 3, 0, 3, 3, 3, 0, 3, 0, 3, 0, 0, 0, 3, 0, 2, 0, 3, 0, 0, 3, 0, 0, 0, 3, 0, 3, 0, 3, 0] 
dagP38.txt 3_2x4.txt 0.43068391866913125 0.5 277.3333333333333 [4, 7, 4, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 4, 2, 7, 7, 4, 4, 4, 4, 4, 2, 4, 4, 4, 7, 4, 4, 4, 4, 2, 7, 4, 2, 7, 2, 2, 6, 4, 4, 2, 2, 2, 2, 2, 2, 4, 2, 4, 2, 2, 2, 4, 5, 2, 2, 2, 5, 0, 5, 5, 5, 2, 3, 5, 5, 2, 5, 5, 5, 4, 3, 5, 2, 2, 5, 5, 5, 5, 5, 3, 5, 5, 3, 5, 5, 6, 3, 2, 3, 3, 0, 0, 3, 3, 5, 3, 3, 3, 3, 2, 3, 3, 3, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 6, 0, 3, 3, 6, 0, 6, 0, 0, 0, 0, 6, 6, 1, 0, 6, 6, 6, 0, 0, 6, 6, 6, 0, 1, 6, 1, 6, 6, 1, 1, 6, 1, 6, 1, 1, 6, 6, 1, 6, 6, 1, 1, 1, 6, 1, 1, 1, 6, 4, 6, 6, 6, 1] 
dagP38.txt 3_2x4.txt 0.4399260628465804 0.55 277.0 [6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 6, 6, 6, 6, 6, 1, 6, 1, 1, 1, 0, 1, 1, 0, 4, 1, 6, 1, 0, 1, 1, 0, 6, 1, 0, 1, 7, 0, 6, 1, 1, 0, 0, 0, 1, 0, 7, 1, 0, 1, 0, 0, 2, 0, 7, 0, 0, 0, 7, 0, 7, 7, 7, 0, 3, 0, 7, 0, 7, 7, 7, 1, 3, 7, 2, 0, 0, 0, 0, 7, 3, 3, 7, 7, 3, 7, 7, 2, 3, 6, 7, 3, 7, 3, 3, 3, 0, 3, 3, 3, 3, 4, 2, 3, 3, 3, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 5, 3, 3, 5, 2, 5, 2, 2, 6, 2, 5, 5, 4, 2, 5, 5, 2, 2, 4, 5, 0, 4, 2, 4, 5, 4, 5, 5, 5, 4, 4, 4, 5, 4, 4, 4, 5, 4, 2, 4, 5, 4, 4, 5, 4, 4, 4, 5, 4, 5, 4, 5, 4] 
dagP38.txt 3_2x4.txt 0.4436229205175601 0.45 278.0 [3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 2, 2, 3, 3, 2, 2, 2, 3, 2, 3, 2, 3, 3, 2, 0, 3, 6, 0, 3, 2, 2, 3, 3, 3, 3, 6, 2, 3, 6, 2, 6, 6, 6, 3, 3, 6, 6, 4, 6, 6, 6, 3, 6, 3, 6, 6, 6, 3, 0, 6, 0, 6, 6, 6, 0, 0, 0, 0, 6, 6, 0, 6, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 6, 5, 2, 0, 5, 0, 0, 5, 5, 0, 5, 5, 5, 5, 6, 5, 5, 5, 5, 4, 4, 4, 4, 5, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 7, 4, 4, 5, 4, 4, 7, 4, 7, 4, 4, 7, 7, 7, 7, 7, 4, 7, 4, 2, 7, 4, 0, 4, 7, 7, 7, 1, 7, 1, 7, 1, 7, 7, 1, 1, 2, 7, 1, 1, 1, 1, 2, 1, 7, 1, 1, 1, 1, 4, 1, 1, 1, 1] 
dagP38.txt 3_2x4.txt 0.4436229205175601 0.7 278.0 [3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 2, 2, 3, 3, 2, 2, 2, 3, 2, 3, 2, 3, 3, 2, 0, 3, 6, 0, 3, 2, 2, 3, 3, 3, 3, 6, 2, 3, 6, 2, 6, 6, 6, 3, 3, 6, 6, 4, 6, 6, 6, 3, 6, 3, 6, 6, 6, 3, 0, 6, 0, 6, 6, 6, 0, 0, 0, 0, 6, 6, 0, 6, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 6, 5, 2, 0, 5, 0, 0, 5, 5, 0, 5, 5, 5, 5, 6, 5, 5, 5, 5, 4, 4, 4, 4, 5, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 7, 4, 4, 5, 4, 4, 7, 4, 7, 4, 4, 7, 7, 7, 7, 7, 4, 7, 4, 2, 7, 4, 0, 4, 7, 7, 7, 1, 7, 1, 7, 1, 7, 7, 1, 1, 2, 7, 1, 1, 1, 1, 2, 1, 7, 1, 1, 1, 1, 4, 1, 1, 1, 1] 
dagP38.txt 3_2x4.txt 0.4269870609981516 0.6 277.0 [7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 0, 0, 7, 7, 0, 2, 7, 7, 0, 6, 0, 0, 7, 2, 7, 7, 2, 0, 7, 2, 0, 2, 2, 6, 7, 7, 2, 2, 2, 7, 2, 2, 7, 2, 7, 2, 2, 2, 2, 4, 2, 4, 2, 4, 2, 4, 4, 4, 4, 4, 2, 2, 2, 4, 4, 4, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4, 4, 3, 2, 3, 3, 3, 4, 3, 3, 4, 5, 3, 3, 4, 2, 3, 3, 3, 5, 5, 5, 5, 3, 3, 3, 3, 5, 5, 5, 6, 5, 3, 5, 5, 5, 6, 5, 5, 6, 4, 5, 5, 5, 2, 6, 6, 6, 6, 5, 6, 6, 5, 5, 6, 6, 6, 6, 6, 5, 6, 1, 1, 6, 6, 1, 1, 1, 6, 1, 6, 6, 6, 1, 0, 1, 1, 4, 1, 6, 1, 1, 1, 1, 0, 1, 1, 1, 1] 
dagP38.txt 3_2x4.txt 0.44731977818853974 0.65 278.0 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 7, 2, 2, 2, 2, 2, 7, 2, 7, 7, 7, 6, 7, 2, 2, 7, 7, 2, 7, 5, 7, 7, 5, 7, 7, 5, 2, 5, 5, 4, 7, 7, 5, 5, 5, 7, 5, 5, 7, 5, 7, 5, 5, 5, 5, 3, 5, 3, 2, 3, 6, 3, 3, 4, 3, 4, 5, 3, 5, 3, 3, 3, 7, 3, 5, 0, 3, 3, 3, 3, 3, 0, 4, 3, 3, 0, 3, 3, 4, 4, 4, 4, 4, 0, 4, 4, 4, 3, 0, 4, 0, 0, 4, 0, 4, 4, 4, 1, 0, 0, 4, 4, 4, 0, 0, 0, 4, 4, 0, 4, 0, 0, 1, 4, 4, 0, 6, 0, 1, 0, 0, 0, 4, 0, 1, 1, 0, 6, 6, 1, 0, 4, 1, 6, 2, 0, 1, 6, 1, 6, 1, 6, 6, 6, 6, 1, 1, 1, 1, 1, 6, 6, 6, 6, 1, 1, 1, 6, 6, 6, 6, 1, 6, 6, 6, 6] 
dagP38.txt 3_2x4.txt 0.43622920517560076 0.8 277.6666666666667 [7, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 7, 7, 2, 2, 7, 7, 2, 2, 7, 7, 6, 0, 2, 2, 7, 6, 7, 7, 6, 2, 7, 6, 2, 6, 6, 6, 7, 7, 6, 6, 6, 7, 6, 6, 7, 6, 7, 6, 6, 6, 6, 5, 6, 6, 6, 5, 0, 5, 6, 5, 5, 4, 5, 5, 6, 5, 5, 5, 7, 4, 5, 2, 5, 6, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 4, 4, 4, 4, 4, 4, 1, 1, 4, 5, 4, 4, 4, 4, 6, 4, 4, 4, 1, 1, 1, 1, 1, 4, 1, 4, 1, 1, 1, 1, 1, 1, 4, 1, 1, 3, 1, 4, 3, 0, 3, 1, 1, 0, 1, 3, 3, 0, 4, 3, 3, 1, 1, 0, 3, 6, 4, 1, 0, 3, 0, 3, 3, 3, 0, 4, 0, 3, 0, 0, 0, 3, 0, 2, 0, 3, 0, 0, 3, 0, 0, 0, 3, 0, 3, 0, 3, 0] 
dagP38.txt 3_2x4.txt 0.43068391866913125 0.9 277.3333333333333 [4, 7, 4, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 4, 2, 7, 7, 4, 4, 4, 4, 4, 2, 4, 4, 4, 7, 4, 4, 4, 4, 2, 7, 4, 2, 7, 2, 2, 6, 4, 4, 2, 2, 2, 2, 2, 2, 4, 2, 4, 2, 2, 2, 4, 5, 2, 2, 2, 5, 0, 5, 5, 5, 2, 3, 5, 5, 2, 5, 5, 5, 4, 3, 5, 2, 2, 5, 5, 5, 5, 5, 3, 5, 5, 3, 5, 5, 6, 3, 2, 3, 3, 0, 0, 3, 3, 5, 3, 3, 3, 3, 2, 3, 3, 3, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 6, 0, 3, 3, 6, 0, 6, 0, 0, 0, 0, 6, 6, 1, 0, 6, 6, 6, 0, 0, 6, 6, 6, 0, 1, 6, 1, 6, 6, 1, 1, 6, 1, 6, 1, 1, 6, 6, 1, 6, 6, 1, 1, 1, 6, 1, 1, 1, 6, 4, 6, 6, 6, 1] 
dagP38.txt 3_2x4.txt 0.43807763401109057 1 277.3333333333333 [7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 7, 7, 0, 0, 7, 7, 0, 2, 7, 7, 0, 0, 0, 0, 7, 5, 7, 7, 5, 0, 7, 5, 0, 5, 5, 6, 7, 7, 5, 5, 5, 7, 5, 5, 7, 5, 7, 5, 5, 5, 5, 3, 5, 3, 2, 3, 4, 3, 3, 4, 3, 2, 5, 3, 5, 3, 3, 3, 7, 3, 5, 0, 3, 3, 3, 3, 3, 4, 2, 3, 3, 2, 3, 3, 2, 2, 2, 2, 2, 0, 4, 4, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4, 2, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 2, 1, 4, 1, 4, 4, 4, 4, 1, 1, 1, 2, 1, 1, 4, 4, 2, 1, 6, 6, 4, 1, 1, 6, 1, 1, 1, 6, 6, 6, 1, 6, 1, 6, 1, 6, 4, 1, 6, 6, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6] 
