dagN7.txt 3_2x4.txt 0.4 0.4 248.0 [1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 3, 0, 1, 1, 0, 0, 3, 0, 0, 0, 3, 0, 3, 3, 0, 3, 0, 0, 3, 3, 0, 5, 3, 0, 3, 3, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 0, 5, 3, 5, 3, 3, 5, 5, 2, 2, 3, 2, 2, 2, 5, 5, 5, 2, 5, 2, 4, 2, 4, 5, 2, 5, 2, 4, 4, 2, 2, 4, 4, 2, 4, 2, 2, 4, 4, 2, 4, 2, 4, 4, 2, 7, 4, 2, 6, 4, 7, 4, 7, 2, 4, 4, 7, 7, 6, 6, 7, 4, 4, 6, 7, 7, 6, 4, 6, 0, 6, 6, 6, 7, 6, 7, 6, 6, 6, 7, 6, 6, 6, 7, 7, 6, 7, 7, 6, 6, 7, 7, 7, 6, 6, 7] 
dagN7.txt 3_2x4.txt 0.4442105263157895 0.45 225.0 [1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 4, 1, 1, 0, 3, 0, 2, 1, 0, 0, 3, 0, 0, 0, 0, 0, 3, 3, 0, 3, 0, 0, 3, 3, 6, 5, 3, 0, 3, 3, 2, 3, 3, 3, 3, 5, 5, 2, 5, 5, 5, 0, 5, 3, 5, 3, 3, 5, 5, 2, 6, 3, 2, 2, 2, 5, 5, 5, 2, 5, 2, 4, 2, 4, 5, 2, 5, 2, 4, 4, 2, 2, 4, 4, 2, 4, 2, 2, 4, 4, 2, 4, 2, 4, 4, 2, 7, 4, 2, 6, 4, 7, 4, 7, 2, 4, 4, 7, 7, 6, 6, 7, 4, 4, 6, 7, 7, 6, 4, 6, 0, 6, 6, 6, 7, 6, 7, 6, 6, 6, 7, 6, 6, 6, 7, 7, 6, 2, 7, 6, 6, 7, 7, 7, 6, 6, 7] 
dagN7.txt 3_2x4.txt 0.4442105263157895 0.5 225.0 [1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 4, 1, 1, 0, 3, 0, 2, 1, 0, 0, 3, 0, 0, 0, 0, 0, 3, 3, 0, 3, 0, 0, 3, 3, 6, 5, 3, 0, 3, 3, 2, 3, 3, 3, 3, 5, 5, 2, 5, 5, 5, 0, 5, 3, 5, 3, 3, 5, 5, 2, 6, 3, 2, 2, 2, 5, 5, 5, 2, 5, 2, 4, 2, 4, 5, 2, 5, 2, 4, 4, 2, 2, 4, 4, 2, 4, 2, 2, 4, 4, 2, 4, 2, 4, 4, 2, 7, 4, 2, 6, 4, 7, 4, 7, 2, 4, 4, 7, 7, 6, 6, 7, 4, 4, 6, 7, 7, 6, 4, 6, 0, 6, 6, 6, 7, 6, 7, 6, 6, 6, 7, 6, 6, 6, 7, 7, 6, 2, 7, 6, 6, 7, 7, 7, 6, 6, 7] 
dagN7.txt 3_2x4.txt 0.4378947368421053 0.6 226.66666666666666 [6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 6, 6, 0, 0, 6, 0, 6, 6, 6, 6, 0, 6, 0, 7, 0, 6, 6, 0, 0, 7, 0, 0, 0, 7, 0, 1, 1, 0, 7, 0, 0, 7, 1, 6, 1, 7, 0, 7, 7, 7, 1, 1, 7, 1, 1, 1, 2, 1, 1, 1, 0, 1, 7, 0, 7, 7, 3, 2, 7, 4, 7, 2, 3, 3, 2, 3, 1, 3, 1, 3, 2, 7, 2, 3, 2, 3, 3, 3, 3, 2, 2, 7, 2, 4, 3, 0, 3, 3, 2, 2, 5, 3, 2, 3, 3, 5, 2, 3, 2, 3, 2, 2, 3, 2, 5, 2, 4, 5, 5, 5, 4, 2, 2, 5, 4, 4, 5, 2, 5, 5, 5, 4, 4, 5, 4, 4, 4, 4, 4, 5, 0, 4, 4, 4, 4, 4, 4, 4, 5, 4, 5, 4, 5, 4, 4, 4] 
dagN7.txt 3_2x4.txt 0.4378947368421053 0.7 226.66666666666666 [6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 6, 6, 0, 0, 6, 0, 6, 6, 6, 6, 0, 6, 0, 7, 0, 6, 6, 0, 0, 7, 0, 0, 0, 7, 0, 1, 1, 0, 7, 0, 0, 7, 1, 6, 1, 7, 0, 7, 7, 7, 1, 1, 7, 1, 1, 1, 2, 1, 1, 1, 0, 1, 7, 0, 7, 7, 3, 2, 7, 4, 7, 2, 3, 3, 2, 3, 1, 3, 1, 3, 2, 7, 2, 3, 2, 3, 3, 3, 3, 2, 2, 7, 2, 4, 3, 0, 3, 3, 2, 2, 5, 3, 2, 3, 3, 5, 2, 3, 2, 3, 2, 2, 3, 2, 5, 2, 4, 5, 5, 5, 4, 2, 2, 5, 4, 4, 5, 2, 5, 5, 5, 4, 4, 5, 4, 4, 4, 4, 4, 5, 0, 4, 4, 4, 4, 4, 4, 4, 5, 4, 5, 4, 5, 4, 4, 4] 
dagN7.txt 3_2x4.txt 0.4442105263157895 0.55 225.0 [1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 4, 1, 1, 0, 3, 0, 2, 1, 0, 0, 3, 0, 0, 0, 0, 0, 3, 3, 0, 3, 0, 0, 3, 3, 6, 5, 3, 0, 3, 3, 2, 3, 3, 3, 3, 5, 5, 2, 5, 5, 5, 0, 5, 3, 5, 3, 3, 5, 5, 2, 6, 3, 2, 2, 2, 5, 5, 5, 2, 5, 2, 4, 2, 4, 5, 2, 5, 2, 4, 4, 2, 2, 4, 4, 2, 4, 2, 2, 4, 4, 2, 4, 2, 4, 4, 2, 7, 4, 2, 6, 4, 7, 4, 7, 2, 4, 4, 7, 7, 6, 6, 7, 4, 4, 6, 7, 7, 6, 4, 6, 0, 6, 6, 6, 7, 6, 7, 6, 6, 6, 7, 6, 6, 6, 7, 7, 6, 2, 7, 6, 6, 7, 7, 7, 6, 6, 7] 
dagN7.txt 3_2x4.txt 0.4442105263157895 0.65 225.0 [1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 4, 1, 1, 0, 3, 0, 2, 1, 0, 0, 3, 0, 0, 0, 0, 0, 3, 3, 0, 3, 0, 0, 3, 3, 6, 5, 3, 0, 3, 3, 2, 3, 3, 3, 3, 5, 5, 2, 5, 5, 5, 0, 5, 3, 5, 3, 3, 5, 5, 2, 6, 3, 2, 2, 2, 5, 5, 5, 2, 5, 2, 4, 2, 4, 5, 2, 5, 2, 4, 4, 2, 2, 4, 4, 2, 4, 2, 2, 4, 4, 2, 4, 2, 4, 4, 2, 7, 4, 2, 6, 4, 7, 4, 7, 2, 4, 4, 7, 7, 6, 6, 7, 4, 4, 6, 7, 7, 6, 4, 6, 0, 6, 6, 6, 7, 6, 7, 6, 6, 6, 7, 6, 6, 6, 7, 7, 6, 2, 7, 6, 6, 7, 7, 7, 6, 6, 7] 
dagN7.txt 3_2x4.txt 0.44 0.9 225.66666666666666 [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 0, 0, 4, 0, 0, 4, 0, 4, 4, 4, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 2, 0, 3, 2, 3, 2, 0, 2, 2, 3, 6, 2, 2, 0, 3, 3, 2, 3, 3, 2, 2, 2, 3, 2, 2, 2, 2, 6, 2, 2, 2, 2, 3, 2, 7, 3, 4, 3, 3, 7, 7, 7, 7, 3, 3, 7, 7, 6, 3, 6, 7, 7, 7, 3, 6, 6, 6, 7, 3, 6, 7, 7, 0, 7, 6, 6, 6, 5, 7, 6, 7, 7, 1, 6, 6, 2, 7, 6, 6, 7, 6, 5, 6, 1, 1, 5, 5, 1, 6, 6, 1, 1, 1, 5, 6, 1, 0, 5, 5, 5, 1, 5, 1, 5, 5, 1, 1, 0, 5, 5, 1, 5, 5, 2, 5, 1, 5, 2, 5, 1, 5, 1, 1] 
dagN7.txt 3_2x4.txt 0.4336842105263158 0.8 227.33333333333334 [1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 6, 0, 1, 0, 3, 0, 2, 1, 0, 0, 2, 0, 0, 0, 0, 0, 3, 3, 0, 3, 0, 0, 3, 3, 2, 3, 3, 0, 3, 2, 2, 3, 3, 3, 2, 2, 2, 0, 3, 3, 2, 0, 3, 2, 2, 3, 3, 3, 7, 2, 2, 2, 2, 7, 7, 7, 7, 2, 2, 7, 7, 0, 2, 5, 7, 7, 7, 2, 5, 5, 4, 7, 2, 5, 7, 5, 4, 7, 5, 5, 5, 5, 7, 5, 7, 7, 6, 5, 7, 4, 5, 5, 5, 7, 7, 5, 5, 6, 6, 4, 4, 6, 5, 5, 6, 6, 6, 4, 6, 6, 6, 4, 4, 4, 6, 4, 6, 4, 4, 6, 6, 4, 4, 4, 6, 4, 4, 4, 4, 6, 4, 6, 4, 6, 4, 6, 6] 
dagN7.txt 5_4_3_2x2.txt 0.4 0.4 198.5 [6, 6, 6, 6, 6, 2, 6, 6, 6, 6, 6, 2, 6, 6, 6, 6, 2, 2, 6, 2, 2, 2, 2, 2, 2, 6, 2, 2, 2, 6, 6, 6, 2, 3, 2, 2, 2, 0, 2, 0, 0, 0, 0, 2, 2, 0, 0, 0, 3, 0, 3, 0, 3, 0, 0, 0, 0, 0, 3, 3, 0, 3, 3, 3, 4, 3, 0, 3, 0, 0, 4, 4, 0, 0, 0, 5, 5, 5, 4, 4, 3, 4, 3, 5, 4, 0, 4, 4, 4, 5, 4, 4, 4, 4, 4, 0, 4, 5, 4, 5, 5, 4, 4, 4, 5, 1, 5, 4, 5, 7, 5, 4, 1, 5, 7, 4, 5, 5, 7, 5, 7, 7, 1, 1, 7, 5, 5, 7, 7, 7, 1, 5, 7, 0, 1, 1, 1, 7, 1, 7, 1, 1, 7, 7, 1, 1, 1, 7, 1, 1, 0, 1, 7, 1, 0, 1, 7, 1, 1, 7] 
dagN7.txt 5_4_3_2x2.txt 0.47157894736842104 0.6 162.4 [2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 0, 2, 0, 2, 2, 2, 4, 0, 2, 0, 6, 0, 1, 2, 0, 0, 4, 0, 0, 0, 4, 0, 6, 6, 0, 6, 0, 0, 6, 6, 4, 6, 6, 0, 6, 4, 1, 6, 6, 6, 4, 4, 4, 6, 6, 6, 4, 0, 6, 4, 4, 6, 6, 6, 5, 4, 4, 4, 4, 7, 7, 7, 7, 4, 4, 0, 7, 4, 4, 3, 7, 7, 4, 4, 4, 3, 0, 7, 4, 3, 0, 3, 0, 7, 3, 3, 5, 3, 7, 0, 7, 7, 5, 3, 7, 1, 3, 3, 3, 7, 7, 3, 3, 5, 5, 1, 1, 5, 0, 3, 5, 5, 5, 1, 5, 5, 5, 1, 1, 1, 5, 1, 5, 1, 1, 5, 5, 1, 1, 1, 5, 1, 1, 1, 1, 5, 1, 5, 1, 5, 1, 5, 5] 
