dagL20.txt 3_2x4.txt True 0.06490384615384616 0.07 949.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7] 
dagL20.txt 3_2x4.txt True 0.0985576923076923 0.1 895.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 1, 7, 7, 1, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 3, 7, 7, 2, 2, 7, 7, 7, 7, 7, 3, 7, 1, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7] 
dagL20.txt 3_2x4.txt True 0.14423076923076922 0.15 847.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 5, 7, 7, 5, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 4, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 1, 7, 7, 1, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 3, 1, 7, 2, 2, 7, 7, 7, 7, 7, 3, 7, 1, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7] 
dagL20.txt 3_2x4.txt True 0.19471153846153846 0.2 703.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 5, 5, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 1, 7, 1, 2, 2, 2, 7, 7, 2, 6, 2, 1, 2, 2, 2, 1, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 1, 2, 2, 2, 3, 2, 2, 2, 2, 1, 3, 2] 
dagL20.txt 3_2x4.txt True 0.2932692307692308 0.3 356.75 [1, 1, 2, 2, 2, 3, 1, 2, 1, 1, 3, 2, 3, 3, 3, 3, 3, 2, 1, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 0, 3, 3, 3, 3, 3, 5, 5, 5, 5, 3, 5, 5, 3, 3, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 6, 5, 5, 7, 5, 7, 5, 5, 7, 4, 7, 5, 7, 7, 6, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7] 
dagL20.txt 3_2x4.txt True 0.39903846153846156 0.4 513.0 [5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 4, 4, 5, 5, 4, 4, 4, 5, 4, 5, 4, 4, 7, 4, 6, 7, 5, 6, 7, 4, 4, 7, 7, 4, 7, 7, 6, 7, 4, 4, 6, 7, 6, 7, 7, 7, 7, 6, 7, 6, 6, 6, 6, 7, 6, 7, 7, 6, 6, 6, 0, 1, 0, 6, 1, 1, 6, 6, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 3, 0, 3, 3, 1, 0, 1, 1, 3, 0, 2, 3, 3, 3, 2, 2, 0, 3, 3, 2, 3, 2, 2, 3, 3, 2, 3, 2, 2, 2, 3, 2, 3, 0, 2, 3, 2, 2, 3, 3, 2, 3, 2, 2] 
dagL20.txt 3_2x4.txt True 0.5 0.5 415.0 [4, 4, 4, 4, 4, 1, 5, 5, 4, 4, 5, 1, 4, 4, 5, 5, 5, 4, 4, 6, 5, 5, 4, 5, 4, 5, 5, 4, 5, 6, 6, 4, 1, 7, 5, 5, 6, 5, 5, 6, 7, 6, 7, 5, 5, 7, 7, 6, 7, 6, 6, 5, 6, 7, 7, 7, 7, 6, 7, 6, 7, 7, 7, 6, 6, 2, 3, 2, 7, 3, 3, 1, 7, 1, 3, 3, 2, 3, 7, 3, 3, 2, 2, 3, 2, 2, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 1, 1, 1, 2, 3, 2, 3, 3, 0, 1, 1, 1, 0, 0, 0, 1, 2, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 2, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1] 
dagL20.txt 3_2x4.txt True 0.5865384615384616 0.6 212.25 [1, 3, 4, 4, 3, 5, 5, 1, 4, 4, 5, 3, 4, 1, 5, 5, 5, 4, 4, 3, 5, 5, 4, 5, 3, 5, 5, 4, 5, 6, 6, 4, 5, 7, 5, 5, 6, 5, 5, 6, 7, 6, 7, 5, 5, 7, 7, 3, 7, 3, 6, 5, 6, 7, 7, 7, 7, 6, 7, 1, 7, 7, 7, 3, 5, 2, 3, 2, 7, 7, 7, 5, 7, 7, 5, 3, 1, 3, 7, 3, 3, 3, 7, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 7, 3, 3, 1, 5, 7, 2, 3, 2, 3, 3, 0, 7, 1, 1, 0, 0, 0, 1, 2, 1, 1, 1, 3, 5, 1, 0, 5, 1, 1, 7, 1, 1, 3, 1, 0, 2, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1] 
dagL20.txt 3_2x4.txt True 0.5865384615384616 0.7 212.25 [1, 3, 4, 4, 3, 5, 5, 1, 4, 4, 5, 3, 4, 1, 5, 5, 5, 4, 4, 3, 5, 5, 4, 5, 3, 5, 5, 4, 5, 6, 6, 4, 5, 7, 5, 5, 6, 5, 5, 6, 7, 6, 7, 5, 5, 7, 7, 3, 7, 3, 6, 5, 6, 7, 7, 7, 7, 6, 7, 1, 7, 7, 7, 3, 5, 2, 3, 2, 7, 7, 7, 5, 7, 7, 5, 3, 1, 3, 7, 3, 3, 3, 7, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 7, 3, 3, 1, 5, 7, 2, 3, 2, 3, 3, 0, 7, 1, 1, 0, 0, 0, 1, 2, 1, 1, 1, 3, 5, 1, 0, 5, 1, 1, 7, 1, 1, 3, 1, 0, 2, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1] 
dagL20.txt 3_2x4.txt True 0.5865384615384616 1 212.25 [1, 3, 4, 4, 3, 5, 5, 1, 4, 4, 5, 3, 4, 1, 5, 5, 5, 4, 4, 3, 5, 5, 4, 5, 3, 5, 5, 4, 5, 6, 6, 4, 5, 7, 5, 5, 6, 5, 5, 6, 7, 6, 7, 5, 5, 7, 7, 3, 7, 3, 6, 5, 6, 7, 7, 7, 7, 6, 7, 1, 7, 7, 7, 3, 5, 2, 3, 2, 7, 7, 7, 5, 7, 7, 5, 3, 1, 3, 7, 3, 3, 3, 7, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 7, 3, 3, 1, 5, 7, 2, 3, 2, 3, 3, 0, 7, 1, 1, 0, 0, 0, 1, 2, 1, 1, 1, 3, 5, 1, 0, 5, 1, 1, 7, 1, 1, 3, 1, 0, 2, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1] 
