dagM3.txt 1234x1.txt True 0.42139737991266374 0.5 463.25 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 3, 2, 2, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 3, 3, 3, 1, 3, 3, 0, 3, 3, 0, 3, 3, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 3, 2, 3, 0, 0, 0, 3, 0, 0, 0, 0] 
dagM3.txt 1234x3.txt True 0.740174672489083 0.5 10000000433.0 [1, 2, 1, 1, 1, 2, 2, 2, 2, 1, 0, 1, 1, 2, 1, 0, 1, 1, 0, 1, 2, 1, 1, 2, 0, 2, 0, 1, 2, 1, 2, 0, 0, 0, 2, 5, 4, 0, 2, 4, 4, 0, 0, 3, 4, 4, 4, 3, 3, 5, 4, 4, 5, 5, 5, 3, 5, 5, 4, 4, 4, 3, 3, 3, 5, 4, 5, 3, 3, 5, 4, 11, 3, 5, 3, 5, 10, 4, 11, 11, 10, 11, 10, 9, 10, 10, 10, 10, 11, 10, 11, 10, 11, 11, 11, 11, 9, 10, 11, 9, 11, 10, 9, 11, 10, 9, 10, 8, 6, 7, 7, 11, 7, 9, 7, 7, 9, 9, 9, 8, 7, 9, 6, 9, 8, 7, 8, 6, 8, 6, 6, 8, 8, 6, 8, 7, 9, 8, 8, 7, 6, 6, 6, 6, 6, 8, 8, 6, 6, 8] 
dagM3.txt 1234x1.txt True 0.42139737991266374 0.6 463.25 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 3, 2, 2, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 3, 3, 3, 1, 3, 3, 0, 3, 3, 0, 3, 3, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 3, 2, 3, 0, 0, 0, 3, 0, 0, 0, 0] 
dagM3.txt 1234x3.txt True 0.740174672489083 0.6 10000000433.0 [1, 2, 1, 1, 1, 2, 2, 2, 2, 1, 0, 1, 1, 2, 1, 0, 1, 1, 0, 1, 2, 1, 1, 2, 0, 2, 0, 1, 2, 1, 2, 0, 0, 0, 2, 5, 4, 0, 2, 4, 4, 0, 0, 3, 4, 4, 4, 3, 3, 5, 4, 4, 5, 5, 5, 3, 5, 5, 4, 4, 4, 3, 3, 3, 5, 4, 5, 3, 3, 5, 4, 11, 3, 5, 3, 5, 10, 4, 11, 11, 10, 11, 10, 9, 10, 10, 10, 10, 11, 10, 11, 10, 11, 11, 11, 11, 9, 10, 11, 9, 11, 10, 9, 11, 10, 9, 10, 8, 6, 7, 7, 11, 7, 9, 7, 7, 9, 9, 9, 8, 7, 9, 6, 9, 8, 7, 8, 6, 8, 6, 6, 8, 8, 6, 8, 7, 9, 8, 8, 7, 6, 6, 6, 6, 6, 8, 8, 6, 6, 8] 
dagM3.txt 1234x1.txt True 0.42139737991266374 0.7 463.25 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 3, 2, 2, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 3, 3, 3, 1, 3, 3, 0, 3, 3, 0, 3, 3, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 3, 2, 3, 0, 0, 0, 3, 0, 0, 0, 0] 
dagM3.txt 1234x3.txt True 0.740174672489083 0.7 10000000433.0 [1, 2, 1, 1, 1, 2, 2, 2, 2, 1, 0, 1, 1, 2, 1, 0, 1, 1, 0, 1, 2, 1, 1, 2, 0, 2, 0, 1, 2, 1, 2, 0, 0, 0, 2, 5, 4, 0, 2, 4, 4, 0, 0, 3, 4, 4, 4, 3, 3, 5, 4, 4, 5, 5, 5, 3, 5, 5, 4, 4, 4, 3, 3, 3, 5, 4, 5, 3, 3, 5, 4, 11, 3, 5, 3, 5, 10, 4, 11, 11, 10, 11, 10, 9, 10, 10, 10, 10, 11, 10, 11, 10, 11, 11, 11, 11, 9, 10, 11, 9, 11, 10, 9, 11, 10, 9, 10, 8, 6, 7, 7, 11, 7, 9, 7, 7, 9, 9, 9, 8, 7, 9, 6, 9, 8, 7, 8, 6, 8, 6, 6, 8, 8, 6, 8, 7, 9, 8, 8, 7, 6, 6, 6, 6, 6, 8, 8, 6, 6, 8] 
dagM3.txt 1234x1.txt True 0.42139737991266374 0.8 463.25 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 3, 2, 2, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 3, 3, 3, 1, 3, 3, 0, 3, 3, 0, 3, 3, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 3, 2, 3, 0, 0, 0, 3, 0, 0, 0, 0] 
dagM3.txt 1234x3.txt True 0.7947598253275109 0.8 158.5 [3, 2, 1, 1, 1, 2, 2, 2, 2, 1, 7, 1, 7, 2, 1, 0, 1, 1, 0, 7, 2, 1, 7, 2, 0, 2, 3, 1, 2, 1, 2, 11, 0, 0, 2, 10, 4, 0, 2, 4, 3, 7, 0, 3, 4, 3, 3, 3, 3, 5, 3, 4, 5, 5, 5, 2, 6, 11, 4, 7, 3, 11, 3, 3, 5, 3, 5, 3, 3, 5, 4, 11, 3, 5, 3, 5, 10, 6, 11, 11, 10, 11, 10, 9, 10, 10, 10, 10, 11, 10, 11, 10, 11, 11, 11, 11, 9, 10, 11, 9, 11, 10, 9, 11, 10, 9, 10, 2, 6, 7, 7, 11, 7, 9, 7, 7, 11, 9, 9, 3, 7, 7, 6, 9, 7, 7, 3, 6, 3, 6, 6, 8, 8, 6, 8, 7, 9, 8, 5, 7, 6, 6, 6, 6, 6, 11, 8, 6, 6, 8] 
dagM3.txt 1234x1.txt True 0.42139737991266374 0.5 463.25 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 3, 2, 2, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 3, 3, 3, 1, 3, 3, 0, 3, 3, 0, 3, 3, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 3, 2, 3, 0, 0, 0, 3, 0, 0, 0, 0] 
dagM3.txt 1234x3.txt True 0.740174672489083 0.5 10000000433.0 [1, 2, 1, 1, 1, 2, 2, 2, 2, 1, 0, 1, 1, 2, 1, 0, 1, 1, 0, 1, 2, 1, 1, 2, 0, 2, 0, 1, 2, 1, 2, 0, 0, 0, 2, 5, 4, 0, 2, 4, 4, 0, 0, 3, 4, 4, 4, 3, 3, 5, 4, 4, 5, 5, 5, 3, 5, 5, 4, 4, 4, 3, 3, 3, 5, 4, 5, 3, 3, 5, 4, 11, 3, 5, 3, 5, 10, 4, 11, 11, 10, 11, 10, 9, 10, 10, 10, 10, 11, 10, 11, 10, 11, 11, 11, 11, 9, 10, 11, 9, 11, 10, 9, 11, 10, 9, 10, 8, 6, 7, 7, 11, 7, 9, 7, 7, 9, 9, 9, 8, 7, 9, 6, 9, 8, 7, 8, 6, 8, 6, 6, 8, 8, 6, 8, 7, 9, 8, 8, 7, 6, 6, 6, 6, 6, 8, 8, 6, 6, 8] 
