dagI30.txt 3_2x4.txt True 0.06734006734006734 0.07 661.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 3, 3, 1, 3, 1, 3, 3, 1] 
dagI30.txt 3_2x4.txt True 0.07407407407407407 0.1 657.5 [1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 3, 1, 3, 1, 1, 3, 1, 3, 1, 1] 
dagI30.txt 3_2x4.txt True 0.11784511784511785 0.15 585.25 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 7, 3, 3, 7, 6, 3, 3, 3, 3, 3, 6, 3, 3, 3, 6, 6, 7, 3, 1, 6, 6, 3, 1, 6, 3, 1, 6, 1, 6, 7] 
dagI30.txt 3_2x4.txt True 0.11784511784511785 0.2 585.25 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 7, 3, 3, 7, 6, 3, 3, 3, 3, 3, 6, 3, 3, 3, 6, 6, 7, 3, 1, 6, 6, 3, 1, 6, 3, 1, 6, 1, 6, 7] 
dagI30.txt 3_2x4.txt True 0.1717171717171717 0.3 541.5 [5, 5, 5, 5, 5, 5, 3, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7, 5, 0, 5, 0, 5, 5, 1, 5, 0, 5, 5, 6, 7, 4, 5, 6, 0, 4, 0, 6, 0, 0, 6, 7, 4, 0, 5] 
dagI30.txt 3_2x4.txt True 0.1717171717171717 0.4 541.5 [5, 5, 5, 5, 5, 5, 3, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7, 5, 0, 5, 0, 5, 5, 1, 5, 0, 5, 5, 6, 7, 4, 5, 6, 0, 4, 0, 6, 0, 0, 6, 7, 4, 0, 5] 
dagI30.txt 3_2x4.txt True 0.4208754208754209 0.5 215.0 [5, 3, 5, 3, 3, 3, 3, 3, 4, 3, 3, 3, 5, 3, 5, 4, 2, 5, 3, 5, 3, 5, 5, 3, 4, 2, 1, 5, 1, 3, 0, 5, 5, 4, 2, 5, 5, 5, 1, 0, 5, 5, 5, 1, 5, 1, 1, 5, 5, 5, 5, 1, 5, 1, 5, 0, 7, 5, 5, 5, 0, 1, 5, 0, 5, 7, 1, 0, 5, 7, 7, 7, 1, 7, 7, 1, 7, 7, 5, 1, 7, 1, 7, 0, 1, 1, 1, 7, 1, 7, 1, 7, 3, 1, 7, 1, 1, 1, 7, 6] 
dagI30.txt 3_2x4.txt True 0.40404040404040403 0.6 206.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 1, 5, 5, 3, 7, 4, 7, 5, 1, 7, 7, 1, 5, 3, 4, 5, 1, 3, 5, 5, 5, 3, 5, 5, 1, 1, 1, 5, 1, 5, 3, 5, 5, 3, 1, 2, 3, 5, 1, 1, 1, 3, 1, 1, 5, 5, 3, 3, 5, 5, 3, 5, 1, 1, 1, 2, 3, 5, 1, 3, 5, 5, 1, 3, 5, 3, 5, 4, 5, 5, 3, 3, 3, 1, 2] 
dagI30.txt 3_2x4.txt True 0.5589225589225589 0.7 168.75 [1, 7, 1, 7, 7, 1, 0, 7, 7, 1, 3, 7, 7, 1, 1, 7, 3, 1, 7, 1, 1, 1, 0, 1, 3, 3, 3, 6, 7, 3, 7, 1, 3, 3, 3, 6, 1, 7, 0, 7, 3, 5, 7, 3, 3, 7, 7, 3, 3, 5, 5, 6, 1, 3, 3, 7, 5, 7, 7, 5, 1, 3, 1, 2, 5, 3, 5, 6, 1, 5, 5, 5, 1, 5, 5, 3, 5, 3, 5, 2, 2, 3, 5, 1, 1, 0, 6, 2, 4, 5, 1, 5, 4, 3, 5, 4, 1, 4, 4, 2] 
dagI30.txt 3_2x4.txt True 0.734006734006734 1 192.0 [6, 3, 7, 1, 7, 4, 5, 6, 5, 7, 3, 7, 5, 7, 4, 5, 6, 7, 7, 3, 5, 5, 5, 7, 7, 3, 7, 3, 5, 7, 5, 5, 1, 3, 6, 3, 3, 7, 1, 5, 3, 7, 7, 7, 7, 4, 5, 1, 1, 0, 3, 3, 3, 1, 1, 3, 6, 7, 3, 3, 2, 5, 3, 1, 4, 1, 1, 3, 5, 5, 5, 7, 5, 0, 5, 4, 0, 1, 7, 5, 0, 0, 2, 3, 1, 5, 2, 1, 1, 5, 3, 1, 2, 1, 1, 1, 1, 3, 2, 3] 
dagI30.txt 3_2x2.txt True 0.06734006734006734 0.07 881.6666666666666 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0] 
dagI30.txt 3_2x2.txt True 0.07407407407407407 0.1 876.6666666666666 [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0] 
dagI30.txt 3_2x2.txt True 0.10774410774410774 0.15 800.6666666666666 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 3, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3, 3, 0, 0, 2, 1, 0, 0, 2, 0, 1, 3, 1, 2, 2] 
dagI30.txt 3_2x2.txt True 0.10774410774410774 0.2 800.6666666666666 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 3, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3, 3, 0, 0, 2, 1, 0, 0, 2, 0, 1, 3, 1, 2, 2] 
dagI30.txt 3_2x2.txt True 0.15824915824915825 0.3 781.0 [2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 0, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 1, 2, 1, 0, 2, 2, 0, 0, 2, 1, 1, 3, 0, 2] 
dagI30.txt 3_2x2.txt True 0.15824915824915825 0.4 781.0 [2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 0, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 1, 2, 1, 0, 2, 2, 0, 0, 2, 1, 1, 3, 0, 2] 
dagI30.txt 3_2x2.txt True 0.4208754208754209 0.5 363.5 [0, 1, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 0, 2, 2, 0, 1, 0, 1, 0, 2, 1, 2, 2, 3, 2, 1, 1, 0, 0, 2, 2, 2, 0, 0, 2, 1, 0, 2, 2, 2, 3, 2, 1, 1, 2, 2, 2, 2, 1, 2, 1, 2, 3, 0, 2, 2, 2, 3, 3, 2, 1, 2, 0, 1, 1, 2, 0, 0, 0, 3, 0, 0, 3, 0, 0, 2, 3, 0, 3, 0, 1, 3, 3, 3, 0, 3, 0, 3, 0, 3, 3, 0, 3, 3, 3, 0, 2] 
dagI30.txt 3_2x2.txt True 0.37037037037037035 0.6 351.3333333333333 [3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 0, 2, 3, 2, 2, 2, 2, 2, 2, 3, 3, 0, 3, 2, 2, 3, 2, 2, 2, 0, 3, 2, 0, 2, 2, 2, 2, 0, 2, 1, 2, 2, 2, 2, 2, 3, 0, 0, 1, 0, 1, 2, 0, 2, 2, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1] 
dagI30.txt 3_2x2.txt True 0.40404040404040403 0.7 302.6666666666667 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 3, 1, 2, 1, 0, 3, 0, 0, 1, 1, 3, 2, 0, 1, 1, 0, 1, 2, 1, 2, 1, 0, 0, 1, 1, 2, 2, 1, 3, 2, 1, 0, 3, 1, 1, 2, 2, 3, 3, 2, 2, 2, 2, 1, 3, 3, 2, 2, 1, 2, 2, 3, 2, 2, 2, 3, 2, 3, 2, 2, 1, 3, 3, 3, 3, 2, 1, 2, 3, 3, 2, 3, 1, 3, 2, 2] 
dagI30.txt 3_2x2.txt True 0.6599326599326599 1 312.3333333333333 [2, 3, 2, 2, 3, 3, 2, 3, 1, 3, 3, 0, 2, 3, 0, 2, 3, 2, 3, 3, 2, 1, 1, 0, 0, 0, 2, 1, 1, 0, 2, 1, 1, 0, 0, 3, 0, 0, 1, 2, 2, 0, 0, 2, 2, 1, 1, 1, 0, 2, 2, 1, 2, 3, 0, 1, 0, 0, 2, 2, 1, 2, 3, 3, 0, 3, 3, 0, 1, 0, 2, 0, 2, 0, 2, 3, 2, 0, 0, 1, 1, 0, 2, 0, 0, 0, 2, 0, 2, 2, 0, 3, 1, 0, 3, 0, 2, 0, 1, 2] 
dagI30.txt 3_2x1.txt True 0.06734006734006734 0.07 881.6666666666666 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0] 
dagI30.txt 3_2x1.txt True 0.0 0.1 969.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagI30.txt 3_2x1.txt True 0.06397306397306397 0.15 865.6666666666666 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1] 
dagI30.txt 3_2x1.txt True 0.06397306397306397 0.2 865.6666666666666 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1] 
dagI30.txt 3_2x1.txt True 0.07407407407407407 0.3 859.3333333333334 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0] 
dagI30.txt 3_2x1.txt True 0.07407407407407407 0.4 859.3333333333334 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0] 
dagI30.txt 3_2x1.txt True 0.29292929292929293 0.5 654.3333333333334 [1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0] 
dagI30.txt 3_2x1.txt True 0.32323232323232326 0.6 653.5 [1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0] 
dagI30.txt 3_2x1.txt True 0.32323232323232326 0.7 611.6666666666666 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1] 
dagI30.txt 3_2x1.txt True 0.21885521885521886 1 608.5 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
