dagJ33.txt 3_2x4.txt True 0.046703296703296704 0.07 874.5 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1] 
dagJ33.txt 3_2x4.txt True 0.07142857142857142 0.1 854.5 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1] 
dagJ33.txt 3_2x4.txt True 0.12087912087912088 0.15 823.75 [3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 1, 3, 3, 3, 3, 3, 3, 5, 5, 3, 5, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3] 
dagJ33.txt 3_2x4.txt True 0.17307692307692307 0.2 735.0 [1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 5, 1, 0, 0, 0, 5, 5, 1, 7, 1] 
dagJ33.txt 3_2x4.txt True 0.17307692307692307 0.3 735.0 [1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 5, 1, 0, 0, 0, 5, 5, 1, 7, 1] 
dagJ33.txt 3_2x4.txt True 0.17307692307692307 0.4 735.0 [1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 5, 1, 0, 0, 0, 5, 5, 1, 7, 1] 
dagJ33.txt 3_2x4.txt True 0.4175824175824176 0.5 248.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 5, 1, 5, 2, 1, 3, 1, 3, 3, 5, 3, 5, 1, 3, 4, 1, 2, 1, 2, 2, 5, 1, 6, 1, 5, 4, 3, 3, 5, 3, 5, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 5, 3, 7, 3, 3, 3, 2, 3, 3, 3, 3, 3, 2, 5, 3, 7, 3, 5, 5, 3, 3, 7, 7, 3, 7, 7, 7, 3, 5, 5, 7, 3, 5, 5, 7, 7, 5, 6, 7, 5, 6, 5, 7, 5, 5, 7, 6, 5, 7, 7, 7, 5, 5, 7, 7, 5, 6, 5, 5, 5, 5, 7, 5, 5, 7, 3] 
dagJ33.txt 3_2x4.txt True 0.4835164835164835 0.6 242.0 [1, 1, 3, 3, 2, 1, 3, 3, 1, 3, 1, 5, 1, 3, 1, 1, 1, 3, 2, 3, 6, 1, 3, 5, 3, 1, 5, 1, 3, 5, 3, 6, 2, 3, 1, 3, 1, 1, 5, 1, 5, 3, 2, 1, 5, 5, 5, 5, 4, 5, 0, 6, 5, 5, 7, 5, 5, 0, 0, 5, 6, 5, 3, 5, 5, 5, 7, 7, 5, 5, 5, 7, 7, 7, 0, 5, 5, 7, 3, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 3, 7, 1, 5, 4, 7, 3, 3, 3, 7, 3, 3, 7, 4, 7, 7, 4, 7, 3, 7, 7, 7, 4, 3, 3, 3, 4, 7, 7, 3, 4] 
dagJ33.txt 3_2x4.txt True 0.521978021978022 0.7 258.5 [7, 7, 1, 1, 1, 7, 7, 1, 7, 1, 7, 2, 1, 1, 1, 7, 7, 1, 7, 1, 2, 3, 1, 5, 1, 3, 2, 2, 3, 7, 7, 7, 7, 3, 3, 1, 1, 1, 7, 2, 5, 5, 3, 3, 5, 3, 3, 3, 3, 3, 2, 0, 3, 7, 5, 5, 7, 7, 3, 7, 0, 7, 7, 5, 7, 5, 0, 3, 5, 7, 3, 7, 4, 7, 5, 5, 5, 7, 3, 7, 7, 7, 1, 0, 1, 7, 1, 1, 5, 3, 1, 1, 5, 1, 5, 0, 4, 5, 1, 4, 1, 5, 4, 7, 5, 1, 1, 4, 5, 5, 5, 1, 5, 5, 5, 4, 1, 5, 5, 1] 
dagJ33.txt 3_2x4.txt True 0.75 1 199.5 [3, 3, 7, 1, 7, 6, 3, 4, 3, 1, 1, 7, 3, 3, 7, 4, 6, 5, 3, 1, 2, 1, 1, 7, 1, 5, 5, 1, 4, 6, 1, 4, 1, 1, 1, 5, 1, 3, 7, 3, 6, 6, 2, 6, 5, 3, 7, 7, 1, 1, 5, 7, 3, 0, 3, 2, 0, 1, 7, 5, 5, 1, 3, 5, 5, 1, 1, 0, 7, 5, 7, 3, 5, 1, 1, 5, 0, 5, 7, 1, 1, 1, 0, 3, 5, 5, 0, 7, 5, 7, 5, 3, 7, 3, 3, 3, 7, 7, 5, 5, 3, 1, 7, 3, 5, 3, 7, 5, 5, 7, 3, 3, 4, 2, 2, 7, 2, 7, 4, 3] 
