dagK45.txt 3_2x4.txt True 0.031413612565445025 0.07 935.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 1, 5, 1] 
dagK45.txt 3_2x4.txt True 0.08638743455497382 0.1 875.75 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 3, 3, 3, 3, 1, 1, 1, 3, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 3] 
dagK45.txt 3_2x4.txt True 0.09947643979057591 0.15 872.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 3, 7, 3, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 3, 5, 7, 7, 7, 7, 7, 7, 1, 7, 1, 7, 1, 7] 
dagK45.txt 3_2x4.txt True 0.17015706806282724 0.2 810.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 0, 3, 1, 1, 5, 5, 1, 3, 7, 7, 1, 6, 1, 1, 3, 0, 1, 1, 0, 1, 1, 0, 4, 1, 5, 0, 6, 7, 1, 1, 4] 
dagK45.txt 3_2x4.txt True 0.17015706806282724 0.3 810.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 0, 3, 1, 1, 5, 5, 1, 3, 7, 7, 1, 6, 1, 1, 3, 0, 1, 1, 0, 1, 1, 0, 4, 1, 5, 0, 6, 7, 1, 1, 4] 
dagK45.txt 3_2x4.txt True 0.17015706806282724 0.4 810.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 0, 3, 1, 1, 5, 5, 1, 3, 7, 7, 1, 6, 1, 1, 3, 0, 1, 1, 0, 1, 1, 0, 4, 1, 5, 0, 6, 7, 1, 1, 4] 
dagK45.txt 3_2x4.txt True 0.3900523560209424 0.5 259.25 [0, 5, 5, 5, 0, 5, 5, 2, 5, 5, 0, 5, 0, 1, 5, 5, 5, 0, 5, 3, 1, 5, 1, 0, 5, 5, 0, 5, 5, 1, 3, 1, 3, 1, 1, 5, 5, 1, 5, 1, 2, 5, 1, 3, 1, 3, 1, 4, 2, 3, 1, 1, 1, 3, 1, 1, 1, 3, 4, 1, 1, 1, 1, 3, 3, 3, 5, 3, 3, 1, 3, 3, 3, 3, 3, 1, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 1, 7, 3, 3, 1, 3, 7, 3, 1, 3, 7, 7, 7, 7, 7, 1, 1, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 1, 6, 7, 6, 5, 7, 7, 7] 
dagK45.txt 3_2x4.txt True 0.4109947643979058 0.6 243.0 [7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 3, 7, 7, 3, 7, 7, 3, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 3, 5, 7, 7, 3, 7, 7, 0, 7, 1, 4, 3, 5, 5, 4, 0, 2, 1, 1, 1, 3, 0, 0, 1, 5, 1, 1, 1, 1, 0, 0, 5, 1, 3, 5, 5, 1, 5, 5, 5, 5, 1, 1, 5, 3, 5, 5, 5, 1, 0, 3, 5, 5, 5, 1, 3, 3, 3, 5, 5, 3, 2, 3, 5, 3, 5, 3, 3, 1, 3, 3, 3, 3, 3, 5, 5, 1, 2, 3, 5, 3, 3, 3, 3, 2, 3, 3, 3, 1, 3, 4, 5, 5, 4, 2, 5, 1] 
dagK45.txt 3_2x4.txt True 0.6073298429319371 0.7 246.0 [1, 5, 0, 7, 7, 1, 7, 1, 1, 5, 5, 7, 6, 7, 3, 5, 3, 6, 0, 3, 3, 3, 3, 5, 2, 5, 5, 6, 5, 2, 3, 5, 3, 3, 1, 7, 5, 5, 7, 7, 7, 2, 7, 2, 2, 0, 5, 5, 3, 2, 7, 7, 3, 7, 3, 7, 1, 1, 5, 3, 1, 3, 1, 5, 5, 5, 5, 1, 0, 5, 5, 7, 3, 1, 3, 3, 5, 5, 3, 1, 0, 5, 5, 6, 7, 1, 1, 3, 1, 5, 6, 7, 3, 5, 1, 3, 0, 5, 4, 7, 1, 4, 1, 3, 7, 6, 3, 1, 7, 1, 4, 7, 7, 1, 1, 3, 7, 7, 4, 3, 1, 1, 7, 6, 7, 4, 1, 4, 7, 7] 
dagK45.txt 3_2x4.txt True 0.6963350785340314 1 219.5 [3, 3, 2, 3, 5, 5, 3, 5, 2, 2, 3, 3, 5, 3, 2, 1, 5, 3, 7, 3, 3, 5, 1, 3, 3, 3, 3, 1, 7, 2, 3, 3, 3, 3, 1, 5, 7, 1, 5, 1, 3, 5, 1, 5, 1, 7, 1, 7, 1, 7, 7, 5, 5, 5, 1, 3, 1, 5, 7, 7, 1, 7, 0, 3, 3, 1, 1, 5, 2, 5, 1, 7, 7, 5, 7, 1, 7, 5, 3, 1, 1, 7, 5, 5, 5, 1, 1, 7, 7, 5, 6, 5, 3, 7, 1, 7, 3, 1, 5, 7, 1, 7, 6, 3, 7, 0, 1, 6, 7, 4, 4, 7, 0, 1, 6, 0, 0, 4, 7, 1, 3, 4, 7, 7, 4, 5, 6, 6, 4, 0] 
