dagK35.txt 3_2x4.txt True 0.056265984654731455 0.07 877.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 3, 5, 5, 7, 7, 7, 7, 3, 7, 5] 
dagK35.txt 3_2x4.txt True 0.08439897698209718 0.1 833.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 4, 7, 7, 7, 7, 7, 7, 4, 4, 7, 7, 7, 7, 7, 7, 4, 7, 4, 7, 7, 4, 4, 4, 7, 7, 7, 4, 4, 7, 4] 
dagK35.txt 3_2x4.txt True 0.12020460358056266 0.15 809.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 2, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 0, 1, 7, 7, 3, 7, 7, 7, 7, 1, 3, 3, 7, 0, 1, 7, 7, 1, 3] 
dagK35.txt 3_2x4.txt True 0.1483375959079284 0.2 760.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 1, 7, 3, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 3, 7, 1, 2, 3, 7, 7, 7, 7, 1, 3, 7, 7, 7, 1, 7, 0, 0, 7, 7, 2, 7, 1, 1, 7, 2, 2, 2, 7, 0, 0, 7, 7, 3, 2] 
dagK35.txt 3_2x4.txt True 0.14578005115089515 0.3 629.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 2, 3, 0, 7, 3, 1, 7, 3, 1, 3, 0, 0, 0, 3, 1, 2, 3, 3, 2, 0, 1, 1, 2, 0, 3, 1, 1, 1, 2, 2, 1, 0, 2, 3, 1, 0, 2] 
dagK35.txt 3_2x4.txt True 0.14578005115089515 0.4 629.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 2, 3, 0, 7, 3, 1, 7, 3, 1, 3, 0, 0, 0, 3, 1, 2, 3, 3, 2, 0, 1, 1, 2, 0, 3, 1, 1, 1, 2, 2, 1, 0, 2, 3, 1, 0, 2] 
dagK35.txt 3_2x4.txt True 0.43478260869565216 0.5 265.5 [5, 3, 3, 3, 3, 5, 5, 5, 5, 5, 3, 3, 3, 3, 6, 5, 3, 3, 5, 5, 6, 5, 5, 5, 6, 6, 7, 1, 1, 6, 5, 6, 5, 7, 7, 5, 1, 1, 6, 5, 1, 1, 7, 7, 7, 5, 7, 1, 7, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 1, 5, 5, 1, 7, 5, 7, 5, 5, 7, 1, 5, 5, 7, 5, 5, 1, 5, 5, 3, 1, 4, 1, 5, 1, 5, 5, 3, 3, 1, 5, 5, 1, 3, 4, 1, 1, 1, 1, 1, 2, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 1, 3, 2, 3, 1, 1, 3, 3, 3, 3, 3, 1, 1] 
dagK35.txt 3_2x4.txt True 0.49104859335038364 0.6 279.0 [5, 1, 5, 1, 4, 5, 4, 1, 4, 5, 4, 1, 1, 1, 5, 1, 1, 5, 4, 1, 1, 4, 4, 5, 1, 5, 5, 7, 3, 5, 1, 5, 1, 5, 7, 4, 7, 5, 5, 7, 7, 3, 5, 7, 7, 7, 7, 7, 3, 3, 3, 7, 7, 5, 7, 3, 7, 7, 3, 3, 3, 3, 3, 3, 7, 3, 3, 7, 7, 0, 7, 3, 7, 7, 1, 3, 3, 5, 3, 3, 1, 3, 5, 1, 3, 3, 0, 3, 1, 1, 1, 5, 3, 1, 3, 5, 0, 3, 1, 3, 3, 0, 1, 5, 3, 1, 3, 1, 3, 3, 0, 1, 3, 0, 1, 1, 0, 3, 3, 0, 1, 1, 1, 3, 3, 1, 3, 1, 1, 1] 
dagK35.txt 3_2x4.txt True 0.5038363171355499 0.7 249.0 [4, 4, 5, 1, 5, 5, 5, 1, 4, 1, 1, 1, 5, 5, 4, 5, 5, 5, 4, 4, 6, 1, 5, 5, 1, 5, 7, 1, 7, 5, 5, 6, 1, 7, 7, 5, 1, 7, 6, 7, 7, 7, 7, 7, 4, 1, 7, 7, 1, 7, 3, 7, 1, 7, 6, 3, 7, 7, 3, 7, 3, 1, 1, 3, 7, 6, 3, 7, 3, 2, 7, 1, 3, 2, 7, 3, 3, 7, 3, 3, 2, 1, 1, 0, 3, 1, 2, 3, 2, 5, 1, 0, 3, 5, 5, 1, 3, 5, 0, 1, 5, 3, 2, 1, 3, 3, 5, 3, 5, 5, 5, 3, 3, 3, 3, 1, 3, 5, 3, 3, 3, 1, 0, 3, 3, 3, 5, 3, 1, 0] 
dagK35.txt 3_2x4.txt True 0.6777493606138107 1 224.0 [7, 2, 2, 2, 3, 3, 3, 3, 3, 3, 2, 7, 3, 3, 3, 3, 3, 2, 3, 1, 2, 7, 3, 3, 1, 3, 3, 0, 5, 3, 5, 5, 5, 3, 7, 1, 7, 7, 5, 7, 1, 1, 5, 0, 5, 3, 3, 1, 7, 5, 5, 0, 3, 1, 1, 7, 1, 7, 5, 1, 7, 6, 7, 4, 0, 1, 3, 3, 7, 1, 1, 7, 5, 4, 7, 0, 7, 7, 1, 7, 6, 6, 7, 5, 4, 1, 0, 1, 6, 5, 7, 7, 1, 6, 5, 7, 1, 5, 5, 4, 5, 4, 1, 7, 3, 3, 7, 1, 5, 5, 5, 1, 5, 1, 1, 5, 1, 5, 1, 4, 3, 5, 5, 6, 1, 5, 1, 7, 3, 5] 
