dagH16.txt 3_2x4.txt True 0.0196078431372549 0.07 584.0 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1] 
dagH16.txt 3_2x4.txt True 0.0196078431372549 0.1 584.0 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1] 
dagH16.txt 3_2x4.txt True 0.10196078431372549 0.15 508.5 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 1, 3, 3, 7, 3, 3, 3, 5, 3, 3, 3, 3, 5, 7, 3, 3, 5, 5] 
dagH16.txt 3_2x4.txt True 0.16862745098039217 0.2 476.0 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 6, 1, 1, 1, 1, 6, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 2, 7, 1, 1, 7, 1, 1, 7, 1, 1, 1, 2, 1, 5, 7, 2, 1, 2, 5] 
dagH16.txt 3_2x4.txt True 0.16862745098039217 0.3 476.0 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 6, 1, 1, 1, 1, 6, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 2, 7, 1, 1, 7, 1, 1, 7, 1, 1, 1, 2, 1, 5, 7, 2, 1, 2, 5] 
dagH16.txt 3_2x4.txt True 0.16862745098039217 0.4 476.0 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 6, 1, 1, 1, 1, 6, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 2, 7, 1, 1, 7, 1, 1, 7, 1, 1, 1, 2, 1, 5, 7, 2, 1, 2, 5] 
dagH16.txt 3_2x4.txt True 0.16862745098039217 0.5 476.0 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 6, 1, 1, 1, 1, 6, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 2, 7, 1, 1, 7, 1, 1, 7, 1, 1, 1, 2, 1, 5, 7, 2, 1, 2, 5] 
dagH16.txt 3_2x4.txt True 0.4823529411764706 0.6 176.0 [7, 5, 2, 1, 5, 5, 5, 5, 5, 7, 7, 2, 7, 5, 5, 1, 5, 0, 1, 7, 7, 5, 5, 5, 7, 7, 5, 5, 7, 1, 7, 5, 6, 4, 5, 5, 7, 1, 1, 3, 1, 7, 1, 0, 1, 1, 1, 5, 5, 5, 3, 5, 1, 5, 3, 5, 3, 1, 5, 1, 5, 6, 1, 3, 1, 5, 3, 5, 5, 1, 1, 1, 3, 3, 5, 1, 3, 3, 3, 3, 6, 3, 3, 3, 1] 
dagH16.txt 3_2x4.txt True 0.5725490196078431 0.7 143.0 [7, 7, 7, 1, 7, 7, 3, 7, 7, 7, 5, 1, 7, 3, 7, 1, 3, 3, 1, 7, 3, 3, 7, 1, 1, 3, 1, 0, 2, 5, 2, 7, 1, 3, 3, 3, 5, 1, 7, 5, 2, 2, 1, 3, 4, 1, 2, 3, 3, 3, 4, 5, 4, 0, 5, 1, 5, 4, 3, 4, 5, 5, 5, 1, 4, 3, 5, 3, 3, 4, 6, 7, 5, 1, 5, 7, 5, 5, 5, 1, 6, 5, 5, 1, 1] 
dagH16.txt 3_2x4.txt True 0.7607843137254902 1 127.25 [1, 5, 3, 6, 5, 5, 3, 7, 5, 7, 3, 1, 2, 5, 5, 1, 3, 3, 1, 3, 7, 1, 5, 5, 3, 7, 1, 2, 2, 7, 3, 0, 1, 4, 0, 6, 4, 5, 1, 7, 0, 4, 1, 1, 7, 1, 5, 7, 7, 5, 7, 7, 3, 5, 7, 3, 5, 5, 4, 7, 5, 1, 2, 7, 7, 7, 5, 3, 7, 4, 5, 0, 7, 6, 1, 7, 5, 6, 7, 3, 1, 6, 5, 1, 5] 
dagH16.txt 3_2x2.txt True 0.0196078431372549 0.07 778.6666666666666 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0] 
