dagO61.txt 3_2x4.txt True 0.04247104247104247 0.07 1200.0 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1] 
dagO61.txt 3_2x4.txt True 0.05791505791505792 0.1 945.75 [5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagO61.txt 3_2x4.txt True 0.0945945945945946 0.15 981.75 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 5, 5, 5, 1, 1, 3, 3, 3, 5, 1, 5, 1, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 1, 5, 5, 1, 5, 5, 5, 5, 1, 5, 5, 5, 5, 1] 
dagO61.txt 3_2x4.txt True 0.1640926640926641 0.2 845.25 [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 5, 4, 4, 4, 4, 4, 4, 6, 4, 7, 5, 5, 6, 7, 6, 4, 4, 7, 4, 7, 3, 4, 7, 7, 3, 3, 7, 7, 4, 7, 3, 7, 7, 7, 7, 5, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 0, 7, 7, 1, 7, 0, 7, 7, 7, 0, 0, 7, 7, 1, 7, 7, 0, 0, 0, 7, 0, 1, 7, 1, 7] 
dagO61.txt 3_2x4.txt True 0.20270270270270271 0.3 957.0 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 4, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 4, 4, 5, 1, 1, 1, 1, 1, 4, 5, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 6, 1, 1, 6, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 7, 6, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 7, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 7, 1, 5, 1, 1, 3, 0, 0, 1, 5, 1, 1, 1, 5, 5, 1, 0, 7, 1, 5, 5, 5, 1, 5, 0, 3, 5, 3, 5, 1, 5, 1] 
dagO61.txt 3_2x4.txt True 0.20270270270270271 0.4 957.0 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 4, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 4, 4, 5, 1, 1, 1, 1, 1, 4, 5, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 6, 1, 1, 6, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 7, 6, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 7, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 7, 1, 5, 1, 1, 3, 0, 0, 1, 5, 1, 1, 1, 5, 5, 1, 0, 7, 1, 5, 5, 5, 1, 5, 0, 3, 5, 3, 5, 1, 5, 1] 
dagO61.txt 3_2x4.txt True 0.20270270270270271 0.5 957.0 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 4, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 4, 4, 5, 1, 1, 1, 1, 1, 4, 5, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 6, 1, 1, 6, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 7, 6, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 7, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 7, 1, 5, 1, 1, 3, 0, 0, 1, 5, 1, 1, 1, 5, 5, 1, 0, 7, 1, 5, 5, 5, 1, 5, 0, 3, 5, 3, 5, 1, 5, 1] 
dagO61.txt 3_2x4.txt True 0.4247104247104247 0.6 295.5 [7, 7, 3, 3, 7, 3, 6, 5, 7, 7, 3, 3, 5, 3, 7, 5, 7, 7, 3, 7, 6, 5, 3, 7, 5, 3, 3, 3, 5, 6, 3, 3, 5, 3, 5, 5, 6, 7, 3, 6, 5, 5, 7, 5, 5, 3, 5, 7, 5, 7, 5, 7, 5, 7, 5, 5, 5, 7, 7, 7, 3, 4, 5, 7, 7, 7, 7, 5, 3, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 3, 7, 3, 7, 7, 7, 3, 7, 3, 7, 4, 7, 7, 4, 5, 3, 5, 2, 3, 3, 5, 5, 5, 2, 5, 1, 3, 3, 5, 1, 1, 5, 2, 5, 5, 1, 2, 5, 3, 5, 5, 5, 5, 1, 1, 1, 5, 1, 5, 1, 1, 1, 5, 1, 1, 0, 1, 2, 1, 1, 1, 0, 5, 5, 0, 2, 1, 1, 1, 1, 1, 1, 1, 0, 2, 1, 1, 1, 1, 1, 1, 2, 1, 0, 0, 1, 0, 0, 1, 1, 1] 
dagO61.txt 3_2x4.txt True 0.4362934362934363 0.7 271.5 [3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 0, 1, 3, 5, 3, 3, 0, 0, 3, 3, 5, 0, 5, 1, 0, 5, 2, 3, 1, 0, 1, 3, 5, 1, 1, 0, 5, 5, 1, 5, 7, 2, 2, 5, 7, 5, 5, 5, 0, 1, 5, 5, 5, 5, 7, 7, 5, 5, 2, 5, 5, 7, 5, 2, 7, 5, 5, 7, 5, 7, 1, 5, 5, 7, 7, 5, 7, 1, 7, 4, 5, 7, 7, 5, 7, 5, 7, 1, 7, 7, 5, 7, 4, 7, 7, 4, 5, 4, 1, 7, 1, 7, 7, 7, 5, 5, 7, 7, 7, 7, 1, 1, 7, 7, 7, 6, 1, 6, 7, 1, 6, 7, 7, 7, 1, 1, 7, 7, 3, 4, 5, 7, 3, 1, 6, 4, 3, 6, 3, 1, 3, 1, 7, 3, 1, 3, 1, 1, 5, 1, 6] 
dagO61.txt 3_2x4.txt True 0.6911196911196911 1 259.5 [1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 7, 3, 1, 3, 6, 1, 1, 1, 7, 5, 1, 5, 1, 1, 1, 3, 2, 1, 4, 3, 7, 7, 3, 7, 1, 5, 2, 4, 7, 5, 5, 5, 4, 3, 4, 3, 3, 4, 3, 3, 5, 3, 6, 4, 2, 4, 1, 3, 4, 1, 7, 3, 1, 0, 7, 7, 3, 2, 7, 7, 5, 3, 7, 7, 7, 1, 7, 3, 2, 0, 7, 0, 7, 7, 3, 3, 5, 0, 7, 2, 7, 5, 3, 3, 0, 1, 3, 3, 5, 7, 3, 3, 0, 5, 3, 2, 5, 5, 7, 5, 3, 3, 1, 3, 3, 6, 5, 1, 2, 3, 5, 5, 7, 1, 0, 3, 7, 3, 5, 1, 5, 5, 1, 7, 7, 5, 0, 7, 5, 1, 6, 7, 5, 5, 6, 7, 7, 2, 0, 1, 7, 3, 6, 5, 5, 7, 7, 7, 5, 3, 1, 7, 5, 5, 3, 5, 7, 6, 5, 7] 
