dagO37.txt 3_2x4.txt True 0.06031128404669261 0.07 1173.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 7, 3, 3, 3, 3, 3, 3, 7, 3, 3, 7, 7, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 7, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3] 
dagO37.txt 3_2x4.txt True 0.08949416342412451 0.1 1066.25 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 5, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 3, 3, 3, 3, 3, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 1, 1, 3, 1, 3, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 3, 1, 3, 1, 3] 
dagO37.txt 3_2x4.txt True 0.10116731517509728 0.15 1048.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 0, 7, 7, 7, 7, 7, 0, 7, 0, 7, 1, 7, 1, 7, 1, 7, 0, 7, 7, 7, 0, 0, 0, 0, 1, 0, 1, 7, 0, 0, 0, 7, 0, 0, 1, 0, 0, 0, 0, 7, 0, 0, 0, 7, 1] 
dagO37.txt 3_2x4.txt True 0.1575875486381323 0.2 971.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 1, 0, 0, 7, 7, 1, 7, 1, 0, 0, 7, 2, 7, 7, 1, 7, 7, 0, 0, 7, 0, 0, 1, 7, 3, 2, 2, 3, 1, 2, 3, 2, 3, 3, 2, 2, 2, 0, 3, 3, 3, 2, 1, 3, 1, 3, 1] 
dagO37.txt 3_2x4.txt True 0.20038910505836577 0.3 934.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 2, 7, 2, 7, 7, 7, 2, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 0, 3, 0, 7, 3, 7, 7, 7, 7, 7, 1, 7, 7, 3, 7, 7, 3, 0, 3, 7, 3, 7, 7, 1, 1, 1, 0, 1, 3, 7, 1, 0, 1, 0, 0, 0, 3, 1, 1, 0, 1, 7, 1, 1, 1, 0, 1] 
dagO37.txt 3_2x4.txt True 0.20038910505836577 0.4 934.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 2, 7, 2, 7, 7, 7, 2, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 0, 3, 0, 7, 3, 7, 7, 7, 7, 7, 1, 7, 7, 3, 7, 7, 3, 0, 3, 7, 3, 7, 7, 1, 1, 1, 0, 1, 3, 7, 1, 0, 1, 0, 0, 0, 3, 1, 1, 0, 1, 7, 1, 1, 1, 0, 1] 
dagO37.txt 3_2x4.txt True 0.20038910505836577 0.5 934.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 2, 7, 2, 7, 7, 7, 2, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 0, 3, 0, 7, 3, 7, 7, 7, 7, 7, 1, 7, 7, 3, 7, 7, 3, 0, 3, 7, 3, 7, 7, 1, 1, 1, 0, 1, 3, 7, 1, 0, 1, 0, 0, 0, 3, 1, 1, 0, 1, 7, 1, 1, 1, 0, 1] 
dagO37.txt 3_2x4.txt True 0.4377431906614786 0.6 290.75 [3, 3, 1, 2, 3, 1, 1, 2, 3, 3, 2, 3, 3, 3, 2, 3, 1, 3, 3, 3, 3, 1, 3, 2, 3, 3, 2, 3, 3, 2, 1, 1, 3, 0, 3, 1, 5, 2, 3, 0, 3, 5, 1, 1, 1, 1, 5, 5, 2, 5, 5, 1, 0, 1, 5, 5, 0, 1, 5, 1, 1, 1, 1, 5, 5, 1, 5, 1, 5, 1, 0, 5, 1, 6, 1, 5, 7, 1, 1, 5, 5, 1, 7, 0, 0, 0, 1, 7, 1, 1, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 6, 7, 3, 6, 6, 7, 7, 7, 5, 5, 5, 6, 5, 3, 7, 3, 5, 5, 4, 3, 7, 5, 3, 3, 3, 5, 5, 3, 5, 5, 5, 5, 4, 4, 3, 4, 3, 3, 4, 4, 5, 5, 4, 4, 3, 5, 4, 4, 5, 3, 5, 4, 5, 5, 5] 
dagO37.txt 3_2x4.txt True 0.4727626459143969 0.7 277.5 [0, 1, 5, 1, 5, 5, 5, 5, 0, 1, 1, 5, 1, 5, 1, 5, 5, 5, 1, 5, 1, 1, 1, 1, 1, 0, 5, 5, 5, 0, 0, 1, 1, 1, 3, 2, 3, 1, 0, 0, 1, 3, 2, 3, 1, 0, 2, 3, 1, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 2, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 7, 3, 7, 7, 3, 3, 6, 3, 3, 7, 3, 2, 3, 6, 3, 7, 6, 3, 7, 7, 7, 1, 7, 6, 3, 7, 6, 1, 3, 3, 5, 6, 7, 7, 7, 1, 7, 6, 6, 1, 7, 5, 3, 5, 1, 5, 1, 6, 5, 4, 7, 4, 1, 1, 5, 7, 5, 4, 1, 7, 5, 1, 1, 5, 5, 5, 4, 1, 7, 1, 1, 5, 5, 7, 7, 5, 5, 5, 5, 7, 7, 7, 4, 7, 7, 5, 5, 5, 7, 5, 7, 5, 7, 5, 7, 5] 
dagO37.txt 3_2x4.txt True 0.585603112840467 1 262.0 [5, 6, 3, 7, 6, 6, 1, 7, 6, 1, 7, 3, 7, 5, 5, 1, 1, 6, 7, 5, 7, 7, 7, 7, 7, 1, 5, 6, 5, 7, 7, 7, 7, 7, 7, 5, 5, 7, 6, 7, 7, 5, 5, 7, 7, 5, 5, 5, 7, 5, 5, 5, 7, 5, 5, 5, 7, 7, 5, 1, 5, 4, 4, 5, 3, 7, 3, 1, 5, 3, 4, 5, 3, 4, 3, 5, 3, 1, 4, 4, 3, 3, 2, 4, 4, 4, 3, 3, 3, 3, 3, 5, 2, 3, 3, 1, 3, 7, 5, 3, 3, 5, 2, 3, 2, 2, 2, 5, 5, 3, 2, 2, 5, 1, 3, 3, 5, 2, 3, 3, 3, 3, 5, 1, 1, 1, 3, 0, 2, 3, 1, 1, 7, 7, 3, 0, 0, 7, 3, 0, 1, 1, 1, 7, 7, 0, 3, 1, 7, 7, 1, 0, 3, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0] 
