dagF34.txt 3_2x4.txt True 0.0 0.07 578.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagF34.txt 3_2x4.txt True 0.0 0.1 578.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagF34.txt 3_2x4.txt True 0.1152073732718894 0.15 365.25 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 7, 3, 3, 7, 3, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagF34.txt 3_2x4.txt True 0.1152073732718894 0.2 365.25 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 7, 3, 3, 7, 3, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagF34.txt 3_2x4.txt True 0.1152073732718894 0.3 365.25 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 7, 3, 3, 7, 3, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagF34.txt 3_2x4.txt True 0.30414746543778803 0.4 213.0 [3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 2, 3, 3, 3, 3, 2, 3, 7, 3, 5, 3, 2, 3, 7, 7, 6, 3, 7, 6, 3, 7, 7, 3, 7, 2, 4, 7, 7, 3, 7, 4, 7, 5, 7, 3, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 6, 7, 5, 4, 4, 7, 2, 4, 7, 7, 7, 7, 7] 
dagF34.txt 3_2x4.txt True 0.4838709677419355 0.5 341.0 [3, 2, 2, 3, 2, 2, 2, 1, 3, 2, 3, 2, 2, 3, 1, 0, 2, 1, 2, 2, 1, 3, 1, 4, 5, 3, 6, 7, 0, 0, 5, 0, 0, 1, 7, 6, 0, 5, 5, 3, 4, 1, 6, 4, 5, 7, 5, 6, 7, 6, 5, 0, 7, 5, 4, 4, 4, 0, 6, 7, 7, 4, 7, 5, 6, 4, 6, 5, 1, 6, 7, 4, 4, 4, 5] 
dagF34.txt 3_2x4.txt True 0.511520737327189 0.6 334.0 [3, 2, 2, 0, 3, 3, 3, 3, 2, 2, 0, 3, 2, 3, 2, 0, 2, 1, 3, 3, 0, 2, 1, 7, 1, 7, 3, 7, 0, 0, 4, 1, 4, 1, 7, 4, 1, 4, 4, 2, 5, 0, 6, 7, 4, 7, 7, 6, 6, 7, 5, 1, 4, 5, 5, 5, 5, 4, 6, 4, 6, 0, 4, 1, 5, 6, 6, 5, 0, 6, 6, 6, 5, 5, 7] 
dagF34.txt 3_2x4.txt True 0.511520737327189 0.7 334.0 [3, 2, 2, 0, 3, 3, 3, 3, 2, 2, 0, 3, 2, 3, 2, 0, 2, 1, 3, 3, 0, 2, 1, 7, 1, 7, 3, 7, 0, 0, 4, 1, 4, 1, 7, 4, 1, 4, 4, 2, 5, 0, 6, 7, 4, 7, 7, 6, 6, 7, 5, 1, 4, 5, 5, 5, 5, 4, 6, 4, 6, 0, 4, 1, 5, 6, 6, 5, 0, 6, 6, 6, 5, 5, 7] 
dagF34.txt 3_2x4.txt True 0.7603686635944701 1 295.0 [1, 3, 2, 3, 7, 1, 5, 7, 3, 2, 2, 7, 3, 5, 3, 1, 7, 3, 5, 6, 7, 3, 3, 5, 6, 3, 0, 5, 6, 1, 2, 2, 7, 1, 5, 7, 1, 1, 5, 4, 0, 0, 4, 2, 6, 4, 5, 7, 0, 0, 4, 5, 2, 6, 4, 5, 2, 7, 6, 1, 7, 4, 1, 2, 4, 0, 4, 6, 0, 6, 0, 0, 4, 6, 1] 
dagF34.txt 3_2x2.txt True 0.055299539170506916 0.07 1086.5 [3, 0, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3] 
dagF34.txt 3_2x2.txt True 0.09216589861751152 0.1 1046.0 [3, 0, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3] 
dagF34.txt 3_2x2.txt True 0.09216589861751152 0.15 1046.0 [3, 0, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3] 
dagF34.txt 3_2x2.txt True 0.17511520737327188 0.2 888.0 [2, 1, 1, 1, 0, 0, 2, 3, 0, 1, 1, 0, 1, 2, 3, 2, 0, 3, 3, 2, 3, 3, 3, 0, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3] 
dagF34.txt 3_2x2.txt True 0.28110599078341014 0.3 596.5 [1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 0, 3, 1, 1, 3, 1, 0, 3, 3, 2, 2, 3, 2, 2, 3, 3, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3] 
dagF34.txt 3_2x2.txt True 0.3271889400921659 0.4 278.5 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 2, 0, 0, 0, 3, 0, 0, 2, 0, 0, 3, 0, 3, 3, 2, 2, 0, 2, 0, 3, 2, 0, 3, 2, 3, 3, 0, 2, 0, 2, 2, 2, 2, 3, 0, 3, 3, 3, 3, 3, 2, 2, 2, 3, 2, 0, 3, 3, 3, 2, 2, 2] 
