dagN22.txt 3_2x4.txt 0.3830227743271222 0.4 285.0 [2, 2, 2, 2, 2, 2, 2, 4, 2, 0, 2, 2, 2, 0, 2, 2, 2, 2, 0, 2, 0, 0, 0, 0, 2, 2, 0, 4, 0, 0, 0, 0, 4, 2, 0, 0, 0, 2, 0, 0, 6, 6, 4, 0, 4, 0, 4, 6, 0, 4, 6, 4, 0, 6, 6, 4, 4, 6, 4, 4, 4, 6, 4, 6, 4, 4, 4, 6, 4, 4, 6, 6, 1, 6, 1, 6, 6, 4, 1, 6, 1, 6, 6, 1, 6, 7, 6, 1, 1, 1, 7, 1, 7, 1, 7, 1, 1, 7, 7, 7, 7, 1, 1, 1, 1, 7, 7, 7, 7, 7, 5, 7, 5, 7, 7, 1, 5, 7, 1, 5, 5, 7, 3, 7, 3, 5, 3, 3, 3, 3, 5, 3, 5, 5, 5, 3, 5, 3, 3, 5, 3, 3, 3, 5, 5, 5, 5, 3, 3, 5, 3, 3, 5, 3, 5, 5, 5, 3, 5, 3] 
dagN22.txt 3_2x4.txt 0.37681159420289856 0.45 284.5 [5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 4, 4, 6, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 6, 4, 4, 4, 6, 6, 7, 7, 6, 7, 6, 4, 6, 6, 6, 7, 6, 6, 7, 7, 7, 6, 7, 6, 6, 7, 7, 6, 7, 7, 7, 6, 7, 2, 2, 6, 6, 7, 2, 2, 0, 2, 6, 0, 6, 7, 7, 0, 0, 0, 7, 2, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 1, 2, 1, 0, 0, 2, 1, 2, 2, 1, 1, 0, 1, 0, 1, 3, 1, 3, 1, 1, 1, 3, 1, 3, 1, 3, 3, 3, 1, 1, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 1, 3, 3, 1, 1, 3, 1, 3] 
dagN22.txt 3_2x4.txt 0.37060041407867494 0.5 286.5 [2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 4, 2, 4, 4, 4, 2, 4, 2, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 1, 1, 1, 4, 1, 4, 7, 1, 4, 1, 7, 1, 1, 1, 1, 1, 7, 7, 7, 7, 7, 1, 7, 7, 1, 1, 7, 1, 7, 7, 7, 1, 1, 0, 0, 7, 0, 7, 1, 0, 0, 0, 0, 6, 7, 7, 7, 1, 6, 6, 0, 0, 0, 0, 6, 6, 6, 0, 0, 0, 6, 6, 6, 6, 6, 6, 0, 0, 6, 6, 3, 6, 3, 0, 6, 6, 3, 6, 6, 3, 3, 6, 3, 0, 3, 5, 3, 5, 3, 3, 3, 5, 3, 5, 3, 5, 5, 5, 3, 3, 5, 5, 5, 5, 5, 3, 5, 5, 3, 5, 5, 5, 3, 5, 5, 3, 3, 5, 3, 5] 
dagN22.txt 3_2x4.txt 0.38095238095238093 0.55 286.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 6, 6, 6, 6, 7, 6, 3, 6, 6, 6, 6, 6, 3, 6, 6, 6, 7, 6, 6, 7, 6, 6, 6, 7, 7, 7, 2, 2, 7, 2, 6, 7, 7, 7, 7, 7, 2, 2, 7, 7, 2, 7, 2, 7, 2, 7, 2, 7, 7, 2, 2, 2, 4, 4, 2, 2, 7, 4, 4, 0, 4, 2, 0, 2, 2, 2, 0, 0, 0, 2, 4, 4, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 4, 4, 0, 0, 0, 0, 5, 4, 5, 0, 0, 4, 5, 4, 4, 5, 5, 0, 5, 0, 5, 5, 5, 1, 5, 5, 5, 1, 1, 1, 1, 5, 1, 5, 5, 1, 1, 5, 1, 1, 1, 5, 1, 1, 5, 1, 5, 1, 1, 1, 1, 1, 1, 1, 5, 1] 
dagN22.txt 3_2x4.txt 0.3747412008281574 0.6 284.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 2, 2, 2, 1, 2, 7, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 1, 1, 4, 4, 1, 4, 1, 2, 1, 1, 1, 4, 1, 1, 4, 4, 4, 1, 4, 1, 1, 4, 4, 1, 4, 4, 4, 1, 4, 6, 6, 1, 6, 4, 4, 6, 0, 6, 6, 0, 1, 4, 1, 0, 0, 0, 4, 6, 6, 6, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6, 6, 6, 0, 0, 0, 0, 3, 6, 3, 0, 0, 6, 3, 6, 6, 3, 3, 0, 3, 0, 3, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 3, 3, 3, 3, 5, 5, 3, 5, 5, 3, 5, 5, 5, 3, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5] 
dagN22.txt 3_2x4.txt 0.3747412008281574 0.65 284.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 2, 2, 2, 1, 2, 7, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 1, 1, 4, 4, 1, 4, 1, 2, 1, 1, 1, 4, 1, 1, 4, 4, 4, 1, 4, 1, 1, 4, 4, 1, 4, 4, 4, 1, 4, 6, 6, 1, 6, 4, 4, 6, 0, 6, 6, 0, 1, 4, 1, 0, 0, 0, 4, 6, 6, 6, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6, 6, 6, 0, 0, 0, 0, 3, 6, 3, 0, 0, 6, 3, 6, 6, 3, 3, 0, 3, 0, 3, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 3, 3, 3, 3, 5, 5, 3, 5, 5, 3, 5, 5, 5, 3, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5] 
dagN22.txt 3_2x4.txt 0.37060041407867494 0.7 286.5 [2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 4, 2, 4, 4, 4, 2, 4, 2, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 1, 1, 1, 4, 1, 4, 7, 1, 4, 1, 7, 1, 1, 1, 1, 1, 7, 7, 7, 7, 7, 1, 7, 7, 1, 1, 7, 1, 7, 7, 7, 1, 1, 0, 0, 7, 0, 7, 1, 0, 0, 0, 0, 6, 7, 7, 7, 1, 6, 6, 0, 0, 0, 0, 6, 6, 6, 0, 0, 0, 6, 6, 6, 6, 6, 6, 0, 0, 6, 6, 3, 6, 3, 0, 6, 6, 3, 6, 6, 3, 3, 6, 3, 0, 3, 5, 3, 5, 3, 3, 3, 5, 3, 5, 3, 5, 5, 5, 3, 3, 5, 5, 5, 5, 5, 3, 5, 5, 3, 5, 5, 5, 3, 5, 5, 3, 3, 5, 3, 5] 
dagN22.txt 3_2x4.txt 0.37681159420289856 0.8 284.5 [5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 4, 4, 6, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 6, 4, 4, 4, 6, 6, 7, 7, 6, 7, 6, 4, 6, 6, 6, 7, 6, 6, 7, 7, 7, 6, 7, 6, 6, 7, 7, 6, 7, 7, 7, 6, 7, 2, 2, 6, 6, 7, 2, 2, 0, 2, 6, 0, 6, 7, 7, 0, 0, 0, 7, 2, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 1, 2, 1, 0, 0, 2, 1, 2, 2, 1, 1, 0, 1, 0, 1, 3, 1, 3, 1, 1, 1, 3, 1, 3, 1, 3, 3, 3, 1, 1, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 1, 3, 3, 1, 1, 3, 1, 3] 
dagN22.txt 3_2x4.txt 0.37681159420289856 1 285.0 [2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 4, 2, 4, 4, 4, 2, 4, 2, 4, 4, 4, 4, 0, 0, 4, 4, 4, 4, 4, 4, 0, 0, 0, 4, 0, 4, 5, 0, 4, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 5, 5, 0, 5, 0, 0, 0, 5, 0, 5, 5, 5, 0, 6, 5, 6, 0, 5, 5, 5, 6, 6, 5, 5, 1, 5, 1, 5, 1, 6, 1, 1, 6, 6, 1, 1, 6, 1, 6, 6, 1, 1, 6, 6, 1, 1, 1, 1, 6, 6, 1, 7, 1, 7, 6, 1, 1, 7, 1, 1, 7, 7, 6, 7, 6, 7, 7, 7, 7, 7, 7, 7, 3, 3, 3, 3, 7, 3, 7, 7, 3, 3, 7, 3, 3, 3, 3, 3, 3, 7, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 7] 
dagN22.txt 3_2x4.txt 0.37681159420289856 0.9 284.5 [5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 4, 4, 6, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 6, 4, 4, 4, 6, 6, 7, 7, 6, 7, 6, 4, 6, 6, 6, 7, 6, 6, 7, 7, 7, 6, 7, 6, 6, 7, 7, 6, 7, 7, 7, 6, 7, 2, 2, 6, 6, 7, 2, 2, 0, 2, 6, 0, 6, 7, 7, 0, 0, 0, 7, 2, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 1, 2, 1, 0, 0, 2, 1, 2, 2, 1, 1, 0, 1, 0, 1, 3, 1, 3, 1, 1, 1, 3, 1, 3, 1, 3, 3, 3, 1, 1, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 1, 3, 3, 1, 1, 3, 1, 3] 
