dagO30.txt 3_2x4.txt 0.36257309941520466 0.4 310.0 [3, 7, 7, 3, 3, 7, 7, 3, 7, 3, 7, 7, 3, 3, 7, 7, 3, 7, 3, 7, 3, 3, 7, 7, 7, 3, 3, 7, 3, 4, 3, 3, 7, 4, 4, 3, 4, 7, 3, 4, 7, 4, 4, 3, 4, 4, 4, 7, 1, 4, 4, 3, 4, 1, 4, 1, 4, 4, 4, 1, 4, 1, 1, 4, 4, 4, 4, 1, 1, 1, 1, 4, 1, 6, 4, 1, 1, 1, 1, 1, 6, 6, 1, 6, 1, 1, 6, 1, 1, 4, 6, 1, 6, 6, 5, 5, 5, 1, 6, 5, 1, 6, 5, 6, 5, 5, 6, 6, 6, 0, 6, 6, 6, 5, 5, 5, 6, 6, 0, 5, 6, 5, 5, 2, 2, 2, 5, 6, 2, 5, 2, 2, 2, 2, 2, 5, 2, 0, 2, 0, 5, 0, 5, 0, 2, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0] 
dagO30.txt 3_2x4.txt 0.36257309941520466 0.6 310.0 [3, 7, 7, 3, 3, 7, 7, 3, 7, 3, 7, 7, 3, 3, 7, 7, 3, 7, 3, 7, 3, 3, 7, 7, 7, 3, 3, 7, 3, 4, 3, 3, 7, 4, 4, 3, 4, 7, 3, 4, 7, 4, 4, 3, 4, 4, 4, 7, 1, 4, 4, 3, 4, 1, 4, 1, 4, 4, 4, 1, 4, 1, 1, 4, 4, 4, 4, 1, 1, 1, 1, 4, 1, 6, 4, 1, 1, 1, 1, 1, 6, 6, 1, 6, 1, 1, 6, 1, 1, 4, 6, 1, 6, 6, 5, 5, 5, 1, 6, 5, 1, 6, 5, 6, 5, 5, 6, 6, 6, 0, 6, 6, 6, 5, 5, 5, 6, 6, 0, 5, 6, 5, 5, 2, 2, 2, 5, 6, 2, 5, 2, 2, 2, 2, 2, 5, 2, 0, 2, 0, 5, 0, 5, 0, 2, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0] 
dagO30.txt 3_2x4.txt 0.36257309941520466 0.5 310.0 [3, 7, 7, 3, 3, 7, 7, 3, 7, 3, 7, 7, 3, 3, 7, 7, 3, 7, 3, 7, 3, 3, 7, 7, 7, 3, 3, 7, 3, 4, 3, 3, 7, 4, 4, 3, 4, 7, 3, 4, 7, 4, 4, 3, 4, 4, 4, 7, 1, 4, 4, 3, 4, 1, 4, 1, 4, 4, 4, 1, 4, 1, 1, 4, 4, 4, 4, 1, 1, 1, 1, 4, 1, 6, 4, 1, 1, 1, 1, 1, 6, 6, 1, 6, 1, 1, 6, 1, 1, 4, 6, 1, 6, 6, 5, 5, 5, 1, 6, 5, 1, 6, 5, 6, 5, 5, 6, 6, 6, 0, 6, 6, 6, 5, 5, 5, 6, 6, 0, 5, 6, 5, 5, 2, 2, 2, 5, 6, 2, 5, 2, 2, 2, 2, 2, 5, 2, 0, 2, 0, 5, 0, 5, 0, 2, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0] 
dagO30.txt 3_2x4.txt 0.36257309941520466 0.45 310.0 [3, 7, 7, 3, 3, 7, 7, 3, 7, 3, 7, 7, 3, 3, 7, 7, 3, 7, 3, 7, 3, 3, 7, 7, 7, 3, 3, 7, 3, 4, 3, 3, 7, 4, 4, 3, 4, 7, 3, 4, 7, 4, 4, 3, 4, 4, 4, 7, 1, 4, 4, 3, 4, 1, 4, 1, 4, 4, 4, 1, 4, 1, 1, 4, 4, 4, 4, 1, 1, 1, 1, 4, 1, 6, 4, 1, 1, 1, 1, 1, 6, 6, 1, 6, 1, 1, 6, 1, 1, 4, 6, 1, 6, 6, 5, 5, 5, 1, 6, 5, 1, 6, 5, 6, 5, 5, 6, 6, 6, 0, 6, 6, 6, 5, 5, 5, 6, 6, 0, 5, 6, 5, 5, 2, 2, 2, 5, 6, 2, 5, 2, 2, 2, 2, 2, 5, 2, 0, 2, 0, 5, 0, 5, 0, 2, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0] 
dagO30.txt 3_2x4.txt 0.36257309941520466 0.65 310.0 [3, 7, 7, 3, 3, 7, 7, 3, 7, 3, 7, 7, 3, 3, 7, 7, 3, 7, 3, 7, 3, 3, 7, 7, 7, 3, 3, 7, 3, 4, 3, 3, 7, 4, 4, 3, 4, 7, 3, 4, 7, 4, 4, 3, 4, 4, 4, 7, 1, 4, 4, 3, 4, 1, 4, 1, 4, 4, 4, 1, 4, 1, 1, 4, 4, 4, 4, 1, 1, 1, 1, 4, 1, 6, 4, 1, 1, 1, 1, 1, 6, 6, 1, 6, 1, 1, 6, 1, 1, 4, 6, 1, 6, 6, 5, 5, 5, 1, 6, 5, 1, 6, 5, 6, 5, 5, 6, 6, 6, 0, 6, 6, 6, 5, 5, 5, 6, 6, 0, 5, 6, 5, 5, 2, 2, 2, 5, 6, 2, 5, 2, 2, 2, 2, 2, 5, 2, 0, 2, 0, 5, 0, 5, 0, 2, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0] 
dagO30.txt 3_2x4.txt 0.3840155945419103 0.7 310.0 [4, 4, 4, 0, 0, 4, 4, 0, 4, 4, 4, 4, 0, 0, 4, 4, 0, 4, 0, 4, 4, 0, 4, 4, 4, 0, 0, 4, 0, 1, 0, 0, 0, 0, 1, 0, 0, 4, 0, 1, 1, 4, 1, 0, 1, 1, 1, 0, 2, 1, 1, 0, 1, 2, 4, 2, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 3, 1, 2, 3, 2, 2, 1, 2, 6, 2, 2, 2, 2, 6, 3, 3, 2, 2, 3, 3, 3, 6, 6, 3, 3, 3, 6, 2, 2, 6, 3, 6, 6, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 3, 3, 5, 6, 3, 5, 6, 7, 7, 7, 6, 3, 7, 6, 7, 5, 7, 7, 7, 6, 7, 5, 7, 5, 6, 5, 6, 5, 7, 5, 7, 7, 7, 7, 7, 5, 5, 5, 5, 5, 5, 7, 5, 5, 7, 5, 5, 5, 5, 5, 7, 5, 5, 5] 
dagO30.txt 3_2x4.txt 0.3898635477582846 0.55 309.5 [3, 3, 3, 4, 4, 3, 4, 4, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 4, 4, 3, 4, 3, 3, 3, 4, 4, 4, 3, 7, 4, 4, 4, 4, 7, 3, 4, 7, 4, 7, 3, 7, 7, 4, 7, 7, 7, 4, 7, 7, 0, 4, 7, 0, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 7, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 2, 0, 1, 1, 1, 1, 2, 2, 1, 0, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 2, 2, 1, 6, 2, 6, 6, 5, 1, 6, 2, 2, 2, 5, 2, 5, 6, 5, 6, 2, 6, 6, 6, 6, 6, 5, 2, 5, 6, 6, 5, 6, 5, 5, 6, 5, 5, 5, 5, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 6, 6, 6, 5, 5] 
dagO30.txt 3_2x4.txt 0.3840155945419103 0.9 310.0 [4, 4, 4, 0, 0, 4, 4, 0, 4, 4, 4, 4, 0, 0, 4, 4, 0, 4, 0, 4, 4, 0, 4, 4, 4, 0, 0, 4, 0, 1, 0, 0, 0, 0, 1, 0, 0, 4, 0, 1, 1, 4, 1, 0, 1, 1, 1, 0, 2, 1, 1, 0, 1, 2, 4, 2, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 3, 1, 2, 3, 2, 2, 1, 2, 6, 2, 2, 2, 2, 6, 3, 3, 2, 2, 3, 3, 3, 6, 6, 3, 3, 3, 6, 2, 2, 6, 3, 6, 6, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 3, 3, 5, 6, 3, 5, 6, 7, 7, 7, 6, 3, 7, 6, 7, 5, 7, 7, 7, 6, 7, 5, 7, 5, 6, 5, 6, 5, 7, 5, 7, 7, 7, 7, 7, 5, 5, 5, 5, 5, 5, 7, 5, 5, 7, 5, 5, 5, 5, 5, 7, 5, 5, 5] 
dagO30.txt 3_2x4.txt 0.36257309941520466 0.8 310.0 [3, 7, 7, 3, 3, 7, 7, 3, 7, 3, 7, 7, 3, 3, 7, 7, 3, 7, 3, 7, 3, 3, 7, 7, 7, 3, 3, 7, 3, 4, 3, 3, 7, 4, 4, 3, 4, 7, 3, 4, 7, 4, 4, 3, 4, 4, 4, 7, 1, 4, 4, 3, 4, 1, 4, 1, 4, 4, 4, 1, 4, 1, 1, 4, 4, 4, 4, 1, 1, 1, 1, 4, 1, 6, 4, 1, 1, 1, 1, 1, 6, 6, 1, 6, 1, 1, 6, 1, 1, 4, 6, 1, 6, 6, 5, 5, 5, 1, 6, 5, 1, 6, 5, 6, 5, 5, 6, 6, 6, 0, 6, 6, 6, 5, 5, 5, 6, 6, 0, 5, 6, 5, 5, 2, 2, 2, 5, 6, 2, 5, 2, 2, 2, 2, 2, 5, 2, 0, 2, 0, 5, 0, 5, 0, 2, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0] 
dagO30.txt 3_2x4.txt 0.37037037037037035 1 308.5 [6, 6, 6, 6, 5, 5, 5, 6, 6, 6, 5, 5, 5, 5, 6, 6, 5, 5, 5, 6, 6, 6, 6, 6, 5, 6, 5, 6, 5, 3, 5, 5, 6, 6, 3, 5, 3, 6, 5, 3, 5, 3, 3, 5, 5, 3, 3, 3, 3, 3, 4, 5, 3, 4, 6, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 3, 4, 4, 4, 1, 3, 1, 4, 4, 4, 4, 1, 7, 4, 4, 4, 4, 7, 4, 4, 4, 1, 4, 1, 1, 7, 1, 7, 4, 1, 1, 4, 1, 7, 1, 7, 7, 7, 1, 1, 0, 1, 1, 1, 7, 7, 7, 1, 1, 0, 7, 1, 7, 1, 2, 2, 2, 7, 7, 2, 7, 2, 2, 2, 2, 2, 7, 2, 0, 2, 0, 7, 0, 7, 0, 2, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0] 
