dagQ16.txt 3_2x4.txt 0.35159010600706714 0.4 355.0 [3, 3, 6, 3, 3, 3, 6, 6, 3, 3, 3, 3, 6, 3, 6, 3, 3, 3, 3, 6, 3, 3, 6, 6, 3, 3, 6, 3, 6, 6, 3, 3, 6, 3, 6, 6, 2, 6, 2, 3, 6, 6, 6, 7, 6, 2, 6, 2, 7, 2, 2, 3, 7, 7, 6, 7, 7, 2, 2, 2, 7, 7, 2, 2, 7, 7, 7, 2, 2, 6, 7, 2, 7, 7, 7, 2, 7, 2, 7, 2, 2, 0, 7, 5, 7, 2, 2, 7, 2, 0, 0, 6, 7, 5, 2, 0, 2, 5, 7, 7, 2, 5, 0, 0, 0, 5, 0, 0, 5, 5, 0, 0, 5, 5, 0, 4, 0, 0, 0, 0, 5, 5, 5, 0, 0, 5, 5, 5, 0, 5, 4, 0, 4, 0, 0, 4, 4, 4, 5, 5, 5, 4, 4, 5, 0, 4, 5, 1, 0, 4, 4, 4, 0, 1, 4, 4, 1, 4, 4, 4, 1, 4, 4, 4, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 4, 1, 4, 1, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1] 
dagQ16.txt 3_2x4.txt 0.3621908127208481 0.5 354.5 [3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 4, 4, 3, 3, 4, 3, 4, 4, 3, 4, 4, 3, 4, 4, 0, 4, 0, 4, 4, 4, 4, 7, 4, 0, 4, 0, 7, 0, 0, 4, 7, 7, 4, 7, 7, 0, 0, 0, 7, 7, 0, 0, 7, 7, 7, 0, 0, 4, 7, 0, 7, 7, 7, 0, 7, 0, 7, 0, 0, 1, 7, 1, 7, 0, 0, 7, 0, 1, 1, 4, 7, 6, 0, 1, 0, 6, 7, 7, 0, 6, 1, 1, 1, 1, 1, 1, 6, 6, 6, 1, 6, 6, 5, 6, 1, 6, 1, 1, 1, 6, 6, 1, 1, 6, 5, 6, 1, 5, 6, 1, 5, 1, 1, 5, 5, 5, 6, 6, 5, 6, 6, 5, 1, 6, 5, 2, 2, 5, 5, 5, 1, 2, 5, 5, 5, 2, 5, 6, 2, 2, 5, 5, 2, 2, 2, 2, 2, 5, 2, 2, 2, 5, 5, 2, 2, 2, 2, 2, 2, 5, 2, 2, 2, 2, 2, 5, 2, 2] 
dagQ16.txt 3_2x4.txt 0.35159010600706714 0.45 355.0 [3, 3, 6, 3, 3, 3, 6, 6, 3, 3, 3, 3, 6, 3, 6, 3, 3, 3, 3, 6, 3, 3, 6, 6, 3, 3, 6, 3, 6, 6, 3, 3, 6, 3, 6, 6, 2, 6, 2, 3, 6, 6, 6, 7, 6, 2, 6, 2, 7, 2, 2, 3, 7, 7, 6, 7, 7, 2, 2, 2, 7, 7, 2, 2, 7, 7, 7, 2, 2, 6, 7, 2, 7, 7, 7, 2, 7, 2, 7, 2, 2, 0, 7, 5, 7, 2, 2, 7, 2, 0, 0, 6, 7, 5, 2, 0, 2, 5, 7, 7, 2, 5, 0, 0, 0, 5, 0, 0, 5, 5, 0, 0, 5, 5, 0, 4, 0, 0, 0, 0, 5, 5, 5, 0, 0, 5, 5, 5, 0, 5, 4, 0, 4, 0, 0, 4, 4, 4, 5, 5, 5, 4, 4, 5, 0, 4, 5, 1, 0, 4, 4, 4, 0, 1, 4, 4, 1, 4, 4, 4, 1, 4, 4, 4, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 4, 1, 4, 1, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1] 
dagQ16.txt 3_2x4.txt 0.35159010600706714 0.6 355.0 [3, 3, 6, 3, 3, 3, 6, 6, 3, 3, 3, 3, 6, 3, 6, 3, 3, 3, 3, 6, 3, 3, 6, 6, 3, 3, 6, 3, 6, 6, 3, 3, 6, 3, 6, 6, 2, 6, 2, 3, 6, 6, 6, 7, 6, 2, 6, 2, 7, 2, 2, 3, 7, 7, 6, 7, 7, 2, 2, 2, 7, 7, 2, 2, 7, 7, 7, 2, 2, 6, 7, 2, 7, 7, 7, 2, 7, 2, 7, 2, 2, 0, 7, 5, 7, 2, 2, 7, 2, 0, 0, 6, 7, 5, 2, 0, 2, 5, 7, 7, 2, 5, 0, 0, 0, 5, 0, 0, 5, 5, 0, 0, 5, 5, 0, 4, 0, 0, 0, 0, 5, 5, 5, 0, 0, 5, 5, 5, 0, 5, 4, 0, 4, 0, 0, 4, 4, 4, 5, 5, 5, 4, 4, 5, 0, 4, 5, 1, 0, 4, 4, 4, 0, 1, 4, 4, 1, 4, 4, 4, 1, 4, 4, 4, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 4, 1, 4, 1, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1] 
dagQ16.txt 3_2x4.txt 0.3568904593639576 0.7 354.5 [4, 4, 4, 4, 4, 4, 6, 6, 4, 4, 4, 4, 6, 4, 6, 4, 4, 4, 6, 6, 4, 4, 6, 6, 4, 4, 4, 4, 6, 6, 4, 4, 6, 4, 6, 6, 0, 6, 0, 6, 6, 6, 6, 7, 6, 0, 6, 0, 7, 0, 0, 4, 7, 7, 6, 7, 6, 0, 0, 0, 7, 7, 0, 0, 7, 7, 7, 0, 0, 7, 7, 0, 7, 7, 7, 0, 7, 0, 7, 0, 0, 2, 7, 2, 7, 0, 0, 7, 0, 7, 2, 3, 7, 3, 0, 2, 0, 3, 7, 3, 0, 3, 7, 2, 2, 2, 2, 2, 3, 3, 2, 2, 3, 3, 5, 3, 2, 2, 2, 2, 2, 3, 3, 2, 2, 3, 5, 3, 2, 3, 3, 2, 5, 2, 2, 3, 5, 5, 3, 3, 5, 5, 3, 5, 2, 3, 3, 5, 5, 5, 5, 5, 2, 5, 5, 5, 1, 1, 5, 5, 1, 5, 5, 5, 5, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagQ16.txt 3_2x4.txt 0.36042402826855124 0.55 354.5 [3, 3, 5, 3, 3, 3, 5, 5, 3, 3, 3, 3, 5, 3, 5, 3, 3, 3, 3, 5, 3, 3, 5, 5, 3, 3, 5, 3, 5, 5, 3, 3, 5, 3, 5, 5, 2, 5, 2, 3, 5, 5, 5, 6, 5, 2, 5, 2, 6, 2, 2, 3, 5, 6, 5, 6, 6, 2, 2, 2, 6, 6, 2, 2, 6, 6, 6, 2, 2, 5, 6, 2, 6, 6, 6, 2, 6, 2, 6, 2, 6, 0, 4, 0, 6, 2, 2, 6, 2, 2, 0, 4, 6, 4, 2, 0, 6, 0, 6, 4, 2, 4, 6, 0, 4, 0, 0, 2, 4, 0, 0, 0, 4, 4, 7, 4, 0, 0, 0, 0, 4, 4, 4, 4, 0, 4, 7, 0, 0, 4, 4, 0, 7, 0, 0, 4, 7, 7, 4, 4, 7, 7, 0, 7, 0, 4, 4, 7, 7, 7, 7, 7, 0, 1, 7, 7, 1, 1, 7, 7, 1, 7, 1, 7, 7, 1, 1, 1, 1, 1, 7, 1, 1, 1, 7, 1, 1, 7, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1] 
dagQ16.txt 3_2x4.txt 0.3568904593639576 0.65 354.5 [6, 6, 6, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 6, 4, 6, 6, 4, 6, 4, 4, 4, 6, 4, 4, 6, 6, 4, 6, 6, 4, 6, 4, 4, 5, 4, 4, 6, 4, 4, 4, 1, 4, 5, 4, 4, 1, 4, 5, 6, 4, 1, 1, 1, 1, 5, 5, 5, 1, 1, 5, 5, 1, 1, 1, 3, 5, 1, 1, 5, 1, 1, 1, 5, 1, 5, 1, 5, 3, 3, 5, 3, 1, 5, 5, 1, 5, 1, 3, 5, 1, 3, 5, 3, 3, 3, 1, 3, 5, 3, 5, 7, 3, 3, 3, 5, 3, 7, 7, 3, 3, 5, 2, 7, 7, 3, 7, 5, 3, 7, 7, 3, 7, 3, 2, 7, 7, 7, 7, 7, 2, 3, 7, 2, 2, 2, 7, 7, 2, 2, 7, 2, 7, 7, 7, 0, 2, 2, 2, 0, 7, 0, 2, 2, 2, 0, 0, 2, 0, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0] 
dagQ16.txt 3_2x4.txt 0.3621908127208481 0.8 354.5 [3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 4, 4, 3, 3, 4, 3, 4, 4, 3, 4, 4, 3, 4, 4, 0, 4, 0, 4, 4, 4, 4, 7, 4, 0, 4, 0, 7, 0, 0, 4, 7, 7, 4, 7, 7, 0, 0, 0, 7, 7, 0, 0, 7, 7, 7, 0, 0, 4, 7, 0, 7, 7, 7, 0, 7, 0, 7, 0, 0, 1, 7, 1, 7, 0, 0, 7, 0, 1, 1, 4, 7, 6, 0, 1, 0, 6, 7, 7, 0, 6, 1, 1, 1, 1, 1, 1, 6, 6, 6, 1, 6, 6, 5, 6, 1, 6, 1, 1, 1, 6, 6, 1, 1, 6, 5, 6, 1, 5, 6, 1, 5, 1, 1, 5, 5, 5, 6, 6, 5, 6, 6, 5, 1, 6, 5, 2, 2, 5, 5, 5, 1, 2, 5, 5, 5, 2, 5, 6, 2, 2, 5, 5, 2, 2, 2, 2, 2, 5, 2, 2, 2, 5, 5, 2, 2, 2, 2, 2, 2, 5, 2, 2, 2, 2, 2, 5, 2, 2] 
dagQ16.txt 3_2x4.txt 0.3568904593639576 0.9 354.5 [4, 4, 4, 4, 4, 4, 6, 6, 4, 4, 4, 4, 6, 4, 6, 4, 4, 4, 6, 6, 4, 4, 6, 6, 4, 4, 4, 4, 6, 6, 4, 4, 6, 4, 6, 6, 0, 6, 0, 6, 6, 6, 6, 7, 6, 0, 6, 0, 7, 0, 0, 4, 7, 7, 6, 7, 6, 0, 0, 0, 7, 7, 0, 0, 7, 7, 7, 0, 0, 7, 7, 0, 7, 7, 7, 0, 7, 0, 7, 0, 0, 2, 7, 2, 7, 0, 0, 7, 0, 7, 2, 3, 7, 3, 0, 2, 0, 3, 7, 3, 0, 3, 7, 2, 2, 2, 2, 2, 3, 3, 2, 2, 3, 3, 5, 3, 2, 2, 2, 2, 2, 3, 3, 2, 2, 3, 5, 3, 2, 3, 3, 2, 5, 2, 2, 3, 5, 5, 3, 3, 5, 5, 3, 5, 2, 3, 3, 5, 5, 5, 5, 5, 2, 5, 5, 5, 1, 1, 5, 5, 1, 5, 5, 5, 5, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagQ16.txt 3_2x4.txt 0.35335689045936397 1 353.5 [1, 1, 5, 1, 1, 1, 5, 5, 1, 1, 1, 1, 5, 1, 5, 1, 1, 1, 1, 5, 1, 1, 5, 5, 1, 1, 5, 1, 5, 5, 1, 1, 5, 1, 5, 5, 0, 5, 0, 1, 5, 5, 5, 3, 5, 0, 5, 0, 3, 0, 0, 1, 5, 3, 5, 3, 3, 0, 0, 0, 3, 3, 0, 0, 3, 3, 3, 0, 0, 5, 3, 0, 3, 3, 3, 0, 3, 0, 3, 0, 0, 2, 3, 4, 3, 0, 0, 3, 0, 2, 4, 3, 3, 2, 0, 2, 0, 4, 3, 3, 0, 2, 2, 2, 2, 4, 2, 2, 4, 4, 2, 2, 2, 4, 6, 4, 2, 4, 2, 2, 4, 4, 4, 2, 2, 2, 6, 4, 2, 4, 4, 2, 6, 2, 2, 4, 6, 6, 4, 4, 6, 6, 4, 6, 2, 4, 4, 7, 6, 6, 6, 7, 2, 7, 6, 6, 6, 7, 7, 6, 7, 6, 6, 6, 7, 7, 7, 7, 7, 6, 6, 7, 7, 6, 6, 7, 7, 7, 7, 7, 6, 6, 7, 7, 7, 7, 7, 6, 7, 7] 
