dagF22.txt 3_2x4.txt True 0.0 0.07 519.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagF22.txt 3_2x4.txt True 0.0 0.1 519.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagF22.txt 3_2x4.txt True 0.0 0.15 519.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagF22.txt 3_2x4.txt True 0.1552511415525114 0.2 769.0 [6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 6, 6, 6, 6, 6, 7, 6, 7, 6, 6, 1, 6, 7, 6, 6, 7, 7, 6, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7] 
dagF22.txt 3_2x4.txt True 0.2511415525114155 0.3 263.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 6, 1, 1, 7, 1, 7, 5, 1, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5] 
dagF22.txt 3_2x4.txt True 0.3150684931506849 0.4 195.75 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 0, 3, 3, 3, 3, 3, 3, 1, 5, 3, 2, 3, 3, 3, 2, 3, 0, 1, 3, 3, 3, 4, 7, 3, 1, 2, 3, 3, 7, 7, 5, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 6, 7, 5, 6, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7] 
dagF22.txt 3_2x4.txt True 0.4931506849315068 0.5 316.0 [0, 0, 2, 0, 1, 1, 0, 1, 0, 0, 1, 0, 2, 2, 0, 1, 1, 3, 0, 1, 7, 0, 3, 3, 2, 0, 1, 2, 3, 1, 6, 3, 2, 3, 6, 6, 1, 1, 4, 2, 4, 5, 7, 6, 6, 4, 7, 6, 4, 5, 7, 4, 5, 6, 5, 7, 5, 6, 5, 4, 4, 7, 4, 5, 6, 7, 6, 5, 4, 4, 6, 4, 7, 5, 5] 
dagF22.txt 3_2x4.txt True 0.5068493150684932 0.6 264.0 [6, 6, 4, 6, 7, 7, 6, 5, 6, 6, 7, 6, 4, 5, 6, 7, 7, 5, 6, 7, 1, 6, 5, 5, 4, 7, 7, 5, 4, 4, 1, 5, 4, 5, 0, 1, 4, 7, 7, 4, 3, 1, 1, 2, 0, 0, 1, 0, 1, 3, 2, 2, 0, 0, 1, 3, 1, 0, 0, 3, 2, 1, 0, 3, 0, 2, 2, 0, 1, 3, 2, 2, 2, 3, 3] 
dagF22.txt 3_2x4.txt True 0.5068493150684932 0.7 264.0 [6, 6, 4, 6, 7, 7, 6, 5, 6, 6, 7, 6, 4, 5, 6, 7, 7, 5, 6, 7, 1, 6, 5, 5, 4, 7, 7, 5, 4, 4, 1, 5, 4, 5, 0, 1, 4, 7, 7, 4, 3, 1, 1, 2, 0, 0, 1, 0, 1, 3, 2, 2, 0, 0, 1, 3, 1, 0, 0, 3, 2, 1, 0, 3, 0, 2, 2, 0, 1, 3, 2, 2, 2, 3, 3] 
dagF22.txt 3_2x4.txt True 0.5068493150684932 1 264.0 [6, 6, 4, 6, 7, 7, 6, 5, 6, 6, 7, 6, 4, 5, 6, 7, 7, 5, 6, 7, 1, 6, 5, 5, 4, 7, 7, 5, 4, 4, 1, 5, 4, 5, 0, 1, 4, 7, 7, 4, 3, 1, 1, 2, 0, 0, 1, 0, 1, 3, 2, 2, 0, 0, 1, 3, 1, 0, 0, 3, 2, 1, 0, 3, 0, 2, 2, 0, 1, 3, 2, 2, 2, 3, 3] 
