dagO10.txt 3_2x4.txt True 0.06692913385826772 0.07 960.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 5, 5, 5, 5, 7, 7, 5, 7, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3] 
dagO10.txt 3_2x4.txt True 0.06692913385826772 0.1 960.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 5, 5, 5, 5, 7, 7, 5, 7, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3] 
dagO10.txt 3_2x4.txt True 0.11220472440944881 0.15 763.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 3, 7, 7, 7, 7, 3, 7, 3, 3, 7, 7, 3, 3, 3, 7, 3, 7, 7, 5, 3, 5, 5, 3, 3, 3, 3, 3, 5, 5, 7, 3, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5] 
dagO10.txt 3_2x4.txt True 0.11220472440944881 0.2 763.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 3, 7, 7, 7, 7, 3, 7, 3, 3, 7, 7, 3, 3, 3, 7, 3, 7, 7, 5, 3, 5, 5, 3, 3, 3, 3, 3, 5, 5, 7, 3, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5] 
dagO10.txt 3_2x4.txt True 0.26968503937007876 0.3 1117.0 [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 5, 4, 4, 4, 5, 4, 7, 4, 4, 4, 5, 4, 5, 7, 5, 5, 5, 5, 5, 7, 6, 7, 7, 6, 6, 7, 6, 7, 7, 6, 6, 7, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 1, 6, 6, 6, 6, 6, 6, 1, 6, 6, 1, 6, 0, 1, 1, 1, 1, 0, 0, 0, 1, 6, 1, 1, 1, 6, 1, 1, 1, 6, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 2, 1, 3, 1, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 3] 
dagO10.txt 3_2x4.txt True 0.35826771653543305 0.4 604.0 [2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 3, 2, 2, 3, 3, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 0, 2, 2, 3, 2, 3, 0, 2, 0, 3, 0, 2, 3, 0, 3, 0, 3, 3, 0, 0, 3, 0, 0, 1, 3, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 6, 1, 0, 1, 1, 1, 1, 6, 6, 6, 6, 7, 0, 6, 6, 1, 1, 6, 6, 1, 6, 7, 6, 6, 7, 6, 6, 7, 7, 7, 7, 6, 6, 6, 7, 6, 7, 7, 7, 6, 7, 7, 7, 6, 7, 6, 7, 5, 7, 7, 5, 7, 7, 7, 7, 5, 4, 5, 7, 5, 4, 4, 5, 5, 4, 5, 4, 4, 5, 5, 4, 7, 5, 4, 5, 5, 5, 4, 5, 5, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 5, 4, 5, 5] 
dagO10.txt 3_2x4.txt True 0.35826771653543305 0.5 604.0 [2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 3, 2, 2, 3, 3, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 0, 2, 2, 3, 2, 3, 0, 2, 0, 3, 0, 2, 3, 0, 3, 0, 3, 3, 0, 0, 3, 0, 0, 1, 3, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 6, 1, 0, 1, 1, 1, 1, 6, 6, 6, 6, 7, 0, 6, 6, 1, 1, 6, 6, 1, 6, 7, 6, 6, 7, 6, 6, 7, 7, 7, 7, 6, 6, 6, 7, 6, 7, 7, 7, 6, 7, 7, 7, 6, 7, 6, 7, 5, 7, 7, 5, 7, 7, 7, 7, 5, 4, 5, 7, 5, 4, 4, 5, 5, 4, 5, 4, 4, 5, 5, 4, 7, 5, 4, 5, 5, 5, 4, 5, 5, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 5, 4, 5, 5] 
dagO10.txt 3_2x4.txt True 0.35826771653543305 0.6 604.0 [2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 3, 2, 2, 3, 3, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 0, 2, 2, 3, 2, 3, 0, 2, 0, 3, 0, 2, 3, 0, 3, 0, 3, 3, 0, 0, 3, 0, 0, 1, 3, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 6, 1, 0, 1, 1, 1, 1, 6, 6, 6, 6, 7, 0, 6, 6, 1, 1, 6, 6, 1, 6, 7, 6, 6, 7, 6, 6, 7, 7, 7, 7, 6, 6, 6, 7, 6, 7, 7, 7, 6, 7, 7, 7, 6, 7, 6, 7, 5, 7, 7, 5, 7, 7, 7, 7, 5, 4, 5, 7, 5, 4, 4, 5, 5, 4, 5, 4, 4, 5, 5, 4, 7, 5, 4, 5, 5, 5, 4, 5, 5, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 5, 4, 5, 5] 
dagO10.txt 3_2x4.txt True 0.35826771653543305 0.7 604.0 [2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 3, 2, 2, 3, 3, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 0, 2, 2, 3, 2, 3, 0, 2, 0, 3, 0, 2, 3, 0, 3, 0, 3, 3, 0, 0, 3, 0, 0, 1, 3, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 6, 1, 0, 1, 1, 1, 1, 6, 6, 6, 6, 7, 0, 6, 6, 1, 1, 6, 6, 1, 6, 7, 6, 6, 7, 6, 6, 7, 7, 7, 7, 6, 6, 6, 7, 6, 7, 7, 7, 6, 7, 7, 7, 6, 7, 6, 7, 5, 7, 7, 5, 7, 7, 7, 7, 5, 4, 5, 7, 5, 4, 4, 5, 5, 4, 5, 4, 4, 5, 5, 4, 7, 5, 4, 5, 5, 5, 4, 5, 5, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 5, 4, 5, 5] 
dagO10.txt 3_2x4.txt True 0.35826771653543305 1 604.0 [2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 3, 2, 2, 3, 3, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 0, 2, 2, 3, 2, 3, 0, 2, 0, 3, 0, 2, 3, 0, 3, 0, 3, 3, 0, 0, 3, 0, 0, 1, 3, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 6, 1, 0, 1, 1, 1, 1, 6, 6, 6, 6, 7, 0, 6, 6, 1, 1, 6, 6, 1, 6, 7, 6, 6, 7, 6, 6, 7, 7, 7, 7, 6, 6, 6, 7, 6, 7, 7, 7, 6, 7, 7, 7, 6, 7, 6, 7, 5, 7, 7, 5, 7, 7, 7, 7, 5, 4, 5, 7, 5, 4, 4, 5, 5, 4, 5, 4, 4, 5, 5, 4, 7, 5, 4, 5, 5, 5, 4, 5, 5, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 5, 4, 5, 5] 
