dagA0.txt 3_2x4.txt True 0.047619047619047616 0.07 373.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 7, 7, 1, 1] 
dagA0.txt 3_2x4.txt True 0.047619047619047616 0.1 373.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 7, 7, 1, 1] 
dagA0.txt 3_2x4.txt True 0.11564625850340136 0.15 336.5 [7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 0, 0, 7, 7, 7, 7, 7, 2, 2, 7, 7] 
dagA0.txt 3_2x4.txt True 0.12244897959183673 0.2 329.75 [7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 5, 5, 7, 4, 4, 7, 7, 1, 1, 7, 7] 
dagA0.txt 3_2x4.txt True 0.12244897959183673 0.3 329.75 [7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 5, 5, 7, 4, 4, 7, 7, 1, 1, 7, 7] 
dagA0.txt 3_2x4.txt True 0.12244897959183673 0.4 329.75 [7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 5, 5, 7, 4, 4, 7, 7, 1, 1, 7, 7] 
dagA0.txt 3_2x4.txt True 0.4557823129251701 0.5 126.5 [3, 3, 5, 3, 3, 5, 7, 7, 3, 3, 5, 1, 3, 5, 1, 6, 5, 1, 3, 3, 7, 3, 3, 7, 3, 5, 5, 3, 5, 3, 5, 5, 7, 1, 1, 1, 0, 5, 3, 5, 0, 5, 7, 7, 5, 1, 1, 1, 1, 5] 
dagA0.txt 3_2x4.txt True 0.5102040816326531 0.6 134.0 [5, 5, 3, 3, 5, 5, 1, 5, 3, 3, 3, 5, 5, 1, 4, 1, 1, 3, 3, 4, 6, 5, 3, 3, 1, 3, 3, 5, 1, 5, 2, 1, 3, 3, 1, 3, 2, 6, 5, 1, 1, 3, 4, 5, 6, 4, 5, 5, 3, 1] 
dagA0.txt 3_2x4.txt True 0.5238095238095238 0.7 115.0 [7, 7, 5, 5, 7, 4, 1, 3, 7, 5, 5, 3, 7, 1, 5, 1, 1, 5, 5, 3, 1, 7, 7, 3, 4, 5, 5, 7, 1, 7, 5, 1, 3, 5, 5, 3, 7, 1, 7, 1, 0, 5, 4, 3, 7, 5, 3, 0, 3, 5] 
dagA0.txt 3_2x4.txt True 0.7278911564625851 1 96.75 [5, 5, 7, 1, 5, 3, 3, 3, 5, 7, 5, 3, 1, 5, 5, 2, 7, 3, 7, 5, 0, 6, 1, 3, 3, 7, 1, 1, 3, 3, 1, 7, 5, 5, 1, 7, 7, 1, 6, 1, 2, 3, 1, 0, 7, 1, 4, 4, 7, 3] 
dagA0.txt 3_2x2.txt True 0.047619047619047616 0.07 497.6666666666667 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0] 
dagA0.txt 3_2x2.txt True 0.047619047619047616 0.1 497.6666666666667 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0] 
dagA0.txt 3_2x2.txt True 0.11564625850340136 0.15 448.6666666666667 [2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 1, 1, 2, 2] 
dagA0.txt 3_2x2.txt True 0.12244897959183673 0.2 439.6666666666667 [0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 0, 3, 3, 0, 0, 1, 1, 0, 0] 
dagA0.txt 3_2x2.txt True 0.12244897959183673 0.3 439.6666666666667 [0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 0, 3, 3, 0, 0, 1, 1, 0, 0] 
dagA0.txt 3_2x2.txt True 0.12244897959183673 0.4 439.6666666666667 [0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 0, 3, 3, 0, 0, 1, 1, 0, 0] 
dagA0.txt 3_2x2.txt True 0.4421768707482993 0.5 253.0 [1, 1, 3, 1, 1, 3, 2, 2, 1, 1, 3, 2, 1, 3, 0, 2, 3, 0, 1, 1, 2, 1, 1, 2, 1, 3, 3, 1, 3, 1, 3, 3, 2, 0, 0, 0, 0, 3, 1, 3, 0, 3, 2, 2, 3, 0, 2, 0, 0, 3] 
dagA0.txt 3_2x2.txt True 0.47619047619047616 0.6 201.0 [1, 0, 2, 2, 1, 1, 0, 0, 2, 2, 2, 0, 1, 3, 3, 0, 3, 2, 2, 3, 0, 1, 2, 2, 0, 2, 2, 0, 0, 1, 3, 3, 2, 2, 0, 2, 3, 0, 1, 0, 0, 2, 3, 0, 0, 3, 2, 2, 2, 0] 
dagA0.txt 3_2x2.txt True 0.54421768707483 0.7 195.0 [3, 0, 1, 1, 0, 2, 3, 2, 0, 1, 1, 3, 0, 3, 1, 2, 3, 1, 1, 3, 2, 2, 0, 2, 2, 1, 1, 0, 2, 0, 1, 3, 2, 1, 0, 2, 3, 2, 0, 2, 0, 1, 2, 2, 2, 0, 3, 3, 2, 1] 
dagA0.txt 3_2x2.txt True 0.7074829931972789 1 186.0 [2, 0, 2, 0, 0, 0, 0, 0, 2, 1, 1, 3, 2, 0, 3, 1, 2, 2, 3, 0, 3, 0, 3, 1, 2, 2, 2, 1, 0, 2, 3, 2, 1, 1, 0, 2, 2, 1, 3, 1, 1, 0, 3, 2, 0, 0, 3, 0, 0, 3] 
dagA0.txt 3_2x1.txt True 0.02040816326530612 0.07 521.6666666666666 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0] 
dagA0.txt 3_2x1.txt True 0.02040816326530612 0.1 521.6666666666666 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0] 
dagA0.txt 3_2x1.txt True 0.0 0.15 544.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagA0.txt 3_2x1.txt True 0.10204081632653061 0.2 462.0 [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0] 
dagA0.txt 3_2x1.txt True 0.10204081632653061 0.3 462.0 [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0] 
dagA0.txt 3_2x1.txt True 0.10204081632653061 0.4 462.0 [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0] 
dagA0.txt 3_2x1.txt True 0.3197278911564626 0.5 404.0 [0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1] 
dagA0.txt 3_2x1.txt True 0.272108843537415 0.6 364.0 [0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1] 
dagA0.txt 3_2x1.txt True 0.2857142857142857 0.7 328.0 [1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0] 
dagA0.txt 3_2x1.txt True 0.3197278911564626 1 361.5 [1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1] 
dagA0.txt 3_2x4.txt True 0.047619047619047616 0.07 373.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 7, 7, 1, 1] 
dagA0.txt 3_2x4.txt True 0.047619047619047616 0.08 373.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 7, 7, 1, 1] 
dagA0.txt 3_2x4.txt True 0.047619047619047616 0.09 373.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 7, 7, 1, 1] 
dagA0.txt 3_2x4.txt True 0.047619047619047616 0.1 373.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 7, 7, 1, 1] 
dagA0.txt 3_2x4.txt True 0.047619047619047616 0.11 373.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 7, 7, 1, 1] 
dagA0.txt 3_2x4.txt True 0.047619047619047616 0.12 373.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 7, 7, 1, 1] 
dagA0.txt 3_2x4.txt True 0.047619047619047616 0.13 373.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 7, 7, 1, 1] 
dagA0.txt 3_2x4.txt True 0.047619047619047616 0.14 373.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 7, 7, 1, 1] 
dagA0.txt 3_2x4.txt True 0.11564625850340136 0.15 336.5 [7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 0, 0, 7, 7, 7, 7, 7, 2, 2, 7, 7] 
dagA0.txt 3_2x4.txt True 0.11564625850340136 0.16 336.5 [7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 0, 0, 7, 7, 7, 7, 7, 2, 2, 7, 7] 
dagA0.txt 3_2x4.txt True 0.12244897959183673 0.17 329.75 [7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 5, 5, 7, 4, 4, 7, 7, 1, 1, 7, 7] 
dagA0.txt 3_2x4.txt True 0.12244897959183673 0.18 329.75 [7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 5, 5, 7, 4, 4, 7, 7, 1, 1, 7, 7] 
dagA0.txt 3_2x4.txt True 0.12244897959183673 0.19 329.75 [7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 5, 5, 7, 4, 4, 7, 7, 1, 1, 7, 7] 
dagA0.txt 3_2x4.txt True 0.12244897959183673 0.2 329.75 [7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 5, 5, 7, 4, 4, 7, 7, 1, 1, 7, 7] 
