dagH36.txt 3_2x4.txt True 0.02857142857142857 0.07 591.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1] 
dagH36.txt 3_2x4.txt True 0.06938775510204082 0.1 569.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 7, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagH36.txt 3_2x4.txt True 0.09795918367346938 0.15 503.75 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 7, 1, 1, 1, 1, 0, 7, 7, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 7, 7, 1, 1] 
dagH36.txt 3_2x4.txt True 0.14285714285714285 0.2 496.25 [7, 7, 7, 7, 7, 7, 6, 7, 6, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 5, 7, 3, 7, 3, 7, 7, 7, 1, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 1, 7, 7, 1, 5, 1, 7, 7, 7, 7, 7, 1, 7, 7, 3, 7, 7, 7] 
dagH36.txt 3_2x4.txt True 0.14285714285714285 0.3 496.25 [7, 7, 7, 7, 7, 7, 6, 7, 6, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 5, 7, 3, 7, 3, 7, 7, 7, 1, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 1, 7, 7, 1, 5, 1, 7, 7, 7, 7, 7, 1, 7, 7, 3, 7, 7, 7] 
dagH36.txt 3_2x4.txt True 0.14285714285714285 0.4 496.25 [7, 7, 7, 7, 7, 7, 6, 7, 6, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 5, 7, 3, 7, 3, 7, 7, 7, 1, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 1, 7, 7, 1, 5, 1, 7, 7, 7, 7, 7, 1, 7, 7, 3, 7, 7, 7] 
dagH36.txt 3_2x4.txt True 0.14285714285714285 0.5 496.25 [7, 7, 7, 7, 7, 7, 6, 7, 6, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 5, 7, 3, 7, 3, 7, 7, 7, 1, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 1, 7, 7, 1, 5, 1, 7, 7, 7, 7, 7, 1, 7, 7, 3, 7, 7, 7] 
dagH36.txt 3_2x4.txt True 0.49795918367346936 0.6 171.5 [7, 7, 4, 4, 7, 7, 4, 5, 5, 7, 5, 4, 1, 7, 7, 7, 6, 7, 5, 5, 5, 1, 7, 4, 1, 1, 7, 1, 5, 1, 5, 5, 7, 2, 3, 1, 1, 1, 5, 1, 7, 1, 7, 5, 1, 5, 3, 3, 7, 3, 3, 7, 3, 3, 3, 3, 7, 2, 3, 1, 3, 3, 3, 2, 1, 3, 7, 3, 1, 3, 3, 3, 3, 3, 3, 1, 2, 7, 3, 1, 5, 7, 3, 3, 3] 
dagH36.txt 3_2x4.txt True 0.5714285714285714 0.7 144.75 [3, 1, 2, 5, 1, 3, 1, 5, 1, 5, 5, 1, 5, 1, 3, 1, 2, 1, 1, 1, 5, 7, 3, 2, 3, 1, 3, 1, 5, 6, 5, 1, 3, 5, 4, 1, 3, 0, 1, 5, 1, 7, 5, 1, 3, 6, 7, 3, 5, 7, 7, 5, 1, 7, 4, 7, 5, 5, 7, 7, 7, 7, 1, 5, 3, 0, 5, 3, 7, 1, 3, 3, 3, 7, 7, 7, 5, 5, 3, 7, 3, 4, 7, 3, 7] 
dagH36.txt 3_2x4.txt True 0.746938775510204 1 135.0 [3, 3, 3, 5, 4, 1, 7, 5, 7, 6, 1, 4, 7, 1, 7, 3, 7, 7, 3, 3, 5, 1, 7, 1, 5, 2, 7, 3, 5, 7, 5, 7, 4, 3, 2, 7, 6, 5, 3, 4, 4, 3, 1, 7, 5, 5, 3, 5, 7, 7, 3, 0, 2, 3, 6, 6, 1, 1, 1, 3, 0, 7, 5, 1, 5, 5, 1, 3, 3, 1, 3, 2, 3, 5, 5, 5, 0, 5, 3, 3, 5, 1, 0, 3, 7] 
