dagL15.txt 3_2x4.txt True 0.06744186046511629 0.07 942.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3] 
dagL15.txt 3_2x4.txt True 0.06744186046511629 0.1 942.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3] 
dagL15.txt 3_2x4.txt True 0.11395348837209303 0.15 942.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 5, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 7, 3, 3, 1, 1, 1, 1, 3, 1, 1, 7, 3, 3, 1, 7] 
dagL15.txt 3_2x4.txt True 0.16279069767441862 0.2 852.5 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 6, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 5, 1, 1, 1, 7, 1, 1, 5, 1, 2, 7, 1, 1, 2, 1, 1, 7, 7, 7, 1, 7, 1, 2, 1, 3, 7, 1, 1, 7, 3, 2, 2, 1, 3, 1] 
dagL15.txt 3_2x4.txt True 0.1744186046511628 0.3 811.25 [5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 2, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 2, 2, 2, 5, 5, 5, 2, 5, 2, 5, 5, 5, 2, 5, 1, 5, 5, 1, 5, 5, 2, 5, 5, 5, 5, 7, 3, 5, 5, 1, 5, 5, 5, 4, 5, 7, 1, 5, 5, 2, 5, 5, 5, 5, 5, 4, 3, 4, 4, 5, 5, 7, 5, 5, 3, 5, 7, 3, 5, 4, 5, 5, 5, 5] 
dagL15.txt 3_2x4.txt True 0.1744186046511628 0.4 811.25 [5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 2, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 2, 2, 2, 5, 5, 5, 2, 5, 2, 5, 5, 5, 2, 5, 1, 5, 5, 1, 5, 5, 2, 5, 5, 5, 5, 7, 3, 5, 5, 1, 5, 5, 5, 4, 5, 7, 1, 5, 5, 2, 5, 5, 5, 5, 5, 4, 3, 4, 4, 5, 5, 7, 5, 5, 3, 5, 7, 3, 5, 4, 5, 5, 5, 5] 
dagL15.txt 3_2x4.txt True 0.1744186046511628 0.5 811.25 [5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 2, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 2, 2, 2, 5, 5, 5, 2, 5, 2, 5, 5, 5, 2, 5, 1, 5, 5, 1, 5, 5, 2, 5, 5, 5, 5, 7, 3, 5, 5, 1, 5, 5, 5, 4, 5, 7, 1, 5, 5, 2, 5, 5, 5, 5, 5, 4, 3, 4, 4, 5, 5, 7, 5, 5, 3, 5, 7, 3, 5, 4, 5, 5, 5, 5] 
dagL15.txt 3_2x4.txt True 0.40930232558139534 0.6 254.75 [1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 0, 1, 1, 1, 3, 3, 1, 1, 3, 1, 3, 3, 3, 1, 0, 3, 3, 3, 2, 0, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 2, 2, 3, 6, 0, 3, 3, 3, 0, 3, 6, 5, 1, 2, 3, 1, 3, 0, 3, 7, 1, 3, 2, 5, 1, 5, 3, 5, 7, 3, 1, 5, 7, 5, 6, 1, 5, 5, 1, 5, 7, 5, 5, 5, 5, 5, 7, 7, 5, 5, 0, 5, 7, 7, 5, 7, 5, 7, 4, 4, 7, 5, 5, 7, 4, 5, 7, 7, 7, 7, 4, 5, 3, 3, 3, 5, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3] 
dagL15.txt 3_2x4.txt True 0.4813953488372093 0.7 239.75 [3, 5, 5, 0, 5, 3, 3, 0, 1, 5, 5, 3, 1, 1, 3, 5, 1, 0, 3, 3, 2, 5, 1, 0, 3, 2, 5, 1, 0, 5, 5, 3, 5, 1, 3, 5, 3, 3, 3, 3, 2, 3, 5, 2, 5, 5, 3, 3, 3, 5, 3, 5, 3, 5, 5, 2, 1, 5, 1, 5, 5, 3, 1, 2, 6, 1, 1, 5, 2, 3, 1, 1, 3, 1, 1, 3, 1, 5, 1, 1, 4, 3, 1, 6, 5, 6, 3, 1, 5, 1, 5, 5, 5, 1, 1, 3, 1, 4, 5, 5, 1, 4, 7, 7, 7, 5, 4, 7, 5, 7, 4, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7] 
dagL15.txt 3_2x4.txt True 0.7325581395348837 1 218.0 [1, 6, 7, 6, 1, 7, 7, 4, 7, 7, 3, 5, 7, 4, 6, 1, 5, 7, 1, 3, 1, 2, 7, 7, 1, 5, 2, 1, 1, 7, 7, 5, 1, 5, 2, 1, 7, 5, 7, 6, 7, 1, 6, 7, 6, 6, 5, 5, 3, 7, 4, 7, 5, 1, 5, 5, 1, 7, 5, 1, 7, 3, 5, 5, 1, 6, 7, 4, 6, 5, 1, 5, 1, 2, 6, 0, 5, 4, 3, 1, 3, 3, 4, 3, 2, 2, 3, 1, 5, 5, 3, 5, 3, 3, 2, 5, 5, 3, 3, 5, 3, 3, 3, 0, 4, 3, 3, 3, 5, 3, 1, 3, 2, 0, 0, 1, 1, 5, 1, 1, 0, 1, 7, 3, 1, 1, 0, 3, 1, 7, 3, 1, 7, 1, 3, 0, 1, 7, 3, 1] 
dagL15.txt 3_2x2.txt True 0.06744186046511629 0.07 1256.3333333333333 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1] 
