dagN29.txt 3_2x4.txt True 0.06378600823045268 0.07 1095.75 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 7, 7, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2] 
dagN29.txt 3_2x4.txt True 0.08641975308641975 0.1 1018.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 3, 7, 3, 2, 7, 7, 7, 7, 2, 2, 2, 7, 7, 2, 3, 7, 2, 3, 3, 2, 2, 7, 2, 3, 2, 7, 2, 2, 2, 7, 7, 3, 2] 
dagN29.txt 3_2x4.txt True 0.11316872427983539 0.15 993.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 3, 7, 7, 7, 7, 3, 7, 7, 7, 3, 7, 7, 7, 7, 3, 7, 7, 3, 7, 3, 3, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 0, 0, 0, 0, 0, 7, 0, 0, 7, 0, 7, 7, 0, 7, 0, 0, 0] 
dagN29.txt 3_2x4.txt True 0.16049382716049382 0.2 944.5 [7, 7, 7, 3, 7, 7, 7, 7, 3, 7, 7, 7, 3, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 0, 7, 7, 0, 0, 0, 7, 7, 7, 7, 0, 7, 0, 7, 7, 7, 7, 7, 2, 7, 7, 0, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 0, 7, 0, 7, 7, 7, 7, 2, 7, 7, 0, 7, 7, 7, 2, 7, 7, 7, 7, 7, 2, 7, 3, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 2, 3, 2, 7, 7, 7, 2, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7] 
dagN29.txt 3_2x4.txt True 0.17078189300411523 0.3 897.25 [7, 7, 7, 3, 7, 7, 7, 7, 3, 7, 7, 7, 3, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 2, 3, 3, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 0, 7, 7, 0, 2, 0, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 1, 7, 7, 0, 1, 7, 1, 7, 1, 0, 7, 7, 7, 7, 1, 1, 7, 1, 1] 
dagN29.txt 3_2x4.txt True 0.17078189300411523 0.4 897.25 [7, 7, 7, 3, 7, 7, 7, 7, 3, 7, 7, 7, 3, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 2, 3, 3, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 0, 7, 7, 0, 2, 0, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 1, 7, 7, 0, 1, 7, 1, 7, 1, 0, 7, 7, 7, 7, 1, 1, 7, 1, 1] 
dagN29.txt 3_2x4.txt True 0.17078189300411523 0.5 897.25 [7, 7, 7, 3, 7, 7, 7, 7, 3, 7, 7, 7, 3, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 2, 3, 3, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 0, 7, 7, 0, 2, 0, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 1, 7, 7, 0, 1, 7, 1, 7, 1, 0, 7, 7, 7, 7, 1, 1, 7, 1, 1] 
dagN29.txt 3_2x4.txt True 0.4156378600823045 0.6 293.75 [3, 3, 3, 3, 5, 4, 5, 4, 4, 3, 3, 5, 5, 3, 5, 3, 3, 3, 3, 5, 5, 3, 3, 4, 3, 4, 5, 7, 7, 5, 5, 5, 5, 5, 5, 5, 6, 7, 5, 5, 7, 7, 6, 7, 5, 7, 7, 5, 5, 6, 6, 7, 7, 7, 6, 7, 5, 7, 1, 7, 6, 7, 6, 7, 7, 7, 7, 7, 6, 1, 1, 1, 7, 7, 2, 7, 7, 7, 1, 1, 1, 1, 1, 7, 2, 1, 3, 3, 7, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 3, 5, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 5, 3, 1, 5, 3, 1, 5, 5, 1, 1, 5, 1, 1, 1, 5, 5, 5, 5, 1, 5, 5, 1, 5, 5, 5, 1, 0, 1, 1, 1, 5, 1, 5, 1, 1, 5, 5, 5, 5, 1, 0, 5, 1, 1] 
dagN29.txt 3_2x4.txt True 0.4176954732510288 0.7 259.25 [3, 3, 3, 3, 2, 3, 3, 2, 3, 3, 3, 2, 3, 3, 5, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 0, 3, 2, 2, 1, 3, 1, 1, 5, 3, 3, 0, 1, 3, 0, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 0, 0, 1, 1, 1, 5, 1, 1, 0, 0, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 5, 5, 1, 1, 5, 1, 1, 1, 0, 1, 5, 1, 4, 7, 5, 4, 5, 4, 5, 5, 4, 5, 7, 5, 7, 5, 7, 7, 5, 7, 7, 7, 7, 7, 7, 5, 4, 5, 7, 1, 5, 4, 6, 5, 7, 7, 7, 5, 3, 7, 6, 1, 7, 5, 6, 7, 7, 6, 7, 7, 7, 6, 7, 5, 7, 7, 7, 5, 7, 5, 7, 5, 6, 5, 7, 5, 7, 7, 6, 7, 7, 6, 7, 7, 5, 6] 
dagN29.txt 3_2x4.txt True 0.6275720164609053 1 250.0 [0, 5, 5, 1, 3, 0, 1, 0, 0, 0, 0, 1, 0, 3, 1, 1, 0, 3, 7, 1, 1, 1, 7, 3, 5, 1, 1, 3, 7, 1, 1, 3, 1, 1, 3, 7, 3, 1, 1, 5, 1, 3, 1, 3, 5, 7, 3, 3, 3, 7, 3, 5, 2, 3, 7, 3, 3, 2, 2, 3, 3, 3, 1, 7, 3, 2, 2, 5, 7, 7, 7, 3, 1, 2, 3, 7, 7, 7, 7, 1, 2, 7, 6, 2, 7, 6, 7, 5, 7, 7, 6, 7, 3, 6, 6, 3, 6, 6, 7, 1, 5, 6, 7, 6, 7, 1, 6, 3, 1, 7, 7, 1, 1, 5, 7, 7, 4, 7, 5, 5, 6, 4, 5, 5, 4, 5, 4, 7, 1, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 3, 5, 1, 5, 3, 1, 4, 5, 1, 3, 5, 4, 5, 5, 3, 5, 5, 1, 4] 
