triadag15_5.txt 3_2x4.txt 0.1 0.1 885.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
triadag15_5.txt 3_2x4.txt 0.45714285714285713 0.7 308.5 [2, 7, 7, 2, 1, 2, 0, 7, 0, 2, 7, 1, 3, 2, 2, 6, 7, 2, 0, 2, 0, 7, 0, 2, 7, 1, 2, 2, 2, 0, 2, 0, 2, 0, 6, 0, 0, 7, 1, 5, 1, 6, 0, 1, 0, 0, 6, 0, 0, 7, 1, 0, 1, 0, 4, 0, 0, 6, 0, 0, 7, 1, 0, 1, 0, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 6, 4, 4, 4, 4, 2, 6, 4, 4, 6, 4, 6, 6, 6, 6, 6, 2, 3, 3, 6, 5, 6, 6, 6, 3, 5, 5, 3, 4, 5, 5, 3, 3, 4, 5, 5, 3, 7, 5, 3, 4, 5, 3, 3, 3] 
triadag15_5.txt 3_2x4.txt 0.42857142857142855 0.6 308.0 [1, 5, 1, 0, 4, 0, 0, 1, 1, 1, 1, 1, 6, 0, 1, 5, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 3, 5, 5, 5, 5, 5, 5, 5, 5, 6, 0, 0, 5, 3, 6, 3, 3, 5, 5, 3, 3, 0, 0, 0, 3, 2, 3, 3, 3, 2, 3, 3, 0, 3, 0, 3, 2, 6, 2, 2, 7, 2, 7, 4, 2, 2, 6, 2, 2, 7, 2, 7, 2, 2, 2, 6, 6, 7, 6, 7, 6, 6, 4, 6, 7, 6, 7, 6, 6, 2, 2, 6, 7, 2, 6, 2, 4, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
triadag15_5.txt 3_2x4.txt 0.4380952380952381 0.65 306.5 [1, 2, 0, 1, 2, 2, 0, 2, 0, 2, 1, 1, 1, 3, 0, 2, 0, 1, 2, 2, 0, 2, 0, 2, 1, 1, 1, 3, 0, 0, 2, 2, 2, 3, 2, 0, 2, 2, 1, 1, 3, 0, 3, 4, 0, 3, 0, 0, 0, 0, 0, 3, 3, 0, 4, 4, 3, 0, 0, 3, 0, 0, 3, 3, 0, 4, 5, 5, 4, 5, 4, 4, 5, 4, 4, 5, 5, 4, 5, 4, 4, 5, 4, 4, 7, 5, 5, 4, 4, 4, 7, 4, 6, 7, 6, 7, 7, 7, 4, 7, 6, 6, 6, 6, 7, 7, 6, 6, 7, 7, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6] 
triadag15_5.txt 3_2x4.txt 0.44285714285714284 0.5 308.5 [2, 1, 3, 1, 0, 2, 0, 0, 3, 0, 0, 1, 6, 0, 1, 1, 3, 1, 1, 2, 0, 0, 3, 0, 0, 1, 2, 0, 1, 3, 1, 1, 2, 0, 2, 3, 1, 0, 2, 2, 0, 1, 2, 7, 2, 3, 2, 3, 3, 4, 2, 2, 0, 3, 6, 2, 3, 2, 3, 3, 3, 2, 2, 0, 2, 6, 4, 6, 3, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6, 6, 6, 6, 4, 6, 4, 6, 4, 4, 4, 7, 5, 4, 5, 4, 4, 4, 4, 7, 5, 5, 5, 5, 4, 7, 5, 7, 7, 7, 5, 7, 7, 7, 5, 5, 5, 5, 5, 0] 
triadag15_5.txt 3_2x4.txt 0.4523809523809524 0.55 307.6666666666667 [4, 5, 0, 0, 3, 0, 0, 4, 5, 5, 0, 4, 5, 1, 4, 5, 1, 0, 1, 0, 0, 4, 5, 5, 0, 4, 5, 1, 0, 1, 5, 0, 0, 0, 4, 5, 5, 0, 4, 5, 1, 0, 4, 7, 0, 1, 1, 1, 0, 4, 4, 1, 4, 1, 3, 0, 1, 1, 4, 0, 4, 4, 0, 4, 4, 3, 6, 6, 6, 6, 3, 3, 0, 3, 3, 6, 6, 6, 6, 3, 3, 6, 3, 3, 6, 2, 6, 6, 3, 6, 6, 3, 2, 2, 6, 2, 6, 6, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7] 
triadag15_5.txt 3_2x4.txt 0.4238095238095238 0.45 310.3333333333333 [6, 6, 6, 6, 4, 4, 6, 2, 6, 2, 2, 4, 6, 2, 2, 6, 6, 6, 4, 2, 6, 2, 6, 2, 2, 4, 4, 2, 2, 1, 6, 4, 2, 6, 2, 6, 2, 2, 4, 4, 2, 2, 1, 1, 1, 7, 1, 1, 1, 6, 4, 1, 2, 1, 5, 1, 7, 1, 1, 1, 2, 5, 1, 4, 1, 5, 7, 5, 7, 0, 5, 5, 5, 5, 5, 7, 5, 7, 4, 5, 5, 5, 5, 5, 3, 7, 0, 5, 7, 0, 5, 7, 3, 3, 3, 3, 0, 3, 3, 0, 3, 3, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 6] 
triadag15_5.txt 3_2x4.txt 0.3476190476190476 0.35 324.5 [6, 2, 6, 0, 0, 0, 0, 1, 0, 0, 1, 5, 5, 1, 0, 0, 6, 0, 1, 0, 0, 1, 0, 0, 1, 5, 5, 1, 0, 6, 0, 1, 0, 0, 1, 0, 0, 1, 5, 5, 1, 0, 6, 5, 6, 6, 6, 6, 6, 6, 5, 5, 6, 6, 4, 6, 6, 6, 6, 6, 6, 5, 5, 6, 6, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 2, 2, 2, 2, 2, 2, 7, 2, 2, 2, 2, 2, 2, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3] 
triadag15_5.txt 3_2x4.txt 0.3952380952380952 0.4 314.6666666666667 [0, 0, 1, 1, 4, 0, 1, 0, 1, 1, 1, 1, 7, 4, 4, 0, 1, 1, 4, 0, 1, 0, 1, 1, 1, 1, 0, 4, 4, 5, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 4, 4, 5, 4, 5, 5, 5, 5, 5, 6, 5, 5, 4, 4, 3, 5, 5, 5, 5, 5, 1, 5, 5, 4, 4, 3, 3, 3, 6, 2, 3, 3, 6, 3, 4, 3, 3, 6, 2, 3, 3, 6, 3, 3, 6, 7, 2, 3, 2, 6, 3, 3, 6, 2, 6, 2, 6, 6, 6, 2, 6, 2, 6, 6, 6, 2, 2, 2, 2, 2, 7, 2, 2, 2, 7, 7, 7, 7, 7, 7] 
triadag15_5.txt 3_2x4.txt 0.24761904761904763 0.25 414.6666666666667 [4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 2, 4, 4, 3, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 2, 2, 3, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 6, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
