triadag20_8.txt 3_2x4.txt 0.09210526315789473 0.1 1257.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 2, 4, 4, 4, 4, 4, 4, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
triadag20_8.txt 3_2x4.txt 0.14736842105263157 0.15 949.3333333333334 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 6, 0, 0, 0, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 4, 6, 4, 6, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
triadag20_8.txt 3_2x4.txt 0.39473684210526316 0.7 565.6666666666666 [1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 5, 2, 2, 2, 5, 1, 2, 2, 2, 6, 1, 1, 1, 1, 1, 1, 2, 2, 1, 5, 4, 2, 2, 5, 6, 4, 2, 2, 1, 1, 1, 1, 1, 1, 2, 6, 1, 5, 2, 2, 5, 5, 3, 2, 5, 5, 2, 2, 2, 2, 2, 2, 3, 2, 5, 2, 2, 5, 5, 3, 5, 5, 3, 4, 3, 3, 3, 3, 3, 3, 5, 3, 3, 5, 5, 0, 5, 3, 2, 3, 3, 3, 3, 3, 3, 5, 3, 3, 5, 5, 0, 0, 2, 0, 0, 0, 0, 3, 3, 6, 0, 4, 0, 5, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 6, 6, 6, 6, 0, 0, 0, 0, 0, 6, 0, 0, 6, 6, 6, 0, 0, 0, 0, 0, 6, 0, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 7, 6, 6, 6, 6, 6, 7, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 4, 4, 7, 4, 4, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
triadag20_8.txt 3_2x4.txt 0.4 0.8 569.6666666666666 [6, 2, 3, 1, 2, 3, 2, 2, 2, 2, 2, 2, 2, 5, 2, 5, 2, 3, 3, 5, 5, 3, 1, 2, 2, 3, 2, 2, 2, 2, 2, 2, 5, 2, 5, 2, 3, 3, 5, 3, 4, 2, 3, 3, 2, 2, 2, 2, 2, 2, 5, 2, 5, 2, 3, 4, 5, 1, 3, 3, 3, 3, 2, 1, 2, 3, 3, 5, 2, 5, 3, 3, 3, 5, 1, 5, 1, 1, 0, 1, 1, 1, 0, 5, 1, 5, 1, 5, 1, 5, 4, 1, 1, 1, 1, 1, 1, 1, 5, 1, 5, 1, 5, 1, 5, 4, 4, 4, 4, 4, 4, 1, 4, 4, 6, 4, 0, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 0, 4, 0, 7, 0, 0, 0, 0, 0, 0, 7, 0, 4, 7, 0, 0, 0, 7, 0, 0, 7, 0, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 6, 7, 7, 6, 7, 2, 7, 7, 6, 7, 6, 6, 7, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6] 
triadag20_8.txt 3_2x4.txt 0.40789473684210525 0.65 570.5 [2, 1, 1, 1, 5, 2, 2, 5, 1, 7, 5, 1, 5, 1, 4, 1, 1, 5, 5, 1, 4, 2, 1, 5, 2, 2, 5, 1, 7, 5, 4, 5, 1, 4, 1, 1, 5, 5, 4, 2, 1, 5, 2, 2, 5, 1, 7, 5, 4, 5, 1, 4, 1, 1, 5, 5, 4, 2, 2, 5, 2, 3, 2, 2, 5, 2, 2, 2, 7, 3, 2, 3, 2, 6, 2, 3, 2, 3, 2, 2, 5, 2, 3, 3, 7, 3, 2, 3, 6, 6, 3, 2, 3, 2, 2, 5, 2, 3, 3, 7, 3, 2, 3, 6, 6, 6, 3, 4, 6, 6, 2, 3, 3, 7, 3, 4, 3, 6, 6, 4, 4, 0, 6, 6, 6, 6, 6, 6, 4, 1, 6, 6, 4, 4, 4, 4, 4, 4, 6, 4, 4, 6, 4, 4, 0, 4, 4, 4, 4, 6, 4, 4, 6, 4, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 6, 0, 7, 0, 0, 0, 0, 6, 7, 6, 6, 6, 6, 7, 6, 6, 6, 6, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
triadag20_8.txt 3_2x4.txt 0.40789473684210525 0.6 567.3333333333334 [7, 6, 4, 4, 4, 4, 4, 4, 4, 5, 6, 4, 4, 5, 6, 4, 4, 6, 4, 4, 6, 4, 4, 4, 4, 0, 4, 4, 5, 6, 4, 4, 5, 6, 4, 4, 6, 4, 4, 6, 4, 6, 6, 0, 6, 6, 5, 6, 6, 6, 4, 6, 6, 4, 6, 6, 6, 0, 6, 6, 0, 6, 6, 5, 6, 6, 6, 5, 6, 6, 4, 6, 6, 6, 0, 6, 0, 0, 7, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 5, 2, 0, 0, 5, 0, 0, 5, 5, 0, 0, 0, 0, 0, 5, 2, 5, 5, 5, 2, 5, 5, 5, 0, 0, 0, 7, 0, 5, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 6, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 7, 1, 1, 7, 1, 1, 1, 3, 7, 7, 7, 7, 7, 7, 7, 3, 3, 3, 7, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 7, 2, 3, 3, 3, 3, 3, 0, 3, 3] 
triadag20_8.txt 3_2x4.txt 0.36578947368421055 0.9 570.0 [7, 0, 3, 0, 3, 0, 0, 0, 0, 1, 3, 1, 0, 1, 0, 0, 3, 3, 0, 3, 0, 3, 0, 3, 5, 2, 0, 0, 1, 3, 1, 0, 1, 0, 0, 3, 3, 0, 3, 3, 0, 3, 0, 2, 0, 0, 1, 3, 1, 0, 1, 0, 0, 3, 0, 0, 3, 2, 3, 3, 2, 0, 3, 1, 3, 1, 0, 1, 3, 0, 3, 0, 1, 3, 2, 2, 2, 2, 2, 1, 3, 2, 2, 1, 2, 6, 2, 2, 1, 6, 2, 2, 2, 2, 1, 3, 2, 2, 1, 2, 6, 2, 2, 1, 6, 6, 2, 2, 1, 6, 2, 2, 1, 2, 6, 2, 2, 1, 6, 6, 6, 4, 6, 6, 5, 6, 6, 6, 2, 6, 1, 6, 5, 4, 6, 6, 5, 6, 6, 1, 6, 6, 5, 6, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 4, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 4, 4, 7, 4, 7, 4, 7, 4, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 6, 7, 6, 7, 6] 
triadag20_8.txt 3_2x4.txt 0.3684210526315789 1 571.5 [3, 3, 6, 0, 3, 7, 3, 2, 7, 3, 3, 3, 3, 7, 6, 0, 3, 7, 7, 4, 3, 6, 0, 3, 7, 3, 2, 7, 3, 3, 3, 3, 7, 6, 0, 3, 7, 7, 4, 6, 7, 3, 7, 3, 3, 6, 3, 0, 3, 3, 7, 7, 0, 3, 7, 7, 4, 6, 6, 7, 6, 7, 6, 6, 0, 6, 6, 0, 7, 0, 6, 6, 6, 4, 6, 0, 6, 0, 6, 6, 0, 6, 6, 0, 6, 0, 6, 6, 6, 0, 0, 6, 0, 0, 6, 0, 6, 6, 0, 6, 0, 6, 6, 4, 0, 4, 0, 0, 4, 0, 1, 6, 0, 2, 0, 0, 4, 4, 1, 4, 4, 4, 1, 1, 4, 4, 2, 0, 4, 4, 4, 1, 1, 4, 1, 1, 4, 4, 4, 4, 4, 4, 4, 1, 2, 1, 1, 1, 4, 1, 1, 2, 4, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 2, 5, 5, 2, 5, 2, 0, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4] 
triadag20_8.txt 3_2x4.txt 0.40789473684210525 0.55 568.6666666666666 [6, 7, 6, 7, 7, 7, 2, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 4, 1, 7, 6, 7, 7, 6, 7, 7, 1, 1, 1, 1, 1, 1, 1, 1, 2, 7, 4, 1, 6, 6, 7, 7, 7, 7, 1, 1, 1, 1, 1, 4, 4, 1, 1, 7, 4, 1, 6, 6, 6, 4, 7, 6, 6, 4, 6, 4, 6, 4, 6, 6, 4, 4, 6, 4, 6, 4, 7, 6, 6, 4, 6, 4, 6, 4, 6, 6, 4, 4, 6, 3, 4, 7, 6, 6, 4, 6, 4, 6, 4, 6, 6, 4, 4, 6, 3, 3, 3, 3, 3, 3, 4, 6, 4, 6, 3, 0, 4, 3, 0, 3, 0, 3, 3, 3, 0, 3, 0, 3, 4, 3, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 2, 0, 0, 2, 2, 2, 0, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 4, 5, 5, 5, 5, 5, 2, 5, 5] 
triadag20_8.txt 3_2x4.txt 0.37894736842105264 0.5 569.0 [7, 6, 5, 5, 5, 5, 7, 6, 6, 5, 5, 6, 6, 7, 5, 1, 1, 5, 6, 5, 6, 5, 5, 5, 7, 5, 6, 6, 5, 5, 6, 6, 5, 5, 1, 4, 5, 6, 5, 6, 7, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 1, 1, 5, 7, 5, 3, 6, 6, 6, 6, 6, 6, 5, 6, 6, 3, 6, 1, 1, 5, 6, 6, 3, 7, 3, 3, 7, 3, 3, 3, 7, 3, 3, 1, 1, 3, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 3, 1, 3, 0, 1, 1, 3, 2, 1, 3, 1, 2, 0, 1, 0, 1, 1, 0, 0, 6, 1, 7, 0, 0, 0, 2, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2, 0, 0, 7, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 7, 2, 4, 2, 2, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
