triadag25_1.txt 3_2x4.txt 0.1 0.1 1608.3333333333333 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6] 
triadag25_1.txt 3_2x4.txt 0.15 0.15 1322.6666666666667 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 2, 3, 2, 2, 3, 2, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 2, 3, 2, 2, 3, 2, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 2, 3, 2, 2, 3, 2, 2, 3, 2, 3, 0, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 2, 3, 2, 2, 3, 2, 2, 3, 2, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
triadag25_1.txt 3_2x4.txt 0.41833333333333333 0.7 915.0 [6, 6, 6, 3, 6, 6, 3, 5, 6, 6, 6, 6, 3, 3, 6, 3, 3, 6, 6, 3, 6, 6, 6, 6, 6, 7, 6, 3, 6, 6, 3, 3, 6, 6, 6, 6, 3, 7, 6, 7, 5, 6, 6, 5, 6, 6, 6, 6, 6, 6, 3, 6, 6, 3, 3, 6, 6, 6, 6, 3, 5, 6, 3, 5, 6, 6, 3, 6, 6, 7, 5, 6, 3, 5, 6, 3, 3, 6, 6, 2, 7, 7, 7, 6, 3, 3, 6, 6, 3, 6, 6, 6, 6, 6, 2, 2, 3, 3, 6, 2, 5, 3, 3, 7, 6, 3, 7, 2, 3, 3, 2, 2, 5, 2, 7, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 4, 2, 2, 7, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 5, 4, 2, 4, 4, 4, 2, 2, 4, 4, 2, 4, 2, 4, 4, 2, 4, 4, 4, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 7, 7, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 7, 5, 4, 1, 4, 1, 4, 4, 1, 4, 4, 4, 4, 1, 1, 1, 1, 1, 5, 1, 1, 4, 1, 1, 1, 1, 1, 0, 5, 5, 1, 1, 0, 1, 1, 5, 4, 7, 1, 1, 1, 7, 1, 7, 5, 1, 1, 0, 1, 1, 1, 1, 1, 1, 5, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 7, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
triadag25_1.txt 3_2x4.txt 0.355 0.8 914.5 [6, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 6, 4, 6, 6, 6, 6, 6, 6, 7, 0, 4, 6, 6, 6, 6, 4, 4, 4, 4, 4, 6, 4, 4, 4, 6, 4, 6, 6, 6, 6, 6, 6, 7, 0, 4, 6, 6, 6, 4, 4, 4, 4, 4, 6, 4, 4, 4, 6, 4, 6, 6, 6, 6, 6, 6, 7, 0, 4, 6, 6, 6, 0, 4, 4, 4, 6, 4, 4, 4, 0, 4, 7, 6, 6, 6, 4, 4, 7, 0, 4, 0, 6, 6, 0, 0, 7, 0, 7, 0, 0, 0, 7, 7, 0, 7, 7, 0, 0, 7, 0, 0, 0, 7, 7, 0, 7, 0, 7, 0, 0, 0, 7, 7, 0, 7, 7, 0, 0, 7, 0, 0, 0, 0, 2, 0, 0, 7, 0, 0, 0, 7, 7, 0, 7, 7, 0, 0, 7, 0, 0, 0, 0, 2, 4, 5, 5, 5, 0, 5, 7, 5, 5, 0, 5, 0, 0, 0, 5, 5, 5, 2, 5, 5, 5, 2, 5, 4, 5, 5, 0, 5, 4, 0, 0, 5, 5, 5, 2, 2, 5, 2, 5, 5, 2, 5, 2, 2, 5, 2, 5, 5, 2, 5, 2, 2, 2, 5, 2, 2, 5, 2, 2, 5, 2, 5, 5, 2, 5, 2, 2, 5, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 4, 2, 1, 2, 2, 2, 1, 2, 1, 1, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 2, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 6, 6, 6] 
triadag25_1.txt 3_2x4.txt 0.31833333333333336 0.65 914.0 [1, 1, 4, 4, 1, 1, 4, 4, 4, 4, 1, 4, 4, 1, 1, 4, 2, 2, 1, 4, 2, 4, 1, 4, 4, 1, 4, 4, 1, 1, 4, 4, 4, 4, 1, 4, 4, 1, 1, 4, 2, 2, 1, 1, 2, 4, 1, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, 1, 4, 4, 1, 1, 4, 2, 2, 1, 4, 2, 4, 1, 3, 4, 5, 7, 1, 4, 4, 4, 4, 1, 5, 4, 4, 1, 4, 2, 2, 4, 4, 2, 4, 1, 4, 4, 5, 2, 5, 5, 5, 5, 3, 2, 5, 5, 2, 5, 7, 2, 5, 5, 2, 5, 5, 5, 2, 2, 5, 2, 5, 5, 2, 2, 5, 5, 2, 5, 2, 2, 5, 5, 2, 5, 5, 5, 2, 0, 2, 5, 2, 2, 2, 2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 5, 2, 2, 0, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 7, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 0, 0, 0, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 6, 3, 6, 7, 7, 3, 3, 3, 7, 3, 3, 3, 6, 3, 6, 3, 3, 3, 3, 6, 3, 3, 3, 6, 3, 6, 3, 3, 3, 6, 3, 3, 3, 3, 3, 6, 3, 3, 6, 3, 3, 3, 3, 6, 6, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6] 
triadag25_1.txt 3_2x4.txt 0.335 0.9 915.6666666666666 [1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 4, 1, 0, 0, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 4, 1, 5, 0, 3, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 4, 1, 0, 0, 4, 1, 0, 0, 3, 1, 1, 1, 4, 0, 0, 0, 1, 0, 0, 1, 7, 0, 4, 0, 0, 0, 4, 1, 0, 0, 3, 1, 1, 1, 4, 4, 4, 4, 4, 3, 4, 3, 2, 4, 3, 2, 4, 4, 4, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 3, 4, 3, 2, 4, 3, 2, 4, 4, 4, 3, 3, 3, 3, 4, 4, 3, 4, 3, 3, 4, 3, 2, 4, 4, 2, 4, 4, 4, 3, 4, 3, 3, 4, 4, 2, 2, 2, 2, 2, 2, 4, 3, 2, 2, 2, 2, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 5, 3, 2, 2, 2, 2, 2, 3, 3, 3, 2, 2, 4, 2, 2, 2, 5, 5, 2, 2, 2, 2, 2, 5, 5, 2, 2, 5, 4, 5, 2, 4, 5, 4, 2, 2, 4, 5, 5, 4, 5, 4, 5, 5, 2, 4, 5, 4, 2, 2, 4, 5, 5, 4, 5, 4, 5, 6, 6, 5, 5, 5, 2, 5, 5, 5, 5, 5, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 6, 6, 6, 6, 6, 6] 
triadag25_1.txt 3_2x4.txt 0.19833333333333333 0.2 1085.0 [2, 2, 7, 2, 2, 2, 2, 7, 2, 2, 2, 2, 2, 2, 2, 4, 7, 2, 2, 7, 2, 2, 2, 2, 2, 2, 7, 2, 2, 2, 2, 7, 2, 2, 2, 2, 2, 2, 2, 4, 7, 2, 2, 7, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 7, 2, 2, 2, 2, 2, 2, 2, 4, 7, 2, 2, 7, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
triadag25_1.txt 3_2x4.txt 0.455 0.6 914.0 [2, 2, 2, 2, 0, 6, 2, 7, 2, 2, 2, 2, 0, 6, 2, 6, 2, 2, 0, 6, 2, 2, 2, 2, 2, 7, 7, 2, 0, 6, 2, 0, 2, 2, 2, 2, 0, 6, 2, 7, 7, 2, 0, 5, 2, 2, 2, 2, 2, 2, 0, 0, 6, 2, 0, 2, 2, 2, 2, 0, 5, 2, 6, 2, 2, 0, 6, 2, 2, 5, 5, 2, 0, 5, 6, 2, 0, 2, 2, 2, 7, 0, 5, 2, 6, 2, 2, 0, 6, 0, 2, 2, 0, 2, 0, 7, 0, 0, 0, 0, 5, 2, 0, 6, 0, 6, 7, 0, 0, 6, 0, 0, 5, 0, 7, 6, 0, 0, 0, 0, 0, 0, 0, 6, 0, 6, 0, 0, 0, 6, 6, 0, 0, 0, 0, 4, 6, 0, 7, 6, 0, 0, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 6, 4, 5, 4, 6, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 4, 4, 4, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 0, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 0, 1, 4, 4, 4, 1, 1, 4, 4, 4, 4, 4, 1, 1, 1, 1, 1, 5, 2, 1, 1, 3, 4, 1, 1, 7, 1, 7, 5, 1, 3, 2, 1, 1, 5, 0, 4, 7, 1, 7, 2, 1, 5, 7, 1, 1, 3, 1, 1, 5, 1, 1, 1, 6, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 1, 5, 1, 3, 1, 1, 3, 3, 1, 3, 1, 1, 7, 5, 6, 5, 3, 3, 3, 3, 4, 5, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 5, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3] 
triadag25_1.txt 3_2x4.txt 0.325 1 911.0 [1, 2, 2, 6, 1, 1, 2, 5, 1, 2, 2, 1, 2, 4, 2, 1, 1, 2, 2, 1, 2, 1, 2, 2, 1, 2, 2, 6, 1, 1, 2, 5, 1, 2, 2, 1, 2, 4, 2, 1, 1, 2, 2, 1, 2, 1, 2, 2, 1, 2, 6, 1, 6, 2, 5, 2, 2, 2, 1, 2, 4, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 1, 6, 1, 6, 2, 5, 2, 6, 2, 6, 2, 4, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 1, 6, 6, 5, 5, 6, 6, 6, 6, 6, 5, 6, 5, 5, 5, 6, 5, 5, 6, 5, 6, 5, 6, 5, 5, 6, 6, 6, 6, 6, 2, 2, 5, 5, 5, 6, 5, 6, 6, 6, 6, 5, 0, 5, 6, 6, 6, 6, 6, 2, 2, 5, 5, 5, 6, 5, 6, 6, 6, 6, 5, 0, 6, 6, 0, 7, 0, 7, 0, 0, 0, 5, 6, 0, 0, 0, 6, 0, 0, 0, 7, 0, 7, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 0, 7, 0, 7, 6, 7, 7, 7, 7, 7, 7, 7, 0, 7, 0, 7, 0, 7, 4, 6, 4, 4, 6, 4, 6, 4, 4, 3, 6, 4, 7, 4, 4, 4, 7, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 7, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 3, 4, 3, 3, 4, 4, 4, 3, 7, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3] 
triadag25_1.txt 5_4_3_2x2.txt 0.1 0.1 1054.2 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5] 
